lat,lng,ele
35.6446568548,-83.8052156407,600.144592285
35.6445951548,-83.8051755407,600.719970703
35.6445343558,-83.8051341406,601.064819336
35.6444756547,-83.8050898406,601.840942383
35.6444130547,-83.8050226406,603.647033691
35.6443433547,-83.8049637406,604.992248535
35.6442814557,-83.8049435406,605.79473877
35.6442175557,-83.8049483406,607.28918457
35.6441736547,-83.8049912406,608.325439453
35.6441432567,-83.8050450406,609.489562988
35.6441238557,-83.8051041406,610.608886719
35.6441133557,-83.8051655406,611.610229492
35.6441116547,-83.8052485406,612.468261719
35.6441185557,-83.8053313407,613.222106934
35.6441322557,-83.8054091407,614.312316895
35.6441501557,-83.8054860407,615.618530273
35.6441580557,-83.8055645407,616.538208008
35.6441532557,-83.8056369408,616.73236084
35.6441366556,-83.8057073408,617.077636719
35.6441068546,-83.8057577408,617.745849609
35.6440713566,-83.8058044408,618.777282715
35.6440227566,-83.8058763408,620.110534668
35.6439689556,-83.8059444408,621.513305664
35.6439163566,-83.8059846409,623.273986816
35.6438678546,-83.8060292409,624.791259766
35.6438297546,-83.8061162409,624.945861816
35.6437744566,-83.8061694409,627.428955078
35.6437386565,-83.8062521409,628.913574219
35.6437263555,-83.8063419409,629.614196777
35.6437232555,-83.806432641,630.285766602
35.6437313545,-83.806499341,630.669311523
35.6437450565,-83.806565241,631.270812988
35.6437455555,-83.806632241,632.462524414
35.6437276555,-83.806689241,633.045227051
35.6436979555,-83.8067409411,633.348388672
35.6436310555,-83.8067741411,634.67956543
35.6435613545,-83.8068024411,636.454345703
35.6435202555,-83.8068477411,636.93939209
35.6434870555,-83.8068992411,637.635620117
35.6434594555,-83.8069576411,638.513916016
35.6434391565,-83.8070189411,639.373657227
35.6434261544,-83.8070955411,640.332275391
35.6434175544,-83.8071728412,641.424316406
35.6434118554,-83.8072397412,642.415039062
35.6433964544,-83.8073045412,643.451599121
35.6433318544,-83.8073685412,643.896606445
35.6432812554,-83.8073631412,644.600158691
35.6432333564,-83.8073430412,645.490478516
35.6431767554,-83.8073104412,646.831848145
35.6431175554,-83.8072837412,648.264160156
35.6430574554,-83.8072927412,649.407958984
35.6429996553,-83.8073127412,650.637145996
35.6429310563,-83.8073467412,651.687194824
35.6428646543,-83.8073851412,651.948242188
35.6427904563,-83.8073937412,653.438171387
35.6427194563,-83.8073471412,655.447998047
35.6427485563,-83.8072598412,654.669799805
35.6428128543,-83.8072068411,654.613098145
35.6428713543,-83.8071632411,654.532958984
35.6429320543,-83.8071226411,654.683044434
35.6429788554,-83.8070984411,654.475830078
35.6430233554,-83.8070706411,654.360351562
35.6430696554,-83.8070146411,654.105224609
35.6431072554,-83.8069521411,653.756164551
35.6431505554,-83.8068730411,653.838745117
35.6431831554,-83.806789141,654.430236816
35.6431971554,-83.806723841,655.006530762
35.6432042554,-83.806657441,655.640441895
35.6432053544,-83.806590841,656.463989258
35.6431983554,-83.806524741,657.469055176
35.6431740554,-83.8064497409,658.335632324
35.6431386554,-83.8063791409,659.399047852
35.6431065544,-83.8063262409,660.576782227
35.6430688544,-83.8062772409,661.700500488
35.6430022554,-83.8062194409,662.93157959
35.6429271554,-83.8061729408,663.792785645
35.6428776564,-83.8061499408,664.140136719
35.6428290554,-83.8061253408,664.335205078
35.6427592553,-83.8060606408,666.280151367
35.6426970553,-83.8059882408,668.221374512
35.6426605553,-83.8059495408,669.096801758
35.6426268543,-83.8059084408,670.00390625
