lat,lng,ele
35.663868371,-83.5238234594,559.403259277
35.663843071,-83.5237592594,559.041442871
35.663807871,-83.5237000594,558.740112305
35.663770171,-83.5236582594,558.454833984
35.663728472,-83.5236201594,558.243713379
35.6636769709,-83.5235723593,558.088378906
35.6636221699,-83.5235284593,558.033630371
35.6635350709,-83.5234824593,557.589416504
35.6634436709,-83.5234455593,556.936889648
35.6633812709,-83.5234210593,556.442321777
35.6633182709,-83.5233980593,556.103149414
35.6632558719,-83.5233733593,555.730895996
35.6631797718,-83.5233384592,555.180847168
35.6631041708,-83.5233023592,554.622375488
35.6630427698,-83.5232703592,554.155212402
35.6629791698,-83.5232431592,553.647705078
35.6629119718,-83.5232344592,553.193786621
35.6628443708,-83.5232278592,552.75012207
35.6627850718,-83.5232129592,552.441894531
35.6627279698,-83.5231910592,552.16998291
35.6626813708,-83.5231652592,551.744140625
35.6626389707,-83.5231330591,551.397216797
35.6625998707,-83.5230908591,550.907836914
35.6625687717,-83.5230424591,550.5546875
35.6625491707,-83.5229820591,550.043518066
35.6625352697,-83.5229199591,549.62322998
35.6625211697,-83.5228702591,549.237243652
35.6625103707,-83.522819759,548.938171387
35.6625049707,-83.522758759,548.747375488
35.6625128697,-83.522698359,548.508483887
35.6625406697,-83.522656959,548.1796875
35.6625775708,-83.522623059,547.903747559
35.6626385708,-83.522586459,547.581054688
35.6627050708,-83.522560759,547.179016113
35.6627733698,-83.522540059,546.940246582
35.6628433708,-83.522525859,546.565795898
35.6629134708,-83.522512159,546.11932373
35.6629826698,-83.522502759,545.565551758
35.6630492709,-83.522483259,545.179077148
35.6630938699,-83.522449659,544.900939941
35.6631318719,-83.522408559,544.708374023
35.6631671709,-83.522350259,544.82598877
35.6631974709,-83.5222890589,545.199462891
35.6632373699,-83.5222196589,545.456237793
35.6632726709,-83.5221478589,545.682189941
35.6632939699,-83.5220772589,545.701599121
35.6633116709,-83.5220055589,545.807067871
35.6633258699,-83.5219506588,545.973327637
35.6633410709,-83.5218959588,546.132202148
35.6633631709,-83.5218422588,546.148864746
35.663379371,-83.5217867588,545.983398438
35.663369871,-83.5217251588,546.007385254
35.663354871,-83.5216644588,545.956542969
35.663348872,-83.5216037587,545.682373047
35.663348471,-83.5215427587,545.18536377
35.663359072,-83.5214657587,544.719421387
35.663396971,-83.5213786587,544.627319336
