lat,lng,ele
35.6251197661,-83.4703400414,1171.02514648
35.625042766,-83.4703072414,1172.19604492
35.624963465,-83.4702802414,1174.00964355
35.624882265,-83.4702596414,1175.47375488
35.624799765,-83.4702458414,1176.62890625
35.624716264,-83.4702392414,1177.68359375
35.624641164,-83.4702420414,1178.34924316
35.6245667649,-83.4702520414,1179.19824219
35.6244925639,-83.4702644414,1181
35.6244180639,-83.4702742414,1182.7286377
35.6243324649,-83.4702817414,1184.95837402
35.6242467639,-83.4702880414,1186.20910645
35.6241609649,-83.4702931414,1187.73376465
35.6240750658,-83.4702968414,1189.09362793
35.6239781648,-83.4703005414,1191.44775391
35.6238812648,-83.4703034414,1195.70727539
35.6237842658,-83.4703028413,1198.72949219
35.6236875648,-83.4702959413,1201.56750488
35.6235958647,-83.4702800413,1202.87890625
35.6235057647,-83.4702561413,1203.37036133
35.6234170657,-83.4702277413,1203.87670898
35.6233288657,-83.4701979413,1205.19616699
35.6232399647,-83.4701699413,1205.94091797
35.6231497647,-83.4701468413,1206.26965332
35.6230577646,-83.4701274413,1206.72229004
35.6229655636,-83.4701088412,1207.69824219
35.6228729646,-83.4700922412,1208.1652832
35.6227799646,-83.4700784412,1208.16101074
35.6226864646,-83.4700685412,1209.61157227
35.6225925655,-83.4700635412,1211.07299805
35.6224986635,-83.4700657412,1212.95727539
35.6224052655,-83.4700753412,1214.77783203
35.6223124645,-83.4700905412,1216.81677246
35.6222204645,-83.4701094412,1217.47131348
35.6221288654,-83.4701305412,1216.25598145
35.6220374654,-83.4701520412,1216.11950684
35.6219457634,-83.4701724412,1220.34716797
35.6218534644,-83.4701901412,1222.76940918
35.6217604634,-83.4702035412,1224.11499023
35.6216677633,-83.4702121412,1224.02319336
35.6215747633,-83.4702179412,1220.69775391
35.6214817633,-83.4702221412,1218.56555176
35.6213887633,-83.4702261412,1218.35327148
35.6212957633,-83.4702312412,1218.49658203
35.6212029643,-83.4702386412,1219.48803711
35.6211104642,-83.4702497412,1221.3503418
35.6210237632,-83.4702636412,1223.90161133
35.6209374652,-83.4702797412,1225.19665527
35.6208514652,-83.4702974412,1227.41259766
35.6207656642,-83.4703163412,1228.83496094
35.6206800641,-83.4703357412,1231.23388672
35.6205944641,-83.4703552412,1234.69055176
35.6205033641,-83.4703727412,1234.92016602
35.6204117631,-83.4703866412,1237.49047852
35.6203199651,-83.4704001412,1237.14086914
35.620228663,-83.4704163412,1236.75195312
35.620138664,-83.4704384412,1237.68359375
35.620051364,-83.4704697412,1237.4876709
35.619969264,-83.4705126412,1237.78027344
35.619902464,-83.4705666412,1240.87536621
35.619839564,-83.4706253412,1243.12207031
35.6197677649,-83.4706720412,1245.02868652
35.6196744649,-83.4707034412,1245.84094238
35.6195778639,-83.4706993412,1246.69458008
35.6195200649,-83.4706320412,1247.9465332
35.6194634639,-83.4705633412,1251.15795898
35.6193752639,-83.4705396412,1252.7076416
35.6192835648,-83.4705467411,1255.19885254
35.6192054638,-83.4705810412,1257.69030762
35.6191288638,-83.4706192412,1258.85253906
35.6190472638,-83.4706388412,1260.50512695
35.6189840638,-83.4706694412,1260.48071289
35.6189286638,-83.4707124412,1260.50952148
35.6188924628,-83.4707672412,1262.28735352
35.6188542637,-83.4708205412,1262.50549316
35.6187711637,-83.4708474412,1264.40600586
35.6186824647,-83.4708484412,1267.96508789
35.6185949627,-83.4708394412,1270.61560059
35.6185090637,-83.4708196412,1272.54443359
35.6184218637,-83.4708072412,1274.77233887
35.6183496636,-83.4708140412,1276.28503418
35.6182775646,-83.4708138412,1277.81787109
35.6182060626,-83.4707734412,1279.58898926
35.6181349636,-83.4707322411,1281.48510742
35.6180397646,-83.4707318411,1283.74279785
35.6179453636,-83.4707484411,1285.63696289
35.6178698625,-83.4707597411,1287.1685791
35.6177945635,-83.4707730411,1288.96276855
35.6177192645,-83.4707856411,1290.83447266
35.6176258635,-83.4707972411,1292.12316895
35.6175322645,-83.4708076411,1293.25244141
35.6174390624,-83.4708211411,1294.08007812
35.6173487634,-83.4708414411,1294.33605957
35.6172580644,-83.4708597411,1294.52941895
35.6171620634,-83.4708667411,1294.2298584
35.6170657624,-83.4708657411,1295.20227051
35.6169695623,-83.4708619411,1296.90844727
35.6168882633,-83.4708595411,1298.86022949
35.6168070633,-83.4708550411,1299.97741699
35.6167265633,-83.4708434411,1300.02270508
35.6166381623,-83.4708169411,1298.83227539
35.6165525633,-83.4707822411,1298.49951172
35.6164671622,-83.470747141,1300.50585938
35.6164043632,-83.470723741,1302.8125
35.6163415622,-83.470700041,1303.7598877
35.6162793632,-83.470675141,1305.12182617
35.6161953632,-83.470637241,1307.29296875
35.6161124622,-83.470597041,1309.66760254
35.6160293622,-83.470557041,1311.87890625
35.6159610632,-83.4705250409,1313.14746094
35.6158927631,-83.4704932409,1314.27185059
35.6158239631,-83.4704623409,1314.84777832
35.6157429641,-83.4704228409,1315.13134766
35.6156641631,-83.4703790409,1316.74511719
35.6155859631,-83.4703343409,1318.06115723
35.6155068621,-83.4702912409,1319.30993652
35.6154252641,-83.4702529408,1320.98120117
35.615340063,-83.4702240408,1322.4041748
35.615251063,-83.4702109408,1322.04638672
35.615161863,-83.4702212408,1320.70556641
35.615100063,-83.4702461408,1322.58508301
35.615040963,-83.4702772408,1322.54138184
35.614979862,-83.4703039408,1321.62329102
35.6148900619,-83.4703264408,1321.49963379
35.6147987629,-83.4703425408,1322.32556152
35.6147058629,-83.4703576408,1322.74658203
35.6146124629,-83.4703696408,1323.76855469
35.6145186639,-83.4703780408,1325.36914062
35.6144329638,-83.4703879408,1326.72802734
35.6143472628,-83.4703838408,1328.82421875
35.6142838628,-83.4703565408,1330.72070312
35.6142273628,-83.4703168408,1332.13781738
35.6141783618,-83.4702681408,1333.1895752
35.6141333628,-83.4701861407,1334.46496582
35.6141030628,-83.4700972407,1335.7442627
35.6140664618,-83.4700108407,1337.38989258
35.6140189628,-83.4699356407,1338.12768555
35.6139659628,-83.4698642406,1339.02075195
35.6139085638,-83.4697962406,1340.00183105
35.6138373617,-83.4697283406,1340.71618652
35.6137671627,-83.4696594406,1341.96179199
35.6137171617,-83.4695903405,1343.29541016
35.6136726637,-83.4695176405,1344.57971191
35.6136273617,-83.4694453405,1345.92297363
35.6135814627,-83.4693803405,1347.19287109
35.6135343617,-83.4693162404,1348.40612793
35.6134877617,-83.4692518404,1349.26281738
35.6134433627,-83.4691858404,1349.94506836
35.6134009627,-83.4691134404,1350.29089355
35.6133616627,-83.4690392404,1350.21801758
35.6133218617,-83.4689654403,1350.42297363
35.6132781627,-83.4688937403,1351.0994873
35.6132227617,-83.4688159403,1351.61401367
35.6131637626,-83.4687408403,1351.95898438
35.6131024626,-83.4686676402,1352.63220215
35.6130480626,-83.4686120402,1352.56921387
35.6129920616,-83.4685580402,1353.04907227
35.6129438626,-83.4684971402,1353.77490234
35.6129100626,-83.4684286401,1355.69909668
35.6128837626,-83.4683567401,1357.14440918
35.6128580636,-83.4682847401,1356.93225098
35.6128279626,-83.4682102401,1356.99487305
35.6127976636,-83.4681357401,1357.41149902
35.6127698636,-83.46806044,1357.97399902
35.6127470626,-83.46798334,1357.34973145
35.6127331616,-83.46790204,1358.08837891
35.6127236626,-83.46782004,1359.45080566
35.6127069616,-83.4677392399,1361.55102539
35.6126908626,-83.4676810399,1363.23120117
35.6126641616,-83.4676275399,1364.93566895
35.6125837626,-83.4675919399,1365.29260254
35.6125135636,-83.4675588399,1366.34204102
35.6124441625,-83.4675240399,1367.05053711
35.6123754625,-83.4674880398,1368.04858398
35.6123072625,-83.4674510398,1367.77783203
35.6122448615,-83.4674159398,1366.6036377
35.6121934625,-83.4673847398,1367.81274414
35.6121471625,-83.4673467398,1369.57543945
35.6121112615,-83.4672869398,1369.91296387
35.6120869635,-83.4672213397,1370.35168457
35.6120608625,-83.4671564397,1370.24584961
