lat,lng,ele
35.6149339606,-83.528907358,875.707092285
35.6148480606,-83.5287058579,876.312194824
35.6147374606,-83.5283932578,880.33795166
35.6147575606,-83.5282945578,881.282409668
35.6149831607,-83.5282796578,882.147094727
35.6151388607,-83.5281630578,885.506652832
35.6152520617,-83.5279238577,888.890808105
35.6153370618,-83.5277388577,890.626831055
35.6153687598,-83.5275190576,891.398925781
35.6155324608,-83.5274469576,892.443969727
35.6156964608,-83.5273637576,892.95904541
35.6159195609,-83.5270396575,894.416442871
35.616113662,-83.5268139575,895.545715332
35.61624446,-83.5265973574,897.22845459
35.616401262,-83.5264256574,898.666687012
35.6166087601,-83.5259905572,900.401184082
35.6166569621,-83.5258375572,901.058349609
35.6167064621,-83.5256293571,902.708557129
35.6167914621,-83.5254444571,903.873901367
35.6168856612,-83.525248657,903.757019043
35.6169445622,-83.525018757,905.20135498
35.6169868602,-83.5247220569,906.558044434
35.6170452622,-83.5245141568,907.574645996
35.6171510603,-83.5241973567,907.094787598
35.6172547613,-83.5239797567,908.100585938
35.6173298613,-83.5238386567,908.739318848
35.6173505613,-83.5237178566,910.171447754
35.6174426614,-83.5236214566,910.023803711
35.6175636604,-83.5234375566,912.175537109
35.6176378614,-83.5233405565,913.516296387
35.6176868614,-83.5231544565,916.829040527
35.6177884614,-83.5230361564,916.129821777
35.6178568615,-83.5227844564,920.000305176
35.6178685605,-83.5226523563,920.179382324
35.6178542615,-83.5224752563,921.853637695
35.6179124615,-83.5222784562,923.415405273
35.6180062605,-83.5221047562,923.670715332
35.6180995626,-83.5219531561,924.176269531
35.6180937626,-83.5217983561,925.250427246
35.6181228626,-83.5216999561,925.206787109
35.6181773616,-83.5216795561,924.81640625
35.6182499616,-83.5216597561,926.727844238
35.6182894606,-83.521495456,928.931884766
35.6183215616,-83.521253556,931.092041016
35.6183547616,-83.5209565559,931.979248047
35.6184236607,-83.5206827558,933.876708984
35.6184734627,-83.5204525557,935.211181641
35.6185504627,-83.5202231557,936.680053711
35.6186717618,-83.5200282556,938.957641602
35.6187569608,-83.5198321556,940.06652832
35.6188962628,-83.5196377555,941.992492676
35.6189523618,-83.5195401555,943.255310059
35.6190835629,-83.5193014554,945.135986328
35.6191505619,-83.5191158554,946.003234863
35.6192341609,-83.5189970553,947.605102539
35.6192914619,-83.5188443553,948.687866211
35.619422162,-83.5186276553,951.128112793
35.619535562,-83.5183772552,953.234191895
35.619640162,-83.5181156551,955.752563477
35.6197247621,-83.5179526551,957.238525391
35.6198249631,-83.5179006551,960.305664062
35.6199649631,-83.517673255,963.065124512
35.6201489622,-83.517491355,966.67199707
35.6202058622,-83.5173606549,967.332763672
35.6203811622,-83.5171674549,969.908447266
35.6205350633,-83.5171391549,973.237976074
35.6206735613,-83.5169778548,975.89654541
35.6207017623,-83.5169235548,976.544311523
35.6207394623,-83.5168474548,976.597290039
35.6208671613,-83.5167742548,978.75390625
35.6209595614,-83.5166667548,980.200256348
35.6210609624,-83.5165594547,982.038269043
35.6211528634,-83.5164740547,983.850708008
35.6212288634,-83.5162887547,985.198669434
35.6213590615,-83.5160941546,987.930541992
35.6215059635,-83.5159662546,990.17175293
35.6216701625,-83.5158720546,992.994140625
35.6217905626,-83.5157212545,995.333984375
35.6218493626,-83.5154913545,997.263366699
35.6218981616,-83.5153161544,999.130615234
35.6219466636,-83.5151521544,1000.46679688
35.6220221616,-83.5149889543,1001.48449707
35.6220884627,-83.5148364543,1002.64697266
35.6221737627,-83.5146403542,1003.0413208
35.6222672617,-83.5144777542,1004.60565186
35.6223319627,-83.5144024542,1005.02111816
35.6223968628,-83.5143161542,1005.94366455
35.6224273618,-83.5141515541,1006.55419922
35.6224208628,-83.5140299541,1007.53094482
35.6223265628,-83.513795154,1009.40002441
35.6222496637,-83.5135940539,1010.76251221
35.6221706637,-83.5134921539,1011.4251709
