lat,lng,ele
35.6017164746,-83.1310556405,930.924682617
35.6016353726,-83.1310931405,931.671020508
35.6015523735,-83.1310820404,933.262390137
35.6014754735,-83.1310452404,934.186767578
35.6013935735,-83.1310249404,935.408447266
35.6013160745,-83.1310415404,937.33026123
35.6012432725,-83.1310733404,938.285217285
35.6011747735,-83.1311136404,939.042480469
35.6011185745,-83.1311593404,939.936035156
35.6010669734,-83.1312103405,941.116516113
35.6010125724,-83.1312581405,942.160583496
35.6009358724,-83.1313085405,943.742553711
35.6008552724,-83.1313524405,944.528564453
35.6007726734,-83.1313926405,945.822265625
35.6006952734,-83.1314236405,947.891845703
35.6006154733,-83.1314480405,948.918762207
35.6005352733,-83.1314706405,950.254638672
35.6004560743,-83.1314967405,950.385131836
35.6003801733,-83.1315313405,951.309509277
35.6003108733,-83.1315776405,952.201477051
35.6002474723,-83.1316319405,953.374450684
35.6001869742,-83.1316894405,955.52947998
35.6001261732,-83.1317467406,956.867370605
35.6000621732,-83.1318001406,958.165100098
35.5999916732,-83.1318447406,960.293212891
35.5999111742,-83.1318743406,960.751098633
35.5998268722,-83.1318909406,960.918945312
35.5997418721,-83.1319042406,962.052978516
35.5996582731,-83.1319238406,962.661437988
35.5995800741,-83.1319590406,964.128112793
35.5995161741,-83.1320179406,966.779846191
35.5994442741,-83.1320639406,969.455383301
35.5993935721,-83.1320501406,969.419189453
35.5993444731,-83.1320300406,969.24810791
35.599268373,-83.1320162406,969.690917969
35.599191174,-83.1320119406,970.916870117
35.599113872,-83.1320159406,972.812988281
35.599037273,-83.1320267406,974.444641113
35.598981174,-83.1320362406,975.146789551
35.598927572,-83.1320546406,975.960144043
35.598890474,-83.1320882406,977.192687988
35.5988512729,-83.1321188406,978.232666016
35.5987564729,-83.1321031406,977.997680664
35.5986663729,-83.1320990406,979.413024902
35.5985763719,-83.1321047406,980.670410156
35.5984876729,-83.1321211406,981.886657715
35.5984019729,-83.1321492406,983.852050781
35.5983215738,-83.1321900406,986.217041016
35.5982482728,-83.1322353406,987.856384277
35.5981880718,-83.1322961406,989.131347656
35.5981675738,-83.1323765406,991.973266602
35.5981470738,-83.1324570407,994.434082031
35.5981077738,-83.1325084407,994.852539062
35.5980578728,-83.1325495407,995.184143066
35.5980017718,-83.1325760407,995.049377441
35.5979408727,-83.1325880407,995.645568848
35.5978786737,-83.1325731407,995.925231934
35.5978160717,-83.1325627407,996.518737793
35.5977653727,-83.1325967407,998.854248047
35.5977166717,-83.1326341407,1001.1675415
35.5976494737,-83.1326447407,1002.18554688
35.5975811717,-83.1326381407,1001.81726074
35.5975127716,-83.1326395407,1001.47680664
35.5974264716,-83.1326687407,1001.62902832
35.5973470726,-83.1327135407,1001.46044922
35.5972741726,-83.1327684407,1002.53839111
35.5972068736,-83.1328299407,1003.83258057
35.5971439716,-83.1328960407,1005.19683838
35.5970845715,-83.1329653407,1006.94482422
35.5970490715,-83.1330058407,1007.77514648
35.5970201725,-83.1330509408,1008.53863525
35.5970060725,-83.1330998408,1009.38128662
35.5970031725,-83.1331506408,1010.05084229
35.5970302725,-83.1332186408,1010.72802734
35.5970812735,-83.1332713408,1011.69921875
35.5971299715,-83.1332799408,1012.83294678
35.5971779726,-83.1332903408,1014.05432129
35.5972066716,-83.1333732409,1015.59942627
35.5972067726,-83.1334626409,1017.75714111
35.5971931735,-83.1335293409,1018.7722168
35.5971709725,-83.1335938409,1019.89782715
35.5971357725,-83.1336637409,1020.69573975
35.5970937735,-83.133730041,1021.38891602
35.5970596725,-83.133800441,1021.6104126
35.5970460725,-83.133883541,1021.76849365
35.5970504725,-83.133967941,1022.22161865
35.5970626725,-83.1340515411,1022.84020996
35.5970753725,-83.1341351411,1023.30944824
35.5970817725,-83.1342193411,1024.79187012
35.5970724725,-83.1343031411,1026.81079102
35.5970447725,-83.1343786412,1028.2401123
35.5970074735,-83.1344499412,1028.76782227
35.5969686725,-83.1345204412,1029.17248535
35.5969359715,-83.1345939412,1029.53015137
35.5969148714,-83.1346860412,1030.87438965
35.5968988714,-83.1347793413,1032.65478516
35.5968627714,-83.1348659413,1033.95227051
35.5968077714,-83.1349207413,1033.69616699
35.5967394724,-83.1349570413,1035.14172363
35.5966635734,-83.1349575413,1035.8515625
35.5965906724,-83.1349349413,1036.4786377
35.5965277734,-83.1348976413,1038.21105957
35.5964732723,-83.1348487413,1039.34460449
35.5964249713,-83.1347935412,1040.34423828
35.5963872723,-83.1347220412,1040.99719238
35.5963576723,-83.1346464412,1041.12646484
35.5963111713,-83.1345811412,1042.27563477
35.5962588723,-83.1345524412,1044.23388672
35.5962005713,-83.1345424412,1045.60644531
35.5961371723,-83.1345796412,1047.08557129
35.5960838733,-83.1346318412,1047.61450195
35.5960254713,-83.1347012412,1047.49694824
35.5959789722,-83.1347794412,1048.70129395
35.5959353712,-83.1348592412,1050.01135254
35.5958861722,-83.1349357412,1051.89331055
35.5958216722,-83.1349993413,1053.02770996
35.5957709732,-83.1350302413,1053.62402344
35.5957171722,-83.1350553413,1054.35473633
35.5956430722,-83.1350676413,1055.18225098
35.5955674711,-83.1350681413,1056.15344238
35.5954942731,-83.1350845413,1057.34899902
35.5954460711,-83.1351103413,1057.8034668
35.5954044731,-83.1351454413,1058.13122559
35.5953738721,-83.1352373413,1059.66601562
35.5953543711,-83.1353332413,1061.19482422
35.5953180721,-83.1353982413,1061.82775879
35.5952764721,-83.1354602414,1062.59216309
35.5952547721,-83.1355306414,1063.89013672
35.5952789721,-83.1356128414,1065.56286621
35.5953236711,-83.1356864414,1066.49926758
35.5953895721,-83.1357417415,1067.81091309
35.5954552731,-83.1357973415,1070.27502441
35.5954866711,-83.1358783415,1071.27966309
35.5955026721,-83.1359643415,1071.59069824
35.5955278711,-83.1360478416,1072.09594727
35.5955692721,-83.1361043416,1073.4239502
35.5956167721,-83.1361560416,1074.46533203
35.5956484721,-83.1362175416,1074.92712402
35.5956171721,-83.1362998416,1076.78564453
