lat,lng,ele
35.692454272,-83.646080897,538.755187988
35.692436971,-83.646176497,539.206848145
35.692449572,-83.646253797,540.073425293
35.692511172,-83.646322097,541.106506348
35.692571972,-83.646346197,542.102050781
35.692636573,-83.6463593971,543.174743652
35.6927143711,-83.6463798971,544.140258789
35.6927923721,-83.6463995971,545.260070801
35.6928695731,-83.6464222971,546.458679199
35.6929340721,-83.6464417971,547.549743652
35.6929978721,-83.6464631971,548.943725586
35.6930571731,-83.6464947971,550.229492188
35.6931142721,-83.6465419971,551.520019531
35.6931630721,-83.6465977972,552.312011719
35.6932090712,-83.6466612972,552.709655762
35.6932322732,-83.6467325972,552.59576416
35.6931596721,-83.6467522972,552.842224121
35.6930696731,-83.6467521972,553.907348633
35.6929795711,-83.6467463972,554.770507812
35.6928833711,-83.6467518972,556.324157715
35.6927896731,-83.6467731972,558.292114258
35.692725871,-83.6468030972,559.580810547
35.692670871,-83.6468466972,560.415100098
35.692624173,-83.6469224972,560.429626465
35.692613172,-83.6469824972,560.768432617
35.692612472,-83.6470435973,561.345458984
35.692621573,-83.6471237973,561.972595215
35.692642472,-83.6472016973,563.028686523
35.692670473,-83.6472774973,564.094665527
35.692709173,-83.6473507973,565.366638184
35.692748372,-83.6474237974,566.417785645
35.692786372,-83.6474991974,566.74597168
35.692798973,-83.6475800974,566.237609863
35.692761971,-83.6476230974,566.206604004
35.692689172,-83.6476537974,567.262939453
35.692608372,-83.6476641974,568.407653809
35.692526872,-83.6476594974,569.105651855
35.692442671,-83.6476305974,569.451843262
35.6923564719,-83.6476206974,570.910217285
35.6923106709,-83.6476523974,571.246826172
35.6923367719,-83.6476973974,570.859680176
35.6924163719,-83.6477433974,571.422424316
35.692506372,-83.6477692975,572.357177734
35.692585672,-83.6478084975,573.476623535
35.692663171,-83.6478510975,574.40612793
35.692737872,-83.6478984975,575.533752441
35.692805572,-83.6479487975,576.400634766
35.692870772,-83.6480022975,577.086669922
35.692929771,-83.6480522976,578.115356445
35.692985671,-83.6481055976,579.035644531
35.6930311721,-83.6481548976,579.813354492
35.6930732721,-83.6482071976,580.623657227
35.6931083711,-83.6482642976,581.552368164
35.6931418731,-83.6483343977,582.618896484
35.6931592721,-83.6484096977,582.747802734
35.6931485731,-83.6484865977,582.935180664
35.6931022731,-83.6485137977,583.240966797
35.693048573,-83.6485274977,583.310302734
35.692976872,-83.6485580977,584.198364258
35.692911773,-83.6486002977,585.096191406
35.692875772,-83.6486552977,585.971130371
35.692837273,-83.6487083978,586.962463379
35.692779473,-83.6487262978,587.54107666
35.692719471,-83.6487375978,587.893371582
35.692661873,-83.6487640978,588.672302246
35.6926098719,-83.6488002978,589.263977051
35.6925697719,-83.6488463978,589.965393066
35.6925356709,-83.6488972978,590.473571777
35.6925025719,-83.6489655978,591.297729492
35.6924757719,-83.6490366978,593.065917969
35.6924409719,-83.6491040978,594.508972168
35.6923796729,-83.6491712979,594.69128418
35.6923119709,-83.6492323979,595.408569336
35.6922485718,-83.6492921979,596.57623291
35.6921831708,-83.6493496979,597.432067871
35.6921221708,-83.6494017979,598.327026367
35.6920548718,-83.6494447979,599.039001465
35.6919823718,-83.6494644979,598.659606934
35.6919279718,-83.6494910979,599.56854248
35.6918729718,-83.6495161979,600.805236816
35.6918040727,-83.6495236979,601.786010742
35.6917348717,-83.6495171979,602.574890137
35.6916657707,-83.6495092979,603.429077148
35.6915806727,-83.6494942979,604.172119141
35.6914949717,-83.6494925979,604.567871094
35.6914406717,-83.6495109979,605.13671875
35.6913946717,-83.6495444979,605.511230469
35.6913662727,-83.6496072979,605.608825684
35.6913556716,-83.6496757979,605.660339355
35.6913620716,-83.649743398,605.931274414
35.6913797706,-83.649809198,606.021484375
35.6913993717,-83.649860398,605.699401855
35.6914226717,-83.649910098,605.41809082
35.6914665717,-83.649996698,605.339477539
35.6915180727,-83.6500789981,605.389953613
35.6915598717,-83.6501319981,605.03704834
35.6916059727,-83.6501812981,604.378967285
35.6916691717,-83.6502373981,603.34564209
35.6917388727,-83.6502850981,603.02746582
35.6917926707,-83.6503085982,602.870666504
35.6918459727,-83.6503328982,602.332702637
35.6918999727,-83.6503671982,601.815551758
35.6919433717,-83.6504133982,603.320922852
35.6919631717,-83.6504952982,603.003479004
35.6919576717,-83.6505796982,602.691467285
35.6919231717,-83.6506461983,601.877380371
35.6918827707,-83.6507097983,601.030334473
35.6918483717,-83.6507892983,600.383300781
35.6918340717,-83.6508738983,600.325805664
35.6918548727,-83.6509321983,600.605895996
35.6918856707,-83.6509861984,600.635681152
35.6919309727,-83.6510535984,600.280395508
35.6919832717,-83.6511158984,599.772277832
35.6920346717,-83.6511788984,598.671142578
35.6920851717,-83.6512550985,597.875244141
35.6921305717,-83.6513343985,597.028686523
35.6921748707,-83.6514142985,596.246704102
35.6922217728,-83.6514927985,594.899963379
35.6922753718,-83.6515667986,593.804626465
35.6923401718,-83.6516309986,593.327453613
35.6924151708,-83.6516785986,593.355895996
35.6924912708,-83.6517243986,593.659912109
35.6925561708,-83.6517680986,593.502258301
35.6926202728,-83.6518130986,593.023498535
35.6926778708,-83.6518658987,592.222900391
35.6927210708,-83.6519308987,591.353027344
35.6927435718,-83.6519794987,590.897399902
35.6927549718,-83.6520314987,590.716003418
35.6927369728,-83.6520828987,590.721862793
35.6927076718,-83.6521292987,591.492370605
35.6926604718,-83.6521904988,592.391052246
35.6926037708,-83.6522429988,592.972106934
35.6925419728,-83.6522895988,593.472045898
35.6924640708,-83.6523305988,593.69152832
35.6923868718,-83.6523727988,594.130126953
35.6923310727,-83.6524202988,594.989685059
35.6922811717,-83.6524737988,595.747802734
35.6922390727,-83.6525336988,596.431396484
35.6922067727,-83.6526158989,597.401000977
35.6921723717,-83.6526971989,597.865600586
35.6921181717,-83.6527515989,598.018981934
35.6920618717,-83.6528039989,598.565185547
35.6920180717,-83.6528597989,599.232421875
35.6919871717,-83.6529230989,599.532104492
35.6919882706,-83.653000999,599.956665039
35.6920017716,-83.653078199,600.400085449
35.6920188726,-83.653172499,600.971313477
35.6920336716,-83.653267099,602.059936523
35.6920371706,-83.6533370991,602.555786133
35.6920361706,-83.6534071991,603.311157227
35.6920290726,-83.6534768991,603.850402832
35.6920098726,-83.6535659991,604.637023926
35.6919800716,-83.6536520991,605.611022949
35.6919311716,-83.6537379992,606.274108887
35.6918690706,-83.6538150992,607.657226562
35.6918034726,-83.6538892992,608.266967773
35.6917464716,-83.6539564992,608.379882812
35.6916834715,-83.6540178992,609.45324707
35.6916045715,-83.6540572992,610.515380859
35.6915284715,-83.6541010993,611.160888672
35.6914834715,-83.6541500993,611.058044434
35.6914539715,-83.6542090993,610.814208984
35.6914539715,-83.6542590993,611.119995117
35.6914607715,-83.6543087993,611.789916992
35.6914809725,-83.6543971993,613.090759277
35.6914928705,-83.6544866994,613.233337402
35.6914729725,-83.6545743994,613.269958496
35.6914091705,-83.6546053994,614.183532715
35.6913189724,-83.6546047994,614.875976562
35.6912292704,-83.6545883994,614.92010498
35.6911521724,-83.6545751994,615.306945801
35.6910761704,-83.6545832994,615.87713623
35.6910113714,-83.6546584994,616.983032227
35.6909628714,-83.6547248994,616.953613281
35.6909189714,-83.6547943994,617.157714844
35.6908791713,-83.6548663994,618.277709961
35.6908429713,-83.6549401995,619.418518066
35.6908115703,-83.6550155995,620.211425781
35.6907838713,-83.6550923995,620.894775391
35.6907567713,-83.6551693995,621.512268066
35.6907230713,-83.6552515995,622.034729004
35.6906901713,-83.6553341996,622.111755371
35.6906700713,-83.6554205996,622.859863281
35.6906656713,-83.6555038996,623.991088867
35.6906754713,-83.6555864996,624.92578125
35.6907076703,-83.6556463997,625.894165039
35.6907521713,-83.6556984997,627.007263184
35.6907888703,-83.6557559997,627.09362793
35.6908141713,-83.6558341997,626.820068359
35.6907679723,-83.6558878997,627.325927734
35.6907233703,-83.6559102997,627.064331055
35.6906768713,-83.6559290997,626.686218262
35.6906036712,-83.6559818997,625.972290039
35.6905795712,-83.6560570998,627.037414551
35.6905641702,-83.6561351998,629.092468262
35.6905253712,-83.6562107998,630.081237793
35.6904887702,-83.6562873998,630.700195312
35.6904715712,-83.6563745999,631.818481445
35.6904667712,-83.6564634999,632.461608887
35.6904814712,-83.6565432999,632.838989258
35.6905052712,-83.6566211999,634.372619629
35.6905067712,-83.6566968,635.063415527
35.6904173712,-83.6566606999,634.627685547
35.6903523712,-83.6566671999,635.42779541
35.6902905721,-83.6566895999,636.40222168
35.6902456711,-83.6567174999,637.01940918
35.6901992711,-83.6567418999,637.44708252
35.6901520711,-83.6566772999,638.481079102
35.6901394701,-83.6565911999,638.329040527
35.6901307721,-83.6565044999,637.842102051
35.6901162711,-83.6564186998,636.990600586
35.6900938711,-83.6563380998,636.696655273
35.6900706721,-83.6562576998,636.473754883
35.6900469711,-83.6561773998,636.582092285
35.6900229711,-83.6560972997,637.255249023
35.6899989711,-83.6560170997,638.581481934
35.6899775711,-83.6559328997,639.513793945
35.6899595701,-83.6558479997,640.024047852
35.6899398711,-83.6557633996,640.626037598
35.6899130711,-83.6556808996,641.407897949
35.6898728721,-83.6556040996,642.765258789
35.6898290721,-83.6555473996,643.623840332
35.6897655701,-83.6555673996,644.926513672
35.6897004711,-83.6556263996,645.009216309
35.6896455711,-83.6556959996,645.794921875
35.689597871,-83.6557579996,646.32623291
35.68954377,-83.6558140996,646.726867676
35.68948687,-83.6558401996,646.798278809
35.689425671,-83.6558543996,647.524353027
35.689347071,-83.6558536996,648.335449219
35.689269772,-83.6558376996,649.063781738
35.689191971,-83.6558245996,650.245544434
35.6891058719,-83.6558092996,651.043518066
35.6890208719,-83.6558188996,652.020751953
35.6889655719,-83.6558722996,652.787719727
35.6889730709,-83.6559387996,652.917053223
35.6890307719,-83.6560066997,653.068115234
35.6891144719,-83.6560446997,654.624023438
35.6891858709,-83.6561005997,655.840393066
35.6892179709,-83.6561539997,656.322509766
35.689237471,-83.6562127997,656.711608887
35.6892333719,-83.6562687997,656.984802246
35.6892169709,-83.6563225998,657.486206055
35.6891723719,-83.6563761998,657.982421875
35.6891115709,-83.6564119998,657.962219238
35.6890519709,-83.6564496998,658.065185547
35.6889874709,-83.6565031998,658.600280762
35.6889247709,-83.6565587998,659.16998291
35.6888678699,-83.6566202998,659.890014648
35.6888171708,-83.6566878998,660.056152344
35.6887746708,-83.6567608999,660.065429688
35.6887489698,-83.6568244999,660.366149902
35.6887298708,-83.6568904999,660.674255371
35.6887162718,-83.6569577999,660.740234375
35.6887079718,-83.6570347999,660.991455078
35.6887066718,-83.6571123,661.490783691
35.6887110708,-83.6571896,662.033752441
35.6887253708,-83.6572789,662.934020996
35.6887432708,-83.6573675,663.827636719
35.6887618708,-83.6574615001,664.237121582
35.6887751698,-83.6575564001,664.917480469
35.6887824718,-83.6576344001,666.359008789
35.6887716698,-83.6577109001,667.605407715
35.6887164708,-83.6577643002,667.167785645
35.6886343708,-83.6577865002,669.006530762
35.6885489707,-83.6577736001,667.48260498
35.6884642707,-83.6577560001,667.348937988
35.6883897697,-83.6577331001,668.350952148
35.6883167707,-83.6577053001,668.664794922
35.6882400707,-83.6577043001,670.056945801
35.6881860717,-83.6577362001,671.360107422
35.6881392707,-83.6577783001,671.497436523
35.6880946716,-83.6578357001,671.442016602
35.6880555706,-83.6578971002,671.493347168
35.6880165706,-83.6579696002,672.493652344
35.6879712706,-83.6580379002,673.396789551
35.6879108706,-83.6580690002,674.280456543
35.6878435696,-83.6580830002,674.261657715
35.6877804706,-83.6581089002,674.53314209
35.6877259696,-83.6581592002,675.37487793
35.6876801715,-83.6582177002,676.115661621
35.6876414705,-83.6582811002,676.52532959
35.6876072705,-83.6583583003,676.87109375
35.6875824695,-83.6584390003,677.631713867
35.6875640705,-83.6585215003,678.578125
35.6875567705,-83.6586207003,679.692504883
35.6875582705,-83.6587203004,680.34173584
35.6875484705,-83.6588193004,679.919311523
35.6875252695,-83.6589032004,680.140258789
35.6874907695,-83.6589831004,681.204162598
35.6874574715,-83.6590346005,681.205566406
35.6874163705,-83.6590801005,680.763793945
35.6873570704,-83.6591204005,680.922424316
35.6872888704,-83.6591421005,679.814147949
35.6872222714,-83.6591264005,679.28692627
35.6871626704,-83.6590910005,679.613647461
35.6871014714,-83.6590586004,680.504638672
35.6870291704,-83.6590393004,682.118347168
35.6869559704,-83.6590235004,683.854919434
35.6868864694,-83.6589962004,684.390075684
35.6868307713,-83.6589590004,683.942504883
35.6867800703,-83.6589153004,684.035400391
35.6867257703,-83.6588487004,684.634338379
35.6866749703,-83.6587793003,685.182495117
35.6866300713,-83.6587244003,685.860778809
35.6865838703,-83.6586706003,686.077392578
35.6865342693,-83.6586199003,686.316345215
35.6864767693,-83.6585738003,687.582702637
35.6864191713,-83.6585277002,688.489746094
35.6863783703,-83.6584783002,688.460021973
35.6863309693,-83.6584364002,688.967590332
35.6862589702,-83.6584340002,691.043212891
35.6862000702,-83.6584663002,692.172119141
35.6861524702,-83.6585149002,693.143920898
35.6861029702,-83.6585614002,693.62487793
35.6860318692,-83.6586101002,693.758728027
35.6859584702,-83.6586552003,693.593688965
35.6858835692,-83.6586978003,694.179870605
35.6858041701,-83.6587449003,694.922363281
35.6857194701,-83.6587807003,695.380126953
35.6856381691,-83.6587890003,694.880004883
35.6855637701,-83.6587349003,697.71484375
35.6855340701,-83.6586434002,697.797790527
35.6855193701,-83.6585480002,697.081420898
35.6855085701,-83.6584521002,696.599487305
35.6854957701,-83.6583565001,696.365905762
35.6854750711,-83.6582623001,696.313293457
35.6854354711,-83.6581747001,697.146789551
35.6854077691,-83.6581326001,697.597412109
35.6853741691,-83.6580953001,697.66015625
35.6853265691,-83.6580766,697.976623535
35.6852755701,-83.6580699,698.195800781
35.685195171,-83.6580726,698.826477051
35.68511677,-83.6580919,699.809020996
35.685040171,-83.6581174,701.24621582
35.68495977,-83.6581582,702.848266602
35.68488727,-83.6582121001,704.482421875
35.68481667,-83.6582686001,705.165100098
35.6847415699,-83.6583187001,705.955871582
35.6846564699,-83.6583477001,706.584838867
35.6845750699,-83.6583404001,707.065856934
35.6844952709,-83.6583208001,706.478820801
35.6844137709,-83.6583175001,706.948608398
35.6843297688,-83.6583483001,708.809204102
35.6842499698,-83.6583894001,710.733642578
35.6841846688,-83.6584317001,712.580749512
35.6841212698,-83.6584767001,714.654602051
35.6840491688,-83.6585043001,715.140563965
35.6839668698,-83.6584927001,716.006286621
35.6838877688,-83.6584658001,717.047302246
35.6838040687,-83.6584267001,717.748901367
35.6837180687,-83.6583939,719.153625488
35.6836280697,-83.6583909,721.129455566
35.6835892707,-83.658429,721.882568359
35.6835630687,-83.6584771001,721.789855957
35.6835487697,-83.6585699001,721.96673584
35.6835498697,-83.6586645001,722.692077637
35.6835487697,-83.6587446001,723.281311035
35.6835503697,-83.6588247002,724.036071777
35.6835522687,-83.6589048002,724.883117676
35.6835517697,-83.6589849002,725.548583984
35.6835479697,-83.6590658002,726.132019043
35.6835426687,-83.6591467003,726.709533691
35.6835374707,-83.6592275003,727.247375488
35.6835334696,-83.6593121003,728.15435791
35.6835295686,-83.6593967003,728.995788574
35.6835227706,-83.6594811003,729.767333984
35.6835121696,-83.6595507004,729.90234375
35.6834996696,-83.6596200004,730.057373047
35.6834911686,-83.6596899004,730.157043457
35.6834912696,-83.6597761004,730.793212891
35.6834990696,-83.6598621005,731.903625488
35.6835099706,-83.6599477005,732.570373535
35.6835196686,-83.6600334005,733.341003418
35.6835286696,-83.6601109005,733.935241699
35.6835393706,-83.6601882006,734.757019043
35.6835474686,-83.6602657006,735.594604492
35.6835487696,-83.6603437006,736.256225586
35.6835453696,-83.6604300006,736.836120605
35.6835361706,-83.6605157007,737.102722168
35.6835070706,-83.6605965007,737.171630859
35.6834515686,-83.6606609007,737.066650391
35.6834240686,-83.6606821007,737.140441895
35.6833474696,-83.6606991007,738.239379883
35.6832688695,-83.6606848007,738.289245605
35.6831898685,-83.6606743007,738.662414551
35.6830950695,-83.6606825007,739.645996094
35.6830002705,-83.6606901007,740.915222168
35.6829237695,-83.6606851007,741.260192871
35.6828471704,-83.6606850007,741.953735352
35.6827604694,-83.6607032007,743.165893555
35.6826835704,-83.6607459007,744.348510742
35.6826461704,-83.6607913007,744.872497559
35.6826183704,-83.6608431007,745.035644531
35.6826065684,-83.6609308007,745.512939453
35.6826158684,-83.6610195007,746.362487793
35.6826214694,-83.6611084008,746.896850586
35.6826163694,-83.6611894008,747.292358398
35.6826085694,-83.6612701008,747.942077637
35.6825980694,-83.6613506008,748.50378418
35.6825838704,-83.6614353009,749.141174316
35.6825667694,-83.6615194009,749.828918457
35.6825474684,-83.6616030009,750.56640625
35.6825275703,-83.6616841009,751.354370117
35.6825056693,-83.661764701,751.834655762
35.6824789693,-83.661843801,752.147949219
35.6824572703,-83.661899101,752.451171875
35.6824315693,-83.661952701,753.082458496
35.6823679693,-83.662028801,753.597229004
35.6823020683,-83.662103101,754.189758301
35.6822639683,-83.6621689011,755.329223633
35.6822321693,-83.6622380011,756.021728516
35.6822072693,-83.6623098011,756.703125
35.6821842692,-83.6623965011,757.125366211
35.6821763702,-83.6624856011,756.930480957
35.6822024692,-83.6625779012,757.345581055
35.6822445692,-83.6626646012,757.892456055
35.6822870693,-83.6627349012,758.361206055
35.6823391693,-83.6627986012,758.975341797
35.6823943683,-83.6628596013,759.969848633
35.6824466693,-83.6629231013,760.897583008
35.6824896693,-83.6629931013,761.618530273
35.6825230693,-83.6630645013,762.202453613
35.6825494693,-83.6631387014,763.349182129
35.6825575693,-83.6632091014,764.206481934
35.6825584693,-83.6632800014,764.459960938
35.6825718693,-83.6633494014,763.88494873
35.6826030683,-83.6634028014,763.574707031
35.6826417683,-83.6634511015,763.280334473
35.6827000693,-83.6635019015,763.426391602
35.6827566693,-83.6635543015,764.078491211
35.6828021683,-83.6636352015,764.736755371
35.6828339693,-83.6637226015,765.225891113
35.6828555683,-83.6638099016,765.546630859
35.6828667683,-83.6638990016,765.456970215
35.6828640703,-83.6639888016,765.463256836
