lat,lng,ele
35.588270745,-83.7566723231,756.188476562
35.588201546,-83.7566854231,756.459106445
35.588136646,-83.7567128231,757.226989746
35.588079546,-83.7567540231,758.188110352
35.588037546,-83.7568075231,758.67791748
35.587996046,-83.7568615231,758.973937988
35.587931846,-83.7569104231,759.046813965
35.5878588449,-83.7569450232,758.322998047
35.5877962459,-83.7569585232,758.768920898
35.5877323459,-83.7569628231,760.320495605
35.5876468469,-83.7569556231,761.724121094
35.5875614459,-83.7569459231,762.623168945
35.5874890449,-83.7569447231,763.086242676
35.5874170459,-83.7569519231,763.788146973
35.5873514458,-83.7569790231,764.888244629
35.5872903458,-83.7570156231,765.75201416
35.5872256468,-83.7570447231,766.221740723
35.5871716468,-83.7570552231,766.708190918
35.5871171458,-83.7570630231,767.465393066
35.5870236458,-83.7570751231,768.818481445
35.5869296457,-83.7570828231,770.234985352
35.5868357467,-83.7570909231,771.46673584
35.5867423457,-83.7571041231,772.751647949
35.5866511447,-83.7571275231,773.882995605
35.5865649457,-83.7571655231,774.313659668
35.5864869457,-83.7572156231,775.083374023
35.5864139466,-83.7572727232,776.08001709
35.5863447456,-83.7573344232,776.760620117
35.5862950466,-83.7573875232,777.287109375
35.5862478446,-83.7574430232,778.149047852
35.5861969466,-83.7574949232,778.73840332
35.5861238446,-83.7575502232,779.61529541
35.5860447455,-83.7575967232,781.390136719
35.5859620465,-83.7576363232,782.667419434
35.5858773465,-83.7576715232,783.754089355
35.5858151445,-83.7576956232,784.738891602
35.5857518445,-83.7577166233,785.675537109
35.5856867455,-83.7577311233,786.416931152
35.5856282455,-83.7577368232,787.409851074
35.5855694454,-83.7577382232,788.509460449
35.5854853454,-83.7577289232,789.598388672
35.5854021464,-83.7577127232,791.046081543
35.5853177464,-83.7577075232,792.174377441
35.5852447454,-83.7577183232,792.885437012
35.5851729454,-83.7577356232,794.395141602
35.5850975463,-83.7577597232,795.236816406
35.5850243453,-83.7577897232,795.215270996
35.5849526453,-83.7578231232,795.003051758
35.5848815463,-83.7578580232,795.487609863
35.5848175453,-83.7578924232,796.440917969
35.5847545453,-83.7579285233,797.235839844
35.5846899452,-83.7579618233,798.172851562
35.5846145452,-83.7579972233,799.629211426
35.5845353452,-83.7580226233,801.001647949
35.5844632442,-83.7580244233,802.164367676
35.5843912452,-83.7580177233,803.636230469
35.5843234452,-83.7580125233,804.432250977
35.5842563452,-83.7580020232,805.000976562
35.5842012441,-83.7579878232,806.191711426
35.5841490461,-83.7579653232,807.674682617
35.5841070451,-83.7579222232,808.320861816
35.5840607451,-83.7578850232,809.140014648
35.5839974451,-83.7578939232,809.822021484
35.5839514451,-83.7579307232,810.743041992
35.5839056441,-83.7579679232,811.008239746
35.5838284451,-83.7579629232,811.81842041
35.5837530451,-83.7579406232,813.436096191
35.583663946,-83.7579196232,814.18157959
35.583574746,-83.7578991232,815.29876709
35.583483645,-83.7578983232,816.062011719
