lat,lng,ele
35.6271912553,-83.7266019166,485.22076416
35.6272274563,-83.7265424166,485.392608643
35.6272703543,-83.7264877166,485.481384277
35.6273206553,-83.7264396166,485.105194092
35.6274016544,-83.7263926166,484.307250977
35.6274915554,-83.7263655166,483.566345215
35.6275840564,-83.7263492166,482.822784424
35.6276741554,-83.7263423166,482.259918213
35.6277644554,-83.7263443166,481.717956543
35.6278341554,-83.7263483166,481.392974854
35.6279034545,-83.7263565166,481.243347168
35.6279710555,-83.7263734166,481.097412109
35.6280370555,-83.7264016166,481.129943848
35.6280993545,-83.7264376166,481.491851807
35.6281579555,-83.7264791166,481.766418457
35.6282179555,-83.7265319167,482.378112793
35.6282729555,-83.7265900167,482.586669922
35.6283253555,-83.7266504167,482.553649902
35.6283888545,-83.7267275167,482.213989258
35.6284486546,-83.7268076168,482.432769775
35.6285035566,-83.7268910168,482.807800293
35.6285522556,-83.7269782168,482.811920166
35.6285871556,-83.7270544168,483.158721924
35.6286174556,-83.7271326169,483.322906494
35.6286449556,-83.7272118169,483.40612793
35.6286713546,-83.7272914169,483.728942871
35.6286951556,-83.7273653169,483.791900635
35.6287174556,-83.727439717,483.920623779
35.6287384546,-83.727514517,484.451690674
35.6287546556,-83.727581417,485.168640137
35.6287698556,-83.727648517,485.549285889
35.6287879566,-83.727714917,485.823028564
35.6288158546,-83.7277895171,486.39630127
35.6288489566,-83.7278620171,486.734741211
35.6288836556,-83.7279337171,487.16619873
35.6289165556,-83.7280063171,487.521850586
35.6289521556,-83.7280924172,487.725921631
35.6289868556,-83.7281788172,488.12512207
35.6290205556,-83.7282657172,488.484954834
35.6290528566,-83.7283531172,488.527313232
35.6290834556,-83.7284421173,488.859313965
35.6291123566,-83.7285316173,488.871520996
35.6291410566,-83.7286212173,488.971557617
35.6291709556,-83.7287104174,489.189819336
35.6292007556,-83.7287973174,489.298919678
35.6292301556,-83.7288842174,489.488464355
35.6292603546,-83.7289710174,489.574829102
35.6292923546,-83.7290571175,490.029846191
35.6293273556,-83.7291419175,489.854187012
35.6293666556,-83.7292249175,489.882873535
35.6294104557,-83.7293052175,490.213409424
35.6294573557,-83.7293838176,490.324432373
35.6295054547,-83.7294616176,490.462310791
35.6295570557,-83.7295411176,490.714050293
35.6296107557,-83.7296193177,491.294128418
35.6296640557,-83.7296976177,491.448272705
35.6297146557,-83.7297778177,491.612854004
35.6297594567,-83.7298557177,491.690155029
35.6298024557,-83.7299346178,491.625610352
35.6298444567,-83.7300141178,491.788299561
35.6298845557,-83.7300920178,492.290435791
35.6299235557,-83.7301705178,492.322723389
35.6299618547,-83.7302494179,492.407775879
35.6299995547,-83.7303285179,492.456359863
35.6300441557,-83.7304166179,492.474456787
35.6300895557,-83.7305042179,492.463806152
35.6301308568,-83.730593918,492.865997314
35.6301625548,-83.730687318,492.885620117
35.6301796558,-83.730771718,493.171661377
35.6301909548,-83.730857118,493.548583984
35.6302018548,-83.7309426181,493.580810547
35.6302110567,-83.7310167181,493.684020996
35.6302200547,-83.7310909181,493.667877197
35.6302328547,-83.7311644181,493.640930176
35.6302543557,-83.7312437182,493.910736084
35.6302806558,-83.7313215182,493.966918945
35.6303086558,-83.7313988182,494.147521973
35.6303370548,-83.7314783182,494.286529541
35.6303671558,-83.7315572183,494.30456543
35.6304024568,-83.7316339183,494.475067139
35.6304496558,-83.7317122183,494.710418701
35.6305046558,-83.7317853183,494.868041992
35.6305649558,-83.7318542184,495.007904053
35.6306281548,-83.7319204184,495.097015381
35.6306919558,-83.7319860184,495.449798584
35.6307524568,-83.7320518184,495.489074707
35.6308146558,-83.7321158185,495.732635498
35.6308860548,-83.7321692185,495.918334961
35.6309482559,-83.7321943185,496.379547119
35.6310111559,-83.7322176185,497.076873779
35.6310861549,-83.7322654185,497.474212646
35.6311622559,-83.7323111185,497.769073486
35.6312499559,-83.7323405185,498.950775146
35.6313416559,-83.7323503186,500.309661865
35.6314135559,-83.7323263186,501.089385986
35.631486756,-83.7323111186,502.217529297
35.631540456,-83.7323388186,503.063293457
35.631584256,-83.7323807186,504.237243652
35.631612256,-83.7324738186,506.470153809
35.631614755,-83.7325726186,507.903533936
35.631631856,-83.7326693187,508.1746521
35.631664356,-83.7327316187,508.938903809
35.631704855,-83.7327891187,509.622253418
