lat,lng,ele
35.5863348726,-83.0735413226,1500.45129395
35.5863516736,-83.0735655226,1500.60778809
35.5863683726,-83.0735896227,1500.78796387
35.5863851736,-83.0736138227,1500.9921875
35.5864018716,-83.0736379227,1501.26416016
35.5864186727,-83.0736621227,1501.6361084
35.5864354717,-83.0736862227,1502.09716797
35.5864522727,-83.0737104227,1502.60388184
35.5864690727,-83.0737346227,1503.08959961
35.5864858737,-83.0737587227,1503.52380371
35.5865025717,-83.0737829227,1503.93286133
35.5865193727,-83.0738070227,1504.32312012
35.5865360737,-83.0738312227,1504.64147949
35.5865528727,-83.0738554227,1504.97302246
35.5865696717,-83.0738795228,1505.35974121
35.5865863727,-83.0739037228,1505.73291016
35.5866031737,-83.0739278228,1506.02380371
35.5866198717,-83.0739520228,1506.26647949
35.5866366727,-83.0739762228,1506.57275391
35.5866585727,-83.0739937228,1506.77099609
35.5866807727,-83.0740105228,1506.88098145
35.5867034737,-83.0740264228,1506.90161133
35.5867265717,-83.0740414228,1506.8269043
35.5867499727,-83.0740554228,1506.7109375
35.5867739727,-83.0740683228,1506.61254883
35.5867966727,-83.0740793228,1506.50012207
35.5868196727,-83.0740892228,1506.37133789
35.5868428737,-83.0740983228,1506.20178223
35.5868662717,-83.0741067228,1505.99633789
35.5868898717,-83.0741142228,1505.77001953
35.5869139727,-83.0741193228,1505.55114746
35.5869382727,-83.0741213228,1505.26831055
35.5869626737,-83.0741226228,1504.96057129
35.5869870718,-83.0741251228,1504.67700195
35.5870108728,-83.0741313229,1504.453125
35.5870328728,-83.0741441229,1504.33776855
35.5870526728,-83.0741647229,1504.32006836
35.5870695728,-83.0741887229,1504.37109375
35.5870840728,-83.0742151229,1504.46337891
35.5870960728,-83.0742433229,1504.64404297
35.5871033718,-83.0742670229,1504.87854004
35.5871087718,-83.0742914229,1505.09558105
35.5871125738,-83.0743163229,1505.33618164
35.5871152728,-83.0743414229,1505.57580566
35.5871174728,-83.0743724229,1505.8581543
35.5871179738,-83.0744035229,1506.20739746
35.5871160738,-83.0744345229,1506.62976074
35.5871104728,-83.074464823,1507.07617188
35.5870999728,-83.074490723,1507.51159668
35.5870853738,-83.074513623,1507.86181641
35.5870694718,-83.074535323,1508.13928223
35.5870541717,-83.074557323,1508.42504883
35.5870412737,-83.074581623,1508.69787598
35.5870319727,-83.074606623,1508.92370605
35.5870238727,-83.074632123,1509.11547852
35.5870168727,-83.074658223,1509.29675293
35.5870110727,-83.074684623,1509.43945312
35.5870049717,-83.074716723,1509.57995605
35.5869999727,-83.074749023,1509.73828125
35.5869964727,-83.074781623,1509.92260742
35.5869946737,-83.0748144231,1510.09533691
35.5869950727,-83.0748473231,1510.24047852
35.5869983727,-83.0748799231,1510.42956543
35.5870052717,-83.0749117231,1510.71008301
35.5870130727,-83.0749356231,1510.97619629
35.5870223727,-83.0749588231,1511.26367188
35.5870331727,-83.0749809231,1511.5871582
35.5870452727,-83.0750020231,1511.9095459
35.5870441737,-83.0750000231,1511.87878418
35.5870600727,-83.0750237231,1512.3026123
35.5870758717,-83.0750473231,1512.73522949
35.5870918717,-83.0750710231,1513.18237305
35.5871077737,-83.0750946231,1513.60144043
35.5871235727,-83.0751182231,1513.98693848
35.5871394717,-83.0751419232,1514.39978027
35.5871554717,-83.0751655232,1514.8548584
35.5871713737,-83.0751890232,1515.28369141
35.5871873738,-83.0752126232,1515.71508789
35.5872034728,-83.0752361232,1516.14221191
35.5872195728,-83.0752595232,1516.56787109
35.5872356718,-83.0752829232,1516.91149902
35.5872518738,-83.0753063232,1517.19604492
35.5872657728,-83.0753296232,1517.54919434
35.5872716728,-83.0753573232,1517.95947266
35.5872737728,-83.0753861232,1518.3067627
35.5872753728,-83.0754082232,1518.53088379
35.5872763728,-83.0754304232,1518.75500488
35.5872763728,-83.0754527233,1518.98608398
35.5872754728,-83.0754839233,1519.2890625
35.5872743718,-83.0755150233,1519.58654785
35.5872730718,-83.0755462233,1519.82373047
35.5872692718,-83.0755752233,1519.95385742
35.5872637718,-83.0756038233,1520.10229492
35.5872594727,-83.0756327233,1520.25671387
35.5872784718,-83.0756526233,1520.58874512
35.5872971728,-83.0756731233,1520.91320801
35.5873156728,-83.0756936233,1521.23181152
35.5873340738,-83.0757144233,1521.40588379
35.5873525738,-83.0757352233,1521.4934082
35.5873710738,-83.0757559234,1521.57299805
35.5873895728,-83.0757763234,1521.73583984
35.5874083728,-83.0757966234,1521.89025879
35.5874274728,-83.0758164234,1521.91455078
35.5874468738,-83.0758356234,1521.82824707
35.5874668728,-83.0758541234,1521.73730469
35.5874874738,-83.0758716234,1521.70825195
35.5875098718,-83.0758889234,1521.71691895
35.5875326728,-83.0759054234,1521.69433594
35.5875557728,-83.0759213234,1521.55883789
35.5875789728,-83.0759373234,1521.34924316
35.5876014728,-83.0759544234,1521.17016602
35.5876230728,-83.0759733234,1521.01513672
35.5876434718,-83.0759938234,1520.84838867
35.5876631738,-83.0760155234,1520.64135742
35.5876796728,-83.0760311234,1520.49572754
35.5876967738,-83.0760458235,1520.35668945
35.5877133738,-83.0760614235,1520.22521973
35.5877268718,-83.0760806235,1520.08532715
35.5877439728,-83.0761036235,1519.94702148
35.5877645718,-83.0761225235,1519.79333496
35.5877813728,-83.0761459235,1519.60876465
35.5877916738,-83.0761712235,1519.39013672
35.5878011728,-83.0761970235,1519.15319824
35.5878069728,-83.0762245235,1518.93225098
35.5878065728,-83.0762527235,1518.81542969
35.5878078728,-83.0762825235,1518.74523926
35.5878164728,-83.0763107235,1518.60839844
35.5878289728,-83.0763366235,1518.46044922
35.5878434738,-83.0763608236,1518.37475586
35.5878593728,-83.0763839236,1518.30383301
35.5878756728,-83.0764064236,1518.24243164
35.5878907738,-83.0764249236,1518.17907715
35.5879081729,-83.0764403236,1518.17236328
35.5879273729,-83.0764518236,1518.17590332
35.5879473719,-83.0764613236,1518.1315918
35.5879726719,-83.0764695236,1518.02392578
35.5879983729,-83.0764768236,1517.90087891
35.5880227739,-83.0764883236,1517.84216309
35.5880447739,-83.0764987236,1517.90124512
35.5880678719,-83.0765053236,1517.92126465
35.5880878729,-83.0765203236,1518.07653809
35.5881067739,-83.0765410236,1518.31103516
35.5881282719,-83.0765576236,1518.49719238
35.5881503729,-83.0765730236,1518.69934082
35.5881717719,-83.0765899236,1519.0222168
35.5881906729,-83.0766106236,1519.38684082
35.5882050729,-83.0766313237,1519.69812012
35.5882182729,-83.0766531237,1519.96057129
35.5882314719,-83.0766750237,1520.15527344
35.5882463729,-83.0766951237,1520.31262207
