lat,lng,ele
35.6432479577,-83.7501579245,613.932250977
35.6433075567,-83.7499171244,613.733642578
35.6433378587,-83.7497746244,614.552307129
35.6434038577,-83.7496443243,615.882446289
35.6436148578,-83.7494859243,618.218383789
35.6436811568,-83.7493447243,619.25793457
35.6436934578,-83.7492015242,620.797424316
35.6436609588,-83.7490458242,622.562133789
35.6436944578,-83.7487599241,624.420166016
35.6436457578,-83.748526424,625.348632812
35.6435607578,-83.748302624,626.770080566
35.6434411568,-83.7480114239,631.693054199
35.6433726578,-83.7478545238,633.088500977
35.6432701588,-83.7476081237,635.551025391
35.6431228568,-83.7473491236,636.78704834
35.6430185578,-83.7471799236,637.795837402
35.6428166587,-83.7469411235,637.171875
