lat,lng,ele
35.5557135569,-83.3118082908,671.348083496
35.5556988569,-83.3121947909,668.829162598
35.5557583579,-83.312383991,670.964355469
35.5559502569,-83.3127204911,671.528320312
35.556222058,-83.3131143912,672.132202148
35.556405357,-83.3134284913,672.824462891
35.556562856,-83.3136756914,673.559509277
35.556719557,-83.3139669915,674.190856934
35.556860056,-83.3141585916,674.764465332
35.5571246561,-83.3144640917,675.205749512
35.5573014571,-83.3146456918,675.767883301
35.5574064581,-83.3148031918,676.000610352
35.5575854562,-83.3148744918,677.355834961
35.5578901572,-83.3149714919,681.768432617
35.5580612583,-83.3149764919,685.447570801
35.5581599573,-83.3150013919,686.910339355
