lat,lng,ele
35.5578435573,-83.3131719913,
35.5580128573,-83.3132761914,
35.5581112573,-83.3133120914,
35.5582086564,-83.3134030914,
35.5582623564,-83.3134266914,
35.5583060584,-83.3134941915,
35.5583955584,-83.3135299915,
35.5584847584,-83.3135765915,
35.5585729584,-83.3136784915,
35.5586712574,-83.3137253916,
35.5587420565,-83.3137935916,
35.5588402575,-83.3138405916,
35.5589377575,-83.3139315916,
35.5590097575,-83.3139336916,
35.5591084575,-83.3139585917,
35.5592069585,-83.3139944917,
35.5592699586,-83.3139963917,
35.5593236586,-83.3140199917,
35.5594049576,-83.3140112917,
35.5594673576,-83.3140461917,
35.5595639586,-83.3141812917,
35.5595894576,-83.3142592918,
35.5596778576,-83.3143500918,
35.5597846576,-83.3144192918,
35.5598198577,-83.3144644918,
35.5598098576,-83.3145192919,
35.5597735576,-83.3145292919,
35.5596933586,-83.3144828918,
35.5596210576,-83.3144917918,
35.5595493566,-83.3144676918,
35.5594970576,-83.3143778918,
35.5594264576,-83.3142986918,
35.5593719566,-83.3143191918,
35.5593082585,-83.3143504918,
35.5592617575,-83.3144262918,
35.5592068575,-83.3144688918,
35.5591343575,-83.3144888918,
35.5590264565,-83.3144746918,
35.5588829585,-83.3144374918,
35.5587293574,-83.3144550918,
35.5586308564,-83.3144191918,
35.5585412584,-83.3143945917,
35.5584517574,-83.3143588917,
35.5583899574,-83.3142908917,
35.5582288573,-83.3142311917,
35.5580859563,-83.3141608917,
35.5579619563,-83.3140469916,
35.5578727583,-83.3140002916,
35.5578102573,-83.3139653916,
35.5577566572,-83.3139417916,
35.5577384572,-83.3139522916,
35.5577465562,-83.3139966916,
35.5577727562,-83.3140414916,
35.5578779573,-83.3141989917,
35.5579474573,-83.3143333917,
35.5579914573,-83.3143897917,
35.5580083573,-83.3144453917,
35.5579989583,-83.3144671917,
35.5579448573,-83.3144656917,
35.5578558562,-83.3144079917,
35.5577123562,-83.3143706917,
35.5575958572,-83.3143342917,
35.5574538562,-83.3142198916,
35.5573650572,-83.3141511916,
35.5572669571,-83.3140931916,
35.5571777571,-83.3140464916,
35.5570539581,-83.3139214915,
35.5569747561,-83.3138198915,
35.5569135571,-83.3137188915,
35.5568970581,-83.3136411914,
35.5569352571,-83.3135319914,
35.5570454571,-83.3134247914,
35.5571089581,-83.3134045914,
35.5572095582,-83.3133302914,
35.5572995572,-83.3133328914,
35.5573637572,-83.3132795914,
35.5574988562,-83.3132833914,
35.5576080572,-83.3132313914,
35.5577358573,-83.3131467913,
35.5578435573,-83.3131719913,
