lat,lng,ele
35.5503145559,-83.3076388893,668.144897461
35.5502236559,-83.3076251893,668.76739502
35.5501350549,-83.3076005893,671.173522949
35.5500645559,-83.3075697892,671.543273926
35.5499971559,-83.3075325892,671.774841309
35.5499297559,-83.3074954892,673.003479004
35.5498432569,-83.3074505892,674.572021484
35.5497568558,-83.3074052892,674.626525879
35.5496698558,-83.3073612892,675.161682129
35.5495815548,-83.3073199891,676.177734375
35.5495099548,-83.3072980891,676.619812012
35.5494377548,-83.3072777891,676.643981934
35.5493757548,-83.3072368891,677.816345215
35.5493323558,-83.3071740891,678.95098877
35.5493062558,-83.3071025891,679.99621582
35.5493032558,-83.307047389,680.38470459
35.5493083558,-83.306992289,679.911254883
35.5493342558,-83.306909089,680.036560059
35.5493753568,-83.306831789,681.292419434
35.5494120558,-83.306752489,681.414794922
35.5494391558,-83.306688689,682.049255371
35.5494506558,-83.3066212889,681.402893066
35.5494246548,-83.3065653889,677.347595215
35.5493710558,-83.3065417889,681.085144043
35.5493112558,-83.3065942889,681.092651367
35.5492606568,-83.3066599889,679.120849609
35.5492122558,-83.3066891889,678.979675293
35.5491604557,-83.3067121889,678.160888672
35.5491069547,-83.3067300889,677.713012695
35.5490517557,-83.3067421889,677.740539551
35.5489550557,-83.3067402889,678.84765625
35.5488620557,-83.3067126889,679.750915527
35.5487731557,-83.3066733889,680.638916016
35.5486853566,-83.3066318889,681.417175293
35.5485947556,-83.3065967889,681.813720703
35.5485144546,-83.3065709889,681.769470215
35.5484334556,-83.3065479889,681.111572266
35.5483577556,-83.3065303888,680.687072754
35.5482807566,-83.3065215888,680.472106934
35.5482176555,-83.3065326888,679.931152344
35.5481541555,-83.3065399888,679.545654297
35.5480939555,-83.3065216888,679.459716797
35.5480378555,-83.3064925888,679.598693848
35.5479806555,-83.3064519888,678.848571777
35.5479287555,-83.3064044888,678.793762207
35.5478782555,-83.3063555888,678.848449707
35.5478119565,-83.3062972887,679.996520996
35.5477544565,-83.3062307887,680.108642578
35.5477255555,-83.3061706887,679.968017578
35.5477027545,-83.3061078887,680.014526367
35.5476878555,-83.3060515887,680.312194824
35.5476687565,-83.3059966886,680.126953125
35.5476247544,-83.3059402886,679.63293457
35.5475612554,-83.3059604886,678.316589355
35.5474776564,-83.3059545886,677.439941406
35.5473997544,-83.3059227886,676.617431641
35.5473449554,-83.3058747886,676.84777832
35.5472994544,-83.3058174886,677.769348145
35.5472495544,-83.3057640886,678.457397461
35.5471667564,-83.3057114885,678.525878906
35.5470777553,-83.3056699885,677.457214355
35.5469908553,-83.3056242885,676.851806641
35.5469277543,-83.3055795885,676.556274414
35.5468671553,-83.3055314885,676.35748291
35.5468061553,-83.3054837884,675.670349121
35.5467419553,-83.3054406884,674.884399414
35.5466667553,-83.3054064884,673.574035645
35.5465895563,-83.3053767884,672.074890137
35.5465185552,-83.3053349884,671.075683594
35.5464667552,-83.3052769884,671.765563965
35.5464125542,-83.3052216883,672.631286621
35.5463166562,-83.3052065883,670.903320312
35.5462240542,-83.3051831883,669.063598633
35.5461864552,-83.3051252883,668.908203125
35.5461632562,-83.3050600883,669.119567871
35.5461575542,-83.3049719883,669.022644043
35.5461666552,-83.3048837882,669.257873535
35.5461861552,-83.3048067882,669.658203125
35.5462124562,-83.3047317882,669.89630127
35.5462251552,-83.3046536882,669.64050293
35.5461961562,-83.3045734881,669.401916504
35.5461424562,-83.3045058881,667.515625
35.5460878542,-83.3044391881,665.627929688
35.5460504562,-83.3043618881,665.747497559
35.5460382562,-83.3043125881,665.963012695
35.5460343552,-83.304262188,666.371826172
35.5460535552,-83.304196588,668.093017578
35.5460093552,-83.304151188,666.735839844
35.5459474552,-83.304117988,664.932861328
35.5458801542,-83.304096188,663.587219238
35.5458218551,-83.304057588,662.620910645
35.5457851561,-83.3039859879,662.888244629
35.5457526541,-83.3039121879,663.153381348
35.5456964551,-83.3038381879,663.025878906
35.5456382541,-83.3037655879,662.683349609
35.5455899541,-83.3036785878,662.442077637
35.5455504551,-83.3035871878,662.340820312
35.5455114551,-83.3034955878,662.159606934
35.5454648551,-83.3034076878,662.007629395
35.5454217551,-83.3033469877,661.817871094
35.5453758541,-83.3032882877,661.558898926
35.5453330541,-83.3032273877,661.186584473
35.5452952561,-83.3031590877,660.643676758
35.5452619551,-83.3030883876,659.924804688
35.5452294561,-83.3030173876,659.274291992
35.5451941551,-83.3029476876,658.834960938
35.5451501561,-83.3028775876,658.624206543
35.545102355,-83.3028098876,658.325195312
35.545056755,-83.3027407875,658.051330566
35.545019255,-83.3026669875,657.809936523
35.544991754,-83.3025796875,658.089233398
35.544975255,-83.3024896875,658.469604492
35.544965854,-83.3023985874,658.885742188
35.544960054,-83.3023072874,659.332885742
35.544955256,-83.3022157874,659.352233887
35.544948455,-83.3021244873,659.291809082
35.544940455,-83.3020250873,658.073669434
35.544934255,-83.3019255873,659.399902344
35.5449280561,-83.3018259873,659.487304688
35.5449200561,-83.3017265872,659.652526855
35.5449138551,-83.3016430872,659.471801758
35.5449083551,-83.3015594872,659.398254395
35.5448991551,-83.3014762872,659.356506348
35.5448812551,-83.3013944871,659.209655762
35.5448606561,-83.3013254871,659.05279541
35.5448297551,-83.3012606871,658.620605469
35.544771955,-83.3012204871,657.50012207
35.544714155,-83.3011801871,656.390563965
35.544682956,-83.301115487,656.332885742
35.544662554,-83.301046387,656.199523926
35.544647854,-83.300947987,656.206298828
35.544648955,-83.300848287,656.574035645
35.544653856,-83.3007486869,656.82635498
35.544652155,-83.3006489869,657.307739258
35.544641955,-83.3005656869,657.386352539
35.544628555,-83.3004828868,657.904968262
35.544614954,-83.3003999868,658.356323242
35.544604354,-83.3003167868,658.252990723
35.544597054,-83.3002282868,657.777648926
35.544606954,-83.3001844868,657.780822754
35.5446349551,-83.3001300867,658.096191406
35.5446716551,-83.3000980867,658.553161621
