lat,lng,ele
35.7478669006,-83.2149998738,816.412109375
35.7478300016,-83.2150142738,817.045837402
35.7477917016,-83.2150215738,817.81048584
35.7477529006,-83.2150212738,818.44543457
35.7477146996,-83.2150134738,819.182739258
35.7476779996,-83.2149982738,819.97833252
35.7476581996,-83.2149950738,820.39642334
35.7476382006,-83.2149958738,820.834899902
35.7476186006,-83.2150006738,821.307067871
35.7475999996,-83.2150094738,821.768737793
35.7475827016,-83.2150218738,822.13848877
35.7475673996,-83.2150375738,822.436096191
35.7475544006,-83.2150560738,822.712097168
35.7475440016,-83.2150770738,822.926940918
35.7475417006,-83.2150916738,822.956604004
35.7475411016,-83.2151066738,822.950927734
35.7475424996,-83.2151215738,822.91015625
35.7475456016,-83.2151360738,822.805664062
35.7475504996,-83.2151497738,822.702941895
35.7475570006,-83.2151623738,822.543579102
35.7475651016,-83.2151735738,822.35345459
35.7475747016,-83.2151851738,822.113769531
35.7475858006,-83.2151945738,821.882080078
35.7475980996,-83.2152013738,821.662414551
35.7476110006,-83.2152054738,821.440002441
35.7476245006,-83.2152069738,821.207763672
35.7476378006,-83.2152054738,820.996032715
35.7476762006,-83.2151994738,820.301696777
35.7476980006,-83.2151951738,819.884033203
35.7477191996,-83.2151868738,819.472045898
35.7477389996,-83.2151745738,819.042297363
35.7477570006,-83.2151586738,818.710449219
35.7477683006,-83.2151480738,818.491943359
35.7477990996,-83.2151177738,817.896057129
35.7478260006,-83.2150824738,817.390441895
35.7478488006,-83.2150428738,816.790100098
35.7478669006,-83.2149998738,816.412109375
