lat,lng,ele
35.5085808388,-83.52323975,1195.39208984
35.5085202387,-83.52329985,1194.4934082
35.5084557397,-83.5233555501,1194.58862305
35.5083872387,-83.5234064501,1195.18774414
35.5083150387,-83.5234518501,1196.15380859
35.5082516377,-83.5234835501,1196.71142578
35.5081875387,-83.5235140501,1197.11914062
35.5081015387,-83.5235547501,1197.74169922
35.5080233396,-83.5236081501,1198.42700195
35.5079809376,-83.5236738501,1199.32324219
35.5079495396,-83.5237458501,1200.14428711
35.5079108396,-83.5238140502,1201.07836914
35.5078469396,-83.5238834502,1202.57788086
35.5077729386,-83.5239420502,1204.03881836
35.5076849395,-83.5239747502,1204.18676758
35.5076001385,-83.5240137502,1203.71350098
35.5075529395,-83.5240834502,1203.21936035
35.5075071385,-83.5241541502,1203.23303223
35.5074358385,-83.5241972502,1203.68664551
35.5073556385,-83.5242222502,1204.40075684
35.5072796385,-83.5242572503,1205.46386719
35.5072110374,-83.5243216503,1207.14794922
35.5071417374,-83.5243852503,1209.33874512
35.5070794384,-83.5244156503,1211.17822266
35.5070135374,-83.5244379503,1212.64587402
35.5069507384,-83.5244674503,1213.61669922
35.5068924374,-83.5245135503,1214.55688477
35.5068391383,-83.5245653503,1215.71105957
35.5067853373,-83.5246166503,1217.0612793
35.5067158383,-83.5246708503,1218.25610352
35.5066456393,-83.5247243504,1219.30297852
35.5065834383,-83.5247866504,1220.45007324
35.5065353383,-83.5248614504,1221.65759277
35.5064901383,-83.5249380504,1222.99255371
35.5064424372,-83.5249938504,1223.65661621
35.5064064382,-83.5250568504,1224.27844238
35.5064091392,-83.5251065505,1224.56958008
35.5064133372,-83.5251562505,1224.88549805
35.5063887372,-83.5252283505,1225.5098877
35.5063563382,-83.5252977505,1226.45361328
35.5063285382,-83.5253898505,1227.49365234
35.5063073382,-83.5254836506,1228.88549805
35.5062957372,-83.5255564506,1229.8182373
35.5062880392,-83.5256297506,1230.85314941
35.5062847382,-83.5257033506,1231.76147461
35.5062936382,-83.5258027506,1232.81921387
35.5062986372,-83.5259022507,1233.71826172
35.5062767382,-83.5259958507,1234.53820801
35.5062496392,-83.5260881507,1234.85400391
35.5062365392,-83.5261645508,1234.72692871
35.5062272382,-83.5262416508,1234.74645996
35.5062185381,-83.5263187508,1234.65991211
35.5062071391,-83.5263954508,1234.89123535
35.5061911381,-83.5264722508,1234.84179688
35.5061735381,-83.5265486509,1234.99707031
35.5061572381,-83.5266253509,1235.20678711
35.5061444381,-83.5267190509,1235.70751953
35.5061263391,-83.5268118509,1236.45825195
35.5061020391,-83.526876751,1236.55151367
35.5060709381,-83.526938651,1236.48498535
35.5060323391,-83.526996251,1236.59619141
35.5059858381,-83.527048651,1236.88269043
35.5059311371,-83.527092251,1237.63012695
35.505873239,-83.527115451,1237.75756836
35.505813139,-83.527132651,1237.71569824
35.505732138,-83.527165451,1238.43457031
35.505649638,-83.527193751,1238.68823242
35.505577637,-83.527205051,1237.74060059
35.505505039,-83.527211251,1236.19311523
35.505446438,-83.527217251,1235.1081543
35.5053876379,-83.527218551,1234.16418457
35.5053204369,-83.527203651,1233.56555176
35.5052561369,-83.527178851,1234.10522461
35.5051906369,-83.527157251,1235.42407227
35.5051147379,-83.527141451,1237.05505371
35.5050379379,-83.527130451,1239.1204834
35.5049569389,-83.527121951,1240.77416992
35.5048758368,-83.527125351,1242.28747559
35.5047883378,-83.527164251,1242.91418457
35.5047028378,-83.527208151,1242.90380859
35.5046261378,-83.527230351,1243.4041748
35.5045475378,-83.527244151,1243.57165527
