lat,lng,ele
35.5956553584,-83.4596775366,1719.68798828
35.5955564593,-83.4596634365,1718.84643555
35.5955116593,-83.4596510365,1718.42126465
35.5954571603,-83.4596714365,1718.08227539
35.5954110593,-83.4597252366,1717.94494629
35.5953916603,-83.4597908366,1718.1204834
35.5953990583,-83.4598683366,1718.73376465
35.5953522593,-83.4599552366,1718.73022461
35.5953229603,-83.4600646367,1718.96313477
35.5953297593,-83.4601752367,1719.71826172
35.5953285593,-83.4602303367,1720.09875488
35.5953179593,-83.4603073367,1720.52416992
35.5952977583,-83.4604170368,1721.07507324
35.5952776583,-83.4605157368,1721.67932129
35.5952395602,-83.4606139368,1721.92260742
35.5951839582,-83.4606894368,1721.57556152
35.5951915602,-83.4607559368,1722.34472656
35.5952629582,-83.4607912369,1723.66271973
35.5952890602,-83.4608361369,1724.17785645
35.5952791602,-83.4608799369,1724.25732422
35.5952422592,-83.4609229369,1724.02197266
35.5951967582,-83.4609436369,1723.61682129
35.5951694592,-83.4609538369,1723.3314209
35.5951503602,-83.4610084369,1723.54760742
35.5951575592,-83.4610969369,1724.26269531
35.5951559592,-83.461174137,1724.75158691
35.5951368592,-83.461228737,1724.93481445
35.5950539592,-83.461314537,1725.03149414
35.5950616592,-83.461380937,1725.5793457
35.5950877582,-83.461425937,1726.15673828
35.5951413592,-83.461449637,1726.94006348
35.5952136602,-83.4614408371,1727.2878418
35.5952870592,-83.461376837,1727.09851074
35.5953419592,-83.461334337,1727.23461914
35.5954250593,-83.461237637,1727.30505371
35.5954703583,-83.461227937,1727.6583252
35.5954978593,-83.461206737,1727.46655273
35.5954987583,-83.461162637,1727.04833984
35.5954645583,-83.461073237,1726.41210938
35.5954753603,-83.4609853369,1726.20556641
35.5954944593,-83.4609307369,1726.09240723
35.5955487593,-83.4609213369,1726.34509277
35.5955771593,-83.4608560369,1726.13623047
35.5955785593,-83.4607898369,1725.47839355
35.5955524583,-83.4607448369,1725.17663574
35.5955537583,-83.4606787368,1724.88220215
35.5955922593,-83.4605584368,1724.1685791
35.5956328593,-83.4603390368,1722.99450684
35.5956697583,-83.4602960367,1722.95507812
35.5957427594,-83.4602540367,1722.95300293
35.5958071584,-83.4601898367,1722.92504883
35.5958262604,-83.4601352367,1722.8581543
35.5958188594,-83.4600577367,1723.00097656
35.5957571594,-83.4599896367,1722.81982422
35.5957494594,-83.4599232366,1722.43859863
35.5957686594,-83.4598686366,1722.32702637
35.5956992594,-83.4597340366,1720.62695312
35.5956553584,-83.4596775366,1719.68798828
