lat,lng,ele
35.6110565744,-83.1844418567,1463.79675293
35.6110320724,-83.1843526567,1464.82580566
35.6109977744,-83.1842791566,1466.51867676
35.6109599734,-83.1842074566,1468.87915039
35.6109189724,-83.1841374566,1469.4954834
35.6108742734,-83.1840650566,1469.77758789
35.6108261744,-83.1839948565,1471.53295898
35.6107695734,-83.1839315565,1474.07263184
35.6107069744,-83.1838883565,1475.97509766
35.6106443744,-83.1838450565,1477.08837891
35.6105796734,-83.1837745565,1478.15661621
35.6105382744,-83.1837033564,1478.19750977
35.6105059743,-83.1836273564,1478.69140625
35.6104700733,-83.1835530564,1479.60339355
35.6104232723,-83.1834869564,1481.85266113
35.6103808733,-83.1834182563,1484.51025391
35.6103588733,-83.1833447563,1486.77416992
35.6103492733,-83.1832685563,1487.70568848
35.6103467733,-83.1831917563,1487.49121094
35.6103475733,-83.1831148563,1487.43920898
35.6103485733,-83.1830629562,1486.56994629
35.6103538743,-83.1830114562,1483.67749023
35.6103799733,-83.1829350562,1488.52490234
35.6104169734,-83.1828631562,1490.63256836
35.6104640744,-83.1827970562,1492.47705078
35.6105167734,-83.1827351562,1493.63769531
35.6105552724,-83.1826640561,1494.6340332
35.6105719734,-83.1825872561,1494.84265137
35.6105340744,-83.1825045561,1496.15661621
35.6104710734,-83.1824364561,1496.81433105
35.6104135744,-83.182382756,1498.16674805
35.6103482734,-83.182338656,1499.75231934
35.6102817734,-83.182296256,1500.89318848
35.6102203733,-83.182246956,1502.43530273
35.6101530733,-83.182177656,1503.23876953
35.6100918723,-83.1821029559,1504.52246094
35.6100527743,-83.1820481559,1505.81555176
35.6100191733,-83.1819899559,1507.48583984
35.6099931733,-83.1819214559,1509.0201416
35.6099732723,-83.1818509559,1509.61303711
35.6099507733,-83.1817545558,1510.44274902
35.6099348743,-83.1816568558,1512.34057617
35.6099252743,-83.1815583558,1515.49377441
35.6099204743,-83.1814895558,1516.9128418
35.6099224723,-83.1814206557,1516.82702637
35.6099319743,-83.1813700557,1515.66040039
35.6099483723,-83.1813212557,1514.79907227
35.6100016743,-83.1812516557,1513.50634766
35.6100695734,-83.1811952557,1517.00085449
35.6101423724,-83.1811457557,1517.74987793
35.6102203734,-83.1811048557,1517.26574707
35.6102967734,-83.1810609557,1517.72277832
35.6103724724,-83.1810095556,1520.39233398
35.6104443724,-83.1809529556,1523.49060059
35.6105082725,-83.1808928556,1525.7734375
35.6105637745,-83.1808249556,1526.42297363
35.6106088745,-83.1807501556,1525.78381348
35.6106355735,-83.1806674556,1526.03723145
35.6106171745,-83.1805841555,1529.47924805
35.6105951725,-83.1805013555,1532.89428711
35.6105980725,-83.1804355555,1533.28283691
35.6106107745,-83.1803709555,1533.63122559
35.6106402725,-83.1803004554,1534.08825684
35.6106804745,-83.1802353554,1535.02319336
35.6107262735,-83.1801768554,1535.94641113
35.6107772745,-83.1801227554,1537.02441406
35.6108322746,-83.1800696554,1538.39575195
35.6108906736,-83.1800203554,1539.81359863
35.6109526736,-83.1799756554,1541.01538086
35.6110089746,-83.1799382554,1542.44360352
35.6110701736,-83.1799099554,1542.85913086
35.6111423736,-83.1799020554,1543.25170898
35.6112381726,-83.1799196554,1542.7545166
35.6113344737,-83.1799307554,1543.43676758
35.6113923737,-83.1799191554,1545.3894043
35.6114411727,-83.1798882554,1546.16699219
35.6114629737,-83.1797942553,1545.66369629
35.6114612727,-83.1797165553,1547.95593262
35.6114595747,-83.1796387553,1550.2935791
35.6114704747,-83.1795790553,1552.29614258
35.6114894737,-83.1795214553,1552.7467041
35.6115173737,-83.1794717553,1552.99865723
35.6115524737,-83.1794267552,1553.86828613
35.6116064737,-83.1793783552,1555.92626953
35.6116668738,-83.1793381552,1558.42480469
35.6117502738,-83.1793014552,1558.72839355
35.6118393738,-83.1792811552,1557.79968262
35.6119287748,-83.1792619552,1557.64379883
35.6120136738,-83.1792286552,1558.37915039
35.6120820738,-83.1791863552,1558.98876953
35.6121301729,-83.1791342552,1559.4342041
35.6121787739,-83.1790825552,1560.43835449
35.6122277739,-83.1790518552,1561.40625
35.6123101739,-83.1790402552,1561.67736816
35.6123940749,-83.1790400552,1562.80932617
35.6124636739,-83.1790227552,1564.15844727
35.612531974,-83.1790002552,1566.23608398
35.612601274,-83.1789817552,1567.63391113
35.612686175,-83.1789674552,1568.89758301
35.612772074,-83.1789616552,1569.73022461
35.612857574,-83.1789697552,1570.63623047
35.612941475,-83.1789884552,1571.94372559
35.6130236731,-83.1790135552,1573.25085449
35.6131071741,-83.1790494552,1574.27490234
35.6131859751,-83.1790949552,1574.53796387
35.6132622741,-83.1791445553,1575.63720703
35.6133390751,-83.1791932553,1577.18505859
35.6134191741,-83.1792364553,1578.73022461
35.6134945741,-83.1792734553,1580.39086914
35.6135708742,-83.1793083553,1581.72875977
35.6136511742,-83.1793324553,1583.09350586
35.6137063742,-83.1793398553,1584.42163086
35.6136455752,-83.1792780553,1585.59460449
35.6135736732,-83.1792160553,1585.64379883
35.6135219742,-83.1791394553,1587.40563965
35.6134715741,-83.1790620553,1589.12390137
35.6134233741,-83.1790114552,1589.30151367
35.6133787731,-83.1789579552,1589.8614502
35.6133550751,-83.1788953552,1591.9083252
35.6133296741,-83.1788335552,1593.78991699
35.6132870731,-83.1787923552,1594.29516602
35.6132407741,-83.1787550551,1594.48925781
35.6131854741,-83.1786845551,1596.30541992
35.6131264741,-83.1786175551,1597.94104004
35.6130484741,-83.1785717551,1599.15771484
35.6129617741,-83.1785389551,1599.90893555
35.612872475,-83.1785136551,1600.66687012
35.612789773,-83.178472355,1603.1229248
35.612738973,-83.178421655,1604.54309082
35.612694175,-83.178365555,1606.2064209
35.612644373,-83.178313855,1607.33032227
35.612587974,-83.178278155,1608.43164062
35.612528074,-83.178248455,1609.45593262
35.612471173,-83.1782135549,1609.82324219
35.612425274,-83.1781674549,1611.36120605
35.612375175,-83.1781265549,1612.67236328
35.6123168739,-83.1781207549,1613.44140625
35.6122578739,-83.1781194549,1614.09204102
35.6122051749,-83.1780929549,1615.51367188
35.6121504739,-83.1780725549,1617.52758789
35.6120947739,-83.1780856549,1618.72583008
35.6120128729,-83.1781383549,1619.03601074
35.6119298739,-83.1781889549,1619.06750488
35.6118668738,-83.1781956549,1618.99584961
35.6118034748,-83.1781923549,1619.58984375
35.6117376728,-83.1781796549,1620.84912109
35.6116733748,-83.1781603549,1622.63415527
35.6116076728,-83.1781469549,1624.27954102
35.6115543738,-83.1781434549,1625.6842041
35.6115009738,-83.1781457549,1626.79040527
35.6114208738,-83.1781657549,1628.56665039
35.6113437737,-83.1782104549,1629.79089355
35.6112664737,-83.1782548549,1630.65808105
35.6111984747,-83.1782713549,1631.78881836
35.6111287737,-83.1782772549,1632.5032959
35.6110420737,-83.1782698549,1633.41052246
35.6109572727,-83.1782495549,1634.01208496
35.6108761736,-83.1782142548,1635.38427734
35.6107945746,-83.1781803548,1637.51391602
35.6106968736,-83.1781714548,1638.3145752
35.6105986746,-83.1781680548,1639.41308594
35.6105230736,-83.1781522548,1641.08435059
35.6104490746,-83.1781301548,1642.74926758
35.6103748735,-83.1781086548,1644.56225586
35.6102989725,-83.1780946548,1646.13305664
35.6102224745,-83.1780882548,1647.17871094
35.6101457745,-83.1780872548,1649.03808594
35.6100695735,-83.1780953548,1650.70654297
35.6100027735,-83.1781118548,1651.86914062
35.6099379734,-83.1781351548,1653.0690918
35.6098751724,-83.1781635548,1654.08874512
35.6098155734,-83.1781969548,1655.9206543
35.6097586734,-83.1782346548,1657.37744141
35.6097029734,-83.1782743548,1658.83532715
35.6096270734,-83.1783312548,1660.69824219
35.6095536724,-83.1783915548,1661.72973633
35.6094834733,-83.1784553548,1663.68249512
35.6094170733,-83.1785232549,1665.14404297
35.6093688743,-83.1785765549,1666.68151855
35.6093240733,-83.1786327549,1668.42614746
35.6092787743,-83.1787149549,1669.2598877
35.6092303733,-83.1787952549,1671.03747559
35.6091752723,-83.1788492549,1672.58349609
35.6091112742,-83.1788922549,1673.07824707
35.6090392732,-83.1789158549,1673.41699219
35.6089635732,-83.1789226549,1674.85620117
35.6088875742,-83.1789242549,1676.89978027
35.6087940722,-83.1789245549,1678.63061523
35.6087012742,-83.1789140549,1679.92614746
35.6086280741,-83.1789027549,1680.68811035
35.6085626721,-83.1788707549,1681.34082031
35.6085330731,-83.1788300549,1681.66479492
35.6085155741,-83.1787688549,1681.99084473
35.6084342731,-83.1787776549,1680.68188477
35.6083810741,-83.1787980549,1680.03857422
35.6083341721,-83.1788301549,1679.2479248
35.6082976741,-83.1788990549,1678.62426758
35.6082781741,-83.1789755549,1678.47827148
35.6082490741,-83.1790485549,1677.95324707
35.608181573,-83.179110355,1676.93457031
35.608120574,-83.179177555,1676.49633789
35.608108973,-83.179248755,1676.44189453
35.608099872,-83.179320555,1676.63562012
35.608062172,-83.179407755,1676.57849121
35.608033873,-83.1794951551,1676.45666504
35.608014174,-83.1795848551,1676.05175781
35.607998973,-83.1796755551,1675.82055664
35.607984673,-83.1797663551,1674.95178223
35.607967673,-83.1798566552,1673.98034668
35.607944272,-83.1799454552,1672.734375
35.6079151719,-83.1800319552,1672.37011719
35.6078831739,-83.1801173552,1671.90002441
35.6078484729,-83.1802017553,1671.44116211
35.6078109719,-83.1802849553,1671.13171387
35.6077707719,-83.1803668553,1671.26049805
35.6077278739,-83.1804473553,1670.98852539
35.6076499729,-83.1803945553,1669.56921387
35.6075616739,-83.1803628553,1667.58483887
35.6074679728,-83.1803630553,1665.41589355
35.6074069738,-83.1803843553,1664.13098145
35.6073498718,-83.1804150553,1663.37585449
35.6073047718,-83.1804478553,1662.42224121
35.6072585728,-83.1804787553,1661.4543457
35.6071640738,-83.1804886553,1660.34533691
35.6070689728,-83.1804957553,1659.79370117
35.6070234737,-83.1805165553,1659.9855957
35.6070000727,-83.1805656553,1660.45202637
35.6069766727,-83.1806146553,1660.81469727
35.6069311717,-83.1806354553,1660.98413086
35.6069088727,-83.1805856553,1660.81640625
35.6068879737,-83.1805343553,1660.61328125
