lat,lng,ele
35.4693747359,-83.4151733161,745.542785645
35.4694382349,-83.4151618161,743.850402832
35.4695023349,-83.4151551161,742.137939453
35.4695837359,-83.4151510161,741.192260742
35.4696644349,-83.4151599161,740.740600586
35.4697267349,-83.4151898161,738.803344727
35.4697894349,-83.4152187161,736.898742676
35.469880235,-83.4152186161,735.210327148
35.469970035,-83.4152021161,733.51776123
35.470020334,-83.4151948161,732.422607422
35.470069635,-83.4151830161,731.962524414
35.470118835,-83.4151549161,732.254699707
35.470169836,-83.4151310161,732.330200195
35.470238735,-83.4151486161,730.045959473
35.4703040361,-83.4151790161,728.014587402
35.4703660361,-83.4152003161,726.977172852
35.4704295351,-83.4152159161,726.380615234
35.4705106351,-83.4152183161,725.693969727
35.4705686361,-83.4152329161,724.397460938
35.4706273351,-83.4152438162,723.209533691
35.4706920361,-83.4152279162,722.903076172
35.4707543361,-83.4152035161,722.866027832
35.4708451362,-83.4151732161,721.667907715
35.4708914362,-83.4151085161,721.02520752
35.4709378342,-83.4150349161,718.991271973
35.4709756352,-83.4149567161,717.466369629
35.4709985362,-83.4148644161,716.249572754
35.4710154362,-83.414770616,716.413818359
35.4710309352,-83.414689216,715.992980957
35.4710472352,-83.414608016,715.408569336
35.4710743342,-83.414529916,713.74041748
35.4711117343,-83.414464916,712.618835449
35.4711655353,-83.414477616,712.54119873
35.4711957343,-83.414519716,711.389038086
35.4712178343,-83.414567316,710.172912598
35.4712670343,-83.414653316,708.217834473
35.4713160353,-83.414739516,707.210205078
35.4713659353,-83.4148251161,706.652954102
35.4714075363,-83.4148975161,706.17010498
35.4714498343,-83.4149695161,705.621459961
35.4714968343,-83.4150384161,704.895385742
35.4715521353,-83.4151126162,704.010498047
35.4716203353,-83.4151743162,703.304443359
35.4716681343,-83.4151927162,702.961364746
35.4717189343,-83.4151993162,701.949035645
35.4717962344,-83.4151440162,702.36920166
35.4718531344,-83.4150640162,703.85369873
35.4719301344,-83.4150073162,703.052856445
35.4719841344,-83.4150089162,700.218811035
35.4720276344,-83.4150874162,698.128295898
35.4720472354,-83.4151815162,699.399475098
35.4720477344,-83.4152780162,697.618103027
35.4720489364,-83.4153745163,696.552856445
35.4720563364,-83.4154592163,696.156860352
35.4720641354,-83.4155439163,695.652099609
35.4720709354,-83.4156286163,695.437194824
35.4720709354,-83.4157101164,695.04876709
35.4720697364,-83.4157915164,693.923400879
35.4720841364,-83.4158714164,693.337585449
35.4721121354,-83.4159321164,692.966125488
35.4721539354,-83.4159837165,692.515197754
35.4722057354,-83.4160039165,692.471557617
35.4722616354,-83.4160090165,692.635009766
35.4723452364,-83.4159986165,692.520385742
35.4724246355,-83.4159698165,691.859680176
35.4724814345,-83.4159274165,692.442138672
35.4725433365,-83.4158962165,691.678894043
35.4725936345,-83.4159160165,690.827148438
35.4726323355,-83.4159539165,690.72088623
35.4726498345,-83.4160025165,689.884887695
35.4726573355,-83.4160539165,689.048828125
35.4726524345,-83.4161423165,689.193054199
35.4726358355,-83.4162295166,688.119812012
35.4726227355,-83.4163032166,687.05682373
35.4726068355,-83.4163764166,686.266174316
35.4725863355,-83.4164484166,685.712524414
35.4725539365,-83.4165304166,685.151123047
35.4725148355,-83.4166096167,684.277770996
35.4724733354,-83.4166875167,683.165527344
35.4724228354,-83.4167668167,682.221313477
35.4723799354,-83.4168501167,681.329162598
35.4723591354,-83.4169314167,680.602172852
35.4723586364,-83.4170147168,680.073181152
35.4723945344,-83.4170732168,680.730834961
35.4724375354,-83.4171273168,680.868225098
35.4724799354,-83.4172169168,679.461975098
35.4725121344,-83.4173107169,678.011474609
35.4725401364,-83.4174058169,677.223999023
35.4725650354,-83.4174881169,676.639526367
35.4725818354,-83.4175724169,675.887634277
35.4725774354,-83.417642317,674.891601562
