lat,lng,ele
35.6717508703,-83.5805223765,697.927490234
35.6717164713,-83.5804387765,697.931213379
35.6716889713,-83.5803526765,697.989196777
35.6716688693,-83.5802645764,699.116088867
35.6716564693,-83.5801750764,700.023803711
35.6716517703,-83.5800847764,700.061523438
35.6716532693,-83.5800184764,702.105957031
35.6716937714,-83.5799553763,703.846984863
35.6717458714,-83.5798999763,704.346496582
35.6717920704,-83.5798292763,706.286376953
35.6718343714,-83.5797561763,707.555969238
35.6718664704,-83.5796781763,708.936035156
35.6718786704,-83.5795949762,710.275024414
35.6718744704,-83.5795266762,712.141601562
35.6718544704,-83.5794616762,713.855041504
35.6717745704,-83.5794038762,715.659179688
35.6717086704,-83.5793752762,716.288818359
35.6716388694,-83.5793574762,717.411193848
35.6715685694,-83.5793419762,718.6328125
35.6715099713,-83.5793302761,720.129943848
35.6714519703,-83.5793160761,721.646179199
35.6713835703,-83.5792828761,722.750366211
35.6713200703,-83.5792408761,723.772521973
35.6712561703,-83.5791993761,724.883850098
35.6711854703,-83.5791574761,726.26739502
35.6711136703,-83.5791174761,727.901794434
35.6710642693,-83.5790943761,728.907897949
35.6710155713,-83.579070076,730.313293457
35.6709536692,-83.579023676,730.844970703
35.6708913692,-83.578977776,731.548156738
35.6708114692,-83.578946176,733.355285645
35.6707303702,-83.578917376,735.314941406
35.6706477712,-83.578874776,737.203369141
35.6705701692,-83.5788237759,739.203308105
35.6705161692,-83.5787784759,740.786010742
35.6704662712,-83.5787286759,742.405761719
35.6704201701,-83.5786753759,743.654418945
35.6703558701,-83.5786031759,745.729492188
35.6703153711,-83.5785173758,746.202148438
35.6703276701,-83.5784550758,743.840820312
35.6703539701,-83.5783970758,746.419372559
35.6704129692,-83.5783462758,750.320251465
35.6704898712,-83.5783279758,750.839416504
35.6705686702,-83.5783179758,750.527526855
35.6706445712,-83.5782959758,751.376647949
35.6707049712,-83.5782651758,752.356689453
35.6707635702,-83.5782312758,753.274230957
35.6708180712,-83.5781910758,754.078979492
35.6708697703,-83.5781421758,754.814147949
35.6709163703,-83.5780883757,755.814758301
35.6709567713,-83.5780298757,756.843322754
35.6709911703,-83.5779597757,758.362976074
35.6710228703,-83.5778883757,759.899230957
35.6710626693,-83.5778189757,761.045898438
35.6710979703,-83.5777472757,761.875183105
35.6711177703,-83.5776825756,762.799438477
35.6711278693,-83.5776156756,763.864929199
35.6711247703,-83.5775540756,764.967834473
35.6711124713,-83.5774936756,765.845947266
35.6710744693,-83.5774121756,767.661621094
35.6710256703,-83.5773361755,769.30090332
35.6709874713,-83.5772734755,770.324890137
35.6709471703,-83.5772121755,771.488708496
35.6709073693,-83.5771584755,772.542907715
35.6708654693,-83.5771063755,774.047485352
35.6708244713,-83.5770535754,775.512512207
35.6707742703,-83.5769871754,777.676025391
35.6707281703,-83.5769178754,779.928894043
35.6706877693,-83.5768290754,781.200805664
35.6706508703,-83.5767386753,782.424987793
35.6706174693,-83.5766784753,783.954589844
35.6705904703,-83.5766152753,785.044311523
35.6705808703,-83.5765601753,784.73651123
35.6705837703,-83.5765045753,784.813354492
35.6706157703,-83.5764576753,785.263000488
35.6706577693,-83.5764185752,785.983398438
35.6707302693,-83.5763536752,787.568725586
35.6708046713,-83.5762907752,787.917480469
35.6708633703,-83.5762349752,788.642089844
35.6709207693,-83.5761778752,790.420349121
35.6709754704,-83.5761180752,792.026672363
35.6710260704,-83.5760548752,793.246459961
35.6710713704,-83.5759928751,794.180786133
35.6711132704,-83.5759285751,795.326721191
35.6711474704,-83.5758599751,796.805847168
35.6711701704,-83.5757952751,798.290588379
35.6711863694,-83.5757286751,799.937927246
35.6711970704,-83.5756684751,801.07611084
35.6711979704,-83.575607475,802.082458496
35.6711809704,-83.575555275,802.958740234
35.6711550704,-83.575506675,803.324645996
35.6711056704,-83.575443675,803.395629883
35.6710441704,-83.575392275,804.182617188
35.6709782694,-83.5753463749,805.158874512
35.6709079694,-83.5753087749,806.834899902
35.6708342704,-83.5752780749,809.332458496
35.6707641694,-83.5752400749,811.486328125
35.6706928693,-83.5751882749,813.170776367
35.6706314713,-83.5751253749,814.797912598
35.6705977703,-83.5750654748,815.886352539
35.6705731703,-83.5750012748,816.565429688
35.6705543703,-83.5749350748,817.010437012
35.6705458693,-83.5748456748,816.689025879
35.6705311693,-83.5747575748,816.466247559
35.6704871703,-83.5747012747,818.194702148
35.6704278713,-83.5746608747,820.280822754
35.6703625703,-83.5746306747,822.115966797
35.6702942703,-83.5746191747,824.873596191
35.6702245703,-83.5746208747,828.104614258
35.6701556693,-83.5746129747,829.375305176
35.6700695702,-83.5745730747,827.665161133
35.6699911702,-83.5745192746,828.148193359
35.6699155712,-83.5744615746,828.791687012
35.6698331712,-83.5744056746,830.82635498
35.6697538712,-83.5743456746,834.052856445
35.6696943702,-83.5742666746,834.850830078
35.6696697702,-83.5742023745,833.833251953
35.6696544712,-83.5741352745,833.743652344
35.6696535712,-83.5740665745,835.105041504
35.6696725702,-83.5740118745,835.271728516
35.6696919692,-83.5739573745,835.494567871
35.6696836692,-83.5738742744,838.811157227
35.6696774702,-83.5737911744,843.080200195
35.6697204702,-83.5737242744,842.153198242
35.6697704702,-83.5736615744,839.815490723
35.6698070702,-83.5735887744,839.003967285
35.6698351692,-83.5735124743,839.475952148
35.6698384702,-83.5734318743,841.216796875
35.6698205702,-83.5733852743,842.208984375
35.6697952702,-83.5733420743,842.615905762
35.6697379692,-83.5732801743,843.424621582
35.6696715702,-83.5732276743,844.84588623
35.6696044702,-83.5731835742,846.884887695
35.6695349712,-83.5731429742,849.231567383
35.6694761712,-83.5730887742,850.757141113
35.6694267702,-83.5730093742,851.002502441
35.6693986702,-83.5729206741,852.183349609
35.6694107692,-83.5728378741,852.120178223
35.6694292692,-83.5727559741,852.364746094
35.6694344702,-83.5727007741,852.808166504
35.6694315702,-83.5726455741,853.529296875
35.6694044702,-83.572593074,855.393249512
35.6693706702,-83.572544174,857.587585449
35.6693322702,-83.572459874,858.362121582
35.6692931692,-83.572375974,858.377746582
35.6692488702,-83.572315774,859.541809082
35.6692000711,-83.5722590739,862.068115234
35.6691618701,-83.5721950739,864.307739258
35.6691411701,-83.5721154739,865.54888916
35.6691327701,-83.5720334739,865.980712891
35.6691309701,-83.5719510738,866.623657227
35.6691360702,-83.5718545738,867.445983887
35.6691503702,-83.5717590738,868.633422852
35.6691731702,-83.5716651738,870.498962402
35.6692009702,-83.5716006737,871.258728027
35.6692209702,-83.5715341737,870.752075195
35.6691408702,-83.5715053737,871.478149414
35.6690505691,-83.5714955737,872.469238281
35.6689955691,-83.5714748737,872.862365723
35.6689434711,-83.5714479737,873.326843262
35.6688729701,-83.5713839737,873.309326172
35.6688111691,-83.5713111736,873.036254883
35.6687580711,-83.5712453736,872.623168945
35.6687086701,-83.5711766736,871.410644531
35.6686601701,-83.5711074736,870.075561523
35.6686096701,-83.5710395735,868.902160645
35.6685588701,-83.5709798735,867.651794434
35.6685071701,-83.5709208735,866.414001465
35.6684602691,-83.5708580735,865.384338379
35.668425169,-83.5707908735,865.056152344
35.668394469,-83.5707214734,865.341308594
35.668356469,-83.5706559734,866.047241211
35.66829297,-83.5705902734,866.485656738
35.66822397,-83.5705301734,867.266601562
35.668173669,-83.5704845734,867.723876953
35.668123071,-83.5704393733,868.108703613
35.66807367,-83.5703927733,868.297058105
35.668015469,-83.5703404733,868.644104004
35.667958869,-83.5702864733,869.342102051
35.667915069,-83.5702220733,870.042236328
35.66788747,-83.5701291732,870.244750977
35.66787397,-83.5700329732,869.892211914
35.667873869,-83.5699555732,869.653381348
35.667883169,-83.5698785732,869.665039062
35.66789197,-83.5698015731,869.471740723
35.66788967,-83.5697241731,869.178344727
35.66786797,-83.5696402731,868.49005127
35.667836371,-83.5695593731,868.047241211
35.667804771,-83.569478473,867.790893555
35.66778097,-83.569405173,867.761108398
35.667758169,-83.569331573,867.958190918
35.667733171,-83.569258673,868.473022461
35.66770277,-83.5691879729,869.487304688
35.667657771,-83.5691099729,870.916442871
35.6676066689,-83.5690356729,872.288452148
35.6675543699,-83.5689623729,873.551208496
35.6675141699,-83.5689052729,874.165100098
35.6674733709,-83.5688487728,874.715576172
35.6674317699,-83.5687926728,875.205322266
35.6673767699,-83.5687174728,876.254211426
35.6673177689,-83.5686454728,877.391540527
35.6672623699,-83.5685915727,878.338623047
35.6672027689,-83.5685423727,879.175598145
35.6671351699,-83.5685082727,879.971740723
35.6670783709,-83.5684610727,880.802246094
35.6670737699,-83.5683949727,881.195495605
35.6670812689,-83.5683285727,881.479492188
35.6670921689,-83.5682473726,881.531066895
35.6671103689,-83.5681674726,881.609375
35.6671338699,-83.5680888726,881.449768066
35.6671605689,-83.5680113726,881.348205566
35.6671887699,-83.5679343726,880.930603027
35.6672185699,-83.5678594725,879.883911133
35.6672513699,-83.5677857725,878.86151123
35.6672860709,-83.5677129725,878.00213623
35.6673212709,-83.5676404725,876.45904541
35.667357371,-83.5675581725,874.807373047
35.667394469,-83.5674763724,873.461791992
35.66744357,-83.5674013724,872.093688965
35.667514369,-83.5673506724,869.65637207
35.66758097,-83.5672952724,867.391784668
35.667612671,-83.5672381724,866.847595215
35.667628671,-83.5671752724,866.119628906
35.667618169,-83.5671177723,865.183898926
35.66759497,-83.5670637723,863.896179199
35.66753847,-83.5669907723,862.10357666
35.667462471,-83.5669380723,861.290466309
35.667435671,-83.5669261723,861.365722656
35.66736457,-83.5668785723,861.077575684
35.66731187,-83.5668116722,859.570007324
35.667296369,-83.5667466722,858.639099121
35.66729517,-83.5666795722,858.101196289
35.66729817,-83.5666124722,857.578552246
35.66730827,-83.5665234721,856.879943848
35.66732717,-83.5664358721,855.500549316
35.66734887,-83.5663488721,854.478210449
35.66736897,-83.5662683721,853.637207031
35.66739117,-83.5661883721,852.190185547
35.66741637,-83.566109272,850.186279297
35.66744577,-83.566031672,848.492553711
35.667484571,-83.565964272,846.43963623
35.6675268701,-83.565898872,844.866210938
35.6675492701,-83.565825072,844.480834961
35.6675454701,-83.5657618719,843.629211426
35.6675248691,-83.5657027719,841.346984863
35.6674679691,-83.5656904719,841.463684082
35.66740797,-83.5656880719,842.834472656
35.66734437,-83.5656421719,841.916259766
35.66729647,-83.5655792719,839.492370605
35.667253269,-83.5655128718,837.186279297
35.66720577,-83.5654495718,835.759216309
35.66715137,-83.5653940718,834.605102539
35.667100071,-83.5653357718,833.957458496
35.66706677,-83.5652766718,832.785400391
35.667038769,-83.5652146717,831.262695312
35.66700467,-83.5651559717,829.409484863
35.666938769,-83.5650993717,827.430175781
35.666863969,-83.5650542717,826.016662598
35.6668008699,-83.5649947717,825.299377441
35.6667668689,-83.5649161716,824.023010254
35.6667320699,-83.5648379716,822.67578125
35.6666745699,-83.5647775716,821.09777832
35.6666043699,-83.5647322716,819.624938965
35.6665276699,-83.5646988716,818.424560547
35.6664646699,-83.5646865716,817.206848145
35.6664020699,-83.5646727715,816.290222168
35.6663314709,-83.5646322715,815.621459961
35.6662688708,-83.5645801715,815.532226562
35.6662124698,-83.5645143715,815.264343262
35.6661664698,-83.5644407715,814.520507812
35.6661257688,-83.5643640714,813.054992676
35.6660857708,-83.5642870714,811.212646484
35.6660515708,-83.5642158714,809.268615723
35.6660193688,-83.5641436714,806.982543945
35.6659821708,-83.5640739713,805.379943848
35.6659278708,-83.5640104713,804.739929199
35.6658681688,-83.5639516713,805.000549316
35.6658240688,-83.5638810713,804.543884277
35.6658121708,-83.5638143713,802.847351074
35.6657998698,-83.5637477712,800.875427246
35.6657641698,-83.5636749712,798.694702148
35.6657125688,-83.5636124712,796.015563965
35.6656499698,-83.5635728712,793.87677002
35.6655786697,-83.5635529712,792.024353027
35.6654904697,-83.5635692712,790.244018555
35.6654063687,-83.5636026712,789.025512695
35.6653438697,-83.5636305712,788.063415527
35.6652821697,-83.5636602712,787.401611328
35.6652155687,-83.5636738712,786.347717285
35.6651437697,-83.5636604712,785.049499512
35.6650697706,-83.5636442712,784.751342773
35.6649957696,-83.5636281712,785.211364746
35.6649216696,-83.5636119711,786.194274902
35.6648476706,-83.5635957711,787.361938477
35.6647699696,-83.5635748711,788.557189941
35.6646923706,-83.5635540711,789.346862793
35.6646146705,-83.5635331711,789.636413574
35.6645616705,-83.5634835711,790.411437988
35.6645085705,-83.5634340711,790.720092773
35.6644555705,-83.5633844711,791.147827148
35.6643937695,-83.563323571,792.070495605
35.6643319685,-83.563262671,793.208862305
35.6642701705,-83.563201771,794.400878906
35.6642124695,-83.563161271,795.017333984
35.6641547695,-83.563120771,795.920166016
35.6640838705,-83.5630632709,796.672729492
35.6640129684,-83.5630057709,798.231933594
35.6639236694,-83.5629697709,798.340637207
35.6638342704,-83.5629338709,798.678100586
35.6637588704,-83.5628761709,800.414428711
35.6636834704,-83.5628185708,802.829833984
35.6636255704,-83.5627890708,803.561523438
35.6635675694,-83.5627596708,804.100646973
35.6635053693,-83.5627189708,804.419921875
35.6634430693,-83.5626783708,804.778137207
35.6633856683,-83.5626212708,805.594665527
35.6633282693,-83.5625641707,806.11126709
35.6632637693,-83.5624884707,806.898193359
35.6631993683,-83.5624128707,807.637695312
35.6631348693,-83.5623371707,808.200195312
35.6630973683,-83.5622659706,809.34375
35.6630597693,-83.5621948706,810.318237305
35.6630222683,-83.5621236706,810.043762207
35.6630119703,-83.5620423706,810.502685547
35.6630016693,-83.5619609706,811.385559082
35.6629913693,-83.5618796705,812.320495605
35.6629707703,-83.5617878705,813.284912109
35.6629502693,-83.5616960705,814.081726074
35.6629296693,-83.5616043704,814.031982422
