lat,lng,ele
35.6792276729,-83.5306928624,465.732757568
35.6792740739,-83.5306280623,465.67276001
35.6792755729,-83.5305562623,465.825897217
35.6792680739,-83.5304842623,466.061828613
35.6792703739,-83.5304342623,466.215301514
35.6792791739,-83.5303851623,466.393798828
35.6793258739,-83.5303092622,466.677490234
35.6793895739,-83.5302781622,466.603668213
35.6793907739,-83.5302229622,466.826324463
35.6793741739,-83.5301561622,466.83215332
35.6793664739,-83.5300896622,466.718841553
35.6792863749,-83.5300429622,466.997436523
35.6792778739,-83.5300205622,467.056640625
35.6792614749,-83.5299426621,467.014648438
35.6792173749,-83.5298971621,467.17010498
35.6791976739,-83.5298368621,467.207519531
35.6791838729,-83.5297745621,467.338195801
35.6791564739,-83.5297191621,467.534118652
35.6791321739,-83.529662462,467.646789551
35.6791237729,-83.529596362,467.451538086
35.6791258739,-83.529529662,467.459106445
35.6791363739,-83.529463762,467.63885498
35.6791012739,-83.529418462,468.02154541
35.6790393749,-83.529361262,468.3409729
35.6790129739,-83.5293054619,468.704956055
35.6789876729,-83.5292491619,468.736053467
35.6789533749,-83.5292034619,468.794189453
35.6789082739,-83.5291692619,468.958435059
35.6788451739,-83.5291672619,469.195648193
35.6787918739,-83.5291324619,469.430114746
35.6787571748,-83.5290650619,469.876190186
35.6787486738,-83.5290427618,469.975463867
35.6787173738,-83.5289946618,470.114318848
35.6786784738,-83.5289521618,470.33380127
35.6786077738,-83.5288836618,470.417236328
35.6785724748,-83.5288384618,470.576293945
35.6785375748,-83.5287930618,470.881774902
35.6784733748,-83.5287280617,470.889831543
35.6784049748,-83.5286673617,470.97442627
35.6783518738,-83.5286214617,470.923431396
35.6783447738,-83.5285327617,471.044616699
35.6783361738,-83.5285103617,471.000915527
35.6782920738,-83.5284647616,471.28793335
35.6782467748,-83.5284744616,471.582061768
35.6781844748,-83.5284392616,471.963256836
35.6781375727,-83.5283964616,472.143493652
35.6780962747,-83.5283481616,472.323730469
35.6780611727,-83.5283028616,472.387939453
35.6780177737,-83.5282241616,472.42489624
35.6779734737,-83.5281830615,472.397613525
35.6779200737,-83.5281547615,472.752258301
35.6778571737,-83.5281417615,472.901550293
35.6777992737,-83.5281282615,473.401763916
35.6777403737,-83.5281270615,473.555664062
35.6776913747,-83.5281537615,473.747192383
35.6776488747,-83.5281903615,473.870330811
35.6776089726,-83.5282309615,473.966644287
35.6775749736,-83.5282764615,473.978393555
35.6775371736,-83.5283525616,473.906494141
35.6775267746,-83.5284185616,474.031280518
35.6775434726,-83.5284853616,473.937988281
35.6775893746,-83.5285101616,473.708618164
35.6776418726,-83.5285215616,473.720733643
35.6777042737,-83.5285511616,473.41784668
35.6777667747,-83.5285807616,473.204223633
35.6778293737,-83.5286048617,473.04006958
35.6778817737,-83.5286838617,472.910217285
35.6779287747,-83.5287050617,472.811340332
35.6779803737,-83.5287090617,472.7237854
35.6780529737,-83.5286892617,472.623199463
35.6781036727,-83.5286961617,472.415466309
35.6781516737,-83.5287145617,472.239227295
35.6782226737,-83.5287662617,471.971954346
35.6782844748,-83.5288292618,471.613983154
35.6783372728,-83.5288861618,471.277893066
35.6783533738,-83.5289750618,470.907470703
35.6783605748,-83.5290636618,470.555969238
35.6783886748,-83.5291342618,470.390045166
35.6784297738,-83.5291983619,470.184814453
35.6784890728,-83.5292633619,469.799133301
35.6785533728,-83.5293237619,469.333190918
35.6786062738,-83.5293806619,469.096069336
35.6786411748,-83.5294230619,469.017486572
35.6786674738,-83.529470962,468.77633667
35.6786730738,-83.529520562,468.829467773
35.6786743748,-83.529570662,468.967987061
35.6786813738,-83.529626262,468.922729492
35.6786900748,-83.529681662,468.774627686
35.6787061738,-83.5297704621,468.6690979
35.6787777738,-83.5297948621,468.248901367
35.6788168738,-83.5298581621,468.157592773
35.6788329728,-83.5299321621,468.1640625
35.6788454728,-83.5300068621,468.191558838
35.6788480738,-83.5300584621,468.226776123
35.6788613748,-83.5301068622,468.155090332
35.6788881748,-83.5301187622,468.05770874
35.6789237728,-83.5301419622,467.739868164
35.6789701738,-83.5302106622,467.183837891
35.6790017739,-83.5302880622,466.909301758
35.6790359739,-83.5303774623,466.655487061
35.6790546749,-83.5304437623,466.469848633
35.6790691729,-83.5305110623,466.47857666
35.6790731739,-83.5305673623,466.305084229
35.6790848739,-83.5306220623,466.3019104
35.6791470749,-83.5306682623,466.171112061
35.6792276729,-83.5306928624,465.732757568
