lat,lng,ele
35.4775433363,-83.4223275186,729.151733398
35.4775661363,-83.4222373186,729.529968262
35.4775978363,-83.4221498186,730.324829102
35.4776394373,-83.4220666186,730.070251465
35.4776916363,-83.4219896185,729.937805176
35.4777473363,-83.4219259185,729.874084473
35.4778123374,-83.4218720185,730.583679199
35.4778700364,-83.4218413185,731.521789551
35.4779321374,-83.4218213185,731.561096191
35.4780257364,-83.4218242185,729.095031738
35.4781192364,-83.4218352185,727.376098633
35.4781965354,-83.4218300185,726.784240723
35.4782731375,-83.4218183185,726.518981934
35.4783480355,-83.4217986185,726.043945312
35.4784328365,-83.4217627185,725.930297852
35.4785123365,-83.4217163185,725.755065918
35.4785876375,-83.4216631185,724.700744629
35.4786598375,-83.4216059185,722.98260498
35.4787164376,-83.4215535185,721.33581543
35.4787702366,-83.4214982185,719.282470703
35.4788262366,-83.4214451185,717.734619141
35.4788980356,-83.4213867184,716.576843262
35.4789726366,-83.4213319184,715.855407715
35.4790502366,-83.4212815184,715.011901855
35.4791311367,-83.4212365184,714.533325195
35.4792129367,-83.4212058184,714.840454102
35.4792979367,-83.4211848184,714.127868652
35.4793820367,-83.4211610184,713.748535156
35.4794599367,-83.4211217184,714.41796875
35.4795257367,-83.4210526184,716.318969727
35.4795782368,-83.4209725184,717.671386719
35.4796324358,-83.4208936183,718.210510254
35.4797045378,-83.4208317183,719.824157715
35.4797782368,-83.4208172183,720.989440918
35.4798538378,-83.4208170183,722.452331543
35.4799273378,-83.4208016183,723.122253418
35.4799846369,-83.4207661183,723.890319824
35.4800357359,-83.4207221183,724.809204102
35.4800814359,-83.4206726183,725.646728516
35.4801297369,-83.4206087183,726.670043945
35.4801715359,-83.4205404183,728.176696777
35.4802051369,-83.4204677182,730.519042969
35.4802275369,-83.4203909182,732.114440918
35.4802343369,-83.4203112182,732.771484375
35.4802236359,-83.4202254182,732.99609375
35.4801911369,-83.4201637182,733.489929199
35.4801459379,-83.4201100181,733.340026855
35.4801117379,-83.4200494181,732.443969727
35.4801212369,-83.4199705181,732.350463867
35.4801592369,-83.4198994181,733.749267578
35.4802031379,-83.4198317181,735.200195312
35.4802420369,-83.419761018,735.389465332
35.480255838,-83.419682518,735.942687988
35.4802180369,-83.419599018,738.69543457
35.4801628379,-83.419524818,737.521057129
35.4801199369,-83.4194433179,736.409362793
35.4801005379,-83.4193499179,736.896728516
35.4800937369,-83.4192548179,738.011352539
35.4801022369,-83.4191599179,738.743347168
35.480145636,-83.4190769178,737.934448242
35.480217236,-83.4190152178,738.78704834
35.480295236,-83.4189614178,741.060791016
35.480368436,-83.4189015178,743.065673828
35.480421337,-83.4188237178,742.096130371
35.480442236,-83.4187633178,742.477233887
35.480458937,-83.4187015177,743.663574219
35.480469338,-83.4186169177,745.003540039
35.480466337,-83.4185316177,745.827819824
35.480458236,-83.4184465177,745.532897949
35.480451337,-83.4183614176,744.406188965
35.480453837,-83.4182761176,745.075073242
35.4804794371,-83.4181952176,746.213134766
35.4805448361,-83.4181305176,747.640136719
35.4806226371,-83.4180800176,748.638916016
35.4806878371,-83.4180150176,747.815063477
35.4807143371,-83.4179446175,748.631591797
35.4807277371,-83.4178703175,748.496704102
35.4807408371,-83.4177960175,748.343444824
35.4807658371,-83.4177250175,749.058410645
35.4808046361,-83.4176605175,750.853942871
35.4808511372,-83.4176015174,752.092956543
35.4809096372,-83.4175547174,752.665344238
35.4809559372,-83.4175361174,752.97052002
35.4810047372,-83.4175252174,753.203796387
35.4810922362,-83.4175273174,753.52923584
35.4811762382,-83.4175533174,754.483703613
35.4812567382,-83.4175889175,755.656005859
35.4813373383,-83.4176242175,756.438598633
35.4814197383,-83.4176585175,757.087646484
35.4815005373,-83.4176962175,757.979003906
35.4815798383,-83.4177370175,758.951843262
35.4816577373,-83.4177806175,759.682006836
35.4817261373,-83.4178301176,760.312744141
35.4817902363,-83.4178853176,761.715881348
35.4818577374,-83.4179362176,763.082763672
35.4819357374,-83.4179674176,763.857055664
35.4820054374,-83.4179722176,765.173278809
35.4820743364,-83.4179615176,766.966125488
35.4821502374,-83.4179083176,768.00958252
35.4822250374,-83.4178531176,768.859619141
35.4822783374,-83.4178341176,769.666259766
35.4823342375,-83.4178305176,769.89642334
35.4823818375,-83.4178564176,770.051269531
35.4824222375,-83.4178930176,770.271789551
35.4824632365,-83.4179552176,771.031433105
35.4824941375,-83.4180234177,772.340759277
35.4825356375,-83.4180852177,772.925048828
35.4825840365,-83.4181208177,773.070129395
35.4826367385,-83.4181497177,773.015808105
35.4827162375,-83.4181786177,772.467895508
35.4828003385,-83.4181892177,772.939086914
35.4828851366,-83.4181888177,773.632324219
35.4829698366,-83.4181847177,774.616638184
35.4830547386,-83.4181838177,775.738891602
35.4831389376,-83.4181931178,776.802062988
35.4832258376,-83.4182153178,778.239746094
35.4833111366,-83.4182432178,780.05847168
35.4833957387,-83.4182732178,781.872802734
35.4834807387,-83.4183019178,783.622436523
35.4835672377,-83.4183257178,784.902404785
35.4836595377,-83.4183489178,785.969787598
35.4837519377,-83.4183715178,787.491699219
35.4838458377,-83.4183867179,789.33392334
35.4839408378,-83.4183862179,790.91796875
35.4840133378,-83.4183654179,791.693908691
35.4840816368,-83.4183330178,792.333129883
35.4841507378,-83.4183022178,792.933410645
35.4842246378,-83.4182878178,794.517089844
35.4842806388,-83.4182980178,795.7421875
35.4843369369,-83.4183027179,796.080444336
35.4844241389,-83.4182572178,797.945068359
35.4845145379,-83.4182474178,798.157043457
35.4846058379,-83.4182446179,798.016784668
35.4846941379,-83.4182127178,797.762451172
35.484773739,-83.4181624178,798.315429688
35.484848239,-83.4181049178,799.318969727
35.484922638,-83.4180471178,798.82232666
35.485001737,-83.4179959178,799.529541016
35.485089338,-83.4179622178,801.778808594
35.485179037,-83.4179563178,802.845214844
35.4852690381,-83.4179599178,803.209655762
35.4853580371,-83.4179485178,803.095031738
35.4854181371,-83.4179175178,804.730224609
35.4854806381,-83.4178929178,807.078430176
35.4855472371,-83.4179155178,807.015136719
35.4856136391,-83.4179391178,805.650939941
35.4856975382,-83.4178987178,807.587097168
35.4857782392,-83.4178504178,811.306945801
35.4858547382,-83.4178459178,812.234191895
35.4859308382,-83.4178384178,812.340087891
35.4859916382,-83.4177942178,814.866882324
35.4860542382,-83.4177535178,816.712463379
35.4861315382,-83.4177729178,814.81640625
35.4862085383,-83.4177954178,813.984924316
35.4862818383,-83.4177767178,816.061584473
35.4863556383,-83.4177297178,818.049377441
35.4864168373,-83.4176667178,819.604736328
35.4864730373,-83.4175990178,820.988647461
35.4865231393,-83.4175256178,822.546630859
35.4865630384,-83.4174461177,824.245788574
35.4865975384,-83.4173641177,825.903503418
35.4866309374,-83.4172816177,828.314147949
35.4866672384,-83.4172004177,830.320861816
35.4867109384,-83.4171229176,832.259216309
35.4867556384,-83.4170524176,833.455200195
35.4868078384,-83.4169876176,832.945129395
35.4868465384,-83.4169559176,832.420837402
35.4868897394,-83.4169309176,832.469116211
35.4869429385,-83.4169172176,833.233337402
35.4869977395,-83.4169123176,834.247375488
35.4870953385,-83.4169228176,836.420471191
35.4871905375,-83.4169482176,837.95892334
35.4872881385,-83.4169585176,838.407348633
35.4873757385,-83.4169349176,839.522521973
35.4874574386,-83.4168945176,840.274475098
35.4875381396,-83.4168523176,842.098876953
35.4876238376,-83.4168218176,845.293212891
35.4877067386,-83.4168139176,847.224060059
35.4877900376,-83.4168187176,848.302185059
35.4878730396,-83.4168277176,849.042907715
35.4879563387,-83.4168329176,850.216186523
35.4880393377,-83.4168260176,851.696472168
35.4881291377,-83.4168119176,853.021911621
35.4882122377,-83.4167775176,854.301757812
35.4882584387,-83.4167304176,855.364135742
