lat,lng,ele
35.5971203728,-83.1022699317,943.657592773
35.5971778728,-83.1020728317,942.180969238
35.5972465728,-83.1017545316,940.111694336
35.5973560738,-83.1016801316,942.879272461
35.5975728729,-83.1016527316,944.951049805
35.5976991739,-83.1016449316,945.416381836
35.5978006749,-83.1015151315,946.359741211
35.597903374,-83.1013081315,946.72088623
35.597958474,-83.1012544315,946.510620117
35.598131574,-83.1011485314,946.467041016
35.5983408741,-83.1010326314,946.251159668
35.5984597741,-83.1009364314,944.879699707
35.5985515741,-83.1008394314,944.83026123
35.5986424751,-83.1007976314,946.560119629
