lat,lng,ele
35.7188694977,-83.1628485567,905.92388916
35.7188121967,-83.1627914567,906.510742188
35.7187543967,-83.1627348567,907.707702637
35.7187023977,-83.1626767567,908.745727539
35.7186502977,-83.1626186566,909.524719238
35.7185859966,-83.1625755566,909.370483398
35.7184960966,-83.1625620566,910.220581055
35.7184484966,-83.1625780566,911.212524414
35.7184051976,-83.1626038566,911.998413086
35.7183568976,-83.1626441566,912.470581055
35.7183134956,-83.1626897566,913.34197998
35.7182560966,-83.1627584567,914.143066406
35.7182027965,-83.1628304567,915.435668945
35.7181564975,-83.1628955567,916.061157227
35.7180882965,-83.1629622567,917.768920898
35.7180125965,-83.1630208567,919.04888916
35.7179456955,-83.1630888567,920.186035156
35.7179175965,-83.1631321568,920.026977539
35.7178900955,-83.1631757568,919.826538086
35.7178516955,-83.1632234568,920.308227539
35.7178161975,-83.1632732568,920.860473633
35.7177930964,-83.1633558568,920.750305176
35.7177681974,-83.1634377568,919.852783203
35.7177308954,-83.1634846568,920.732421875
35.7176854974,-83.1635239569,923.230224609
35.7176234974,-83.1635566569,924.16217041
35.7175555964,-83.1635744569,925.05657959
35.7174860954,-83.1635848569,927.117553711
35.7173867963,-83.1635896569,929.009033203
35.7172878973,-83.1635795568,930.496643066
35.7171924963,-83.1635536568,931.368896484
35.7170996973,-83.1635191568,932.669189453
35.7170278963,-83.1634883568,933.433227539
35.7169571953,-83.1634548568,934.362243652
35.7168849953,-83.1634249568,935.583007812
35.7168020962,-83.1633901568,936.890625
35.7167145972,-83.1633760568,938.159240723
35.7166502962,-83.1634175568,939.054260254
35.7165868962,-83.1634610568,939.840576172
35.7165331962,-83.1634699568,940.505310059
35.7164785962,-83.1634691568,941.136230469
35.7164185962,-83.1634632568,941.801025391
35.7163617951,-83.1634439568,942.562316895
35.7163211971,-83.1634050567,943.159606934
35.7162820961,-83.1633644567,943.799499512
35.7162195951,-83.1633349567,944.121520996
35.7161569951,-83.1633057567,944.455566406
35.7161043961,-83.1632398567,945.624084473
35.7160634961,-83.1631653567,945.419799805
35.7160073951,-83.1631027566,943.608886719
35.7159536951,-83.1630791566,946.892883301
35.7159301961,-83.1631575566,946.489196777
35.7159236951,-83.1632441567,945.045898438
35.7159042961,-83.1633210567,944.095397949
35.715840996,-83.1633303567,946.072937012
35.715794996,-83.1633843567,944.133972168
35.715785396,-83.1634443567,945.839660645
35.715783796,-83.1635056567,946.119812012
35.715774997,-83.1635808568,946.429931641
35.715762696,-83.1636554568,946.328125
35.715734795,-83.1637254568,946.107421875
35.715701497,-83.1637664568,946.096313477
35.715661295,-83.1638007568,946.054626465
35.715617596,-83.1638254568,945.873291016
35.715570396,-83.1638425568,945.348754883
35.7154939959,-83.1638496568,945.062255859
35.7154170969,-83.1638494568,945.431335449
35.7153212949,-83.1638583568,946.053527832
35.7152271959,-83.1638774568,945.919250488
35.7151758959,-83.1638950568,945.789245605
35.7151272949,-83.1639189568,945.715881348
35.7150724959,-83.1639617568,945.405456543
35.7150362958,-83.1640022568,945.235290527
35.7150077958,-83.1640484568,945.062438965
35.7149923948,-83.1641196569,944.689941406
35.7149781958,-83.1641912569,944.042541504
35.7149446968,-83.1642478569,943.701049805
35.7149040958,-83.1642998569,943.422302246
35.7148445958,-83.1643745569,942.278686523
35.7147753948,-83.164440057,941.200134277
35.7147244958,-83.164464957,940.822753906
35.7146752968,-83.164492557,940.358581543
35.7146292967,-83.164546657,939.657653809
35.7145656967,-83.164566957,939.786437988
35.7145031957,-83.164532157,940.196472168
35.7144373957,-83.1645043569,940.617370605
35.7143688947,-83.1644842569,940.998962402
35.7143009957,-83.1644796569,941.451782227
35.7142338957,-83.1644695569,941.527770996
35.7141817957,-83.1644396569,942.261535645
35.7141359956,-83.1644006569,943.205322266
35.7140794956,-83.1643189569,943.817810059
35.7140308956,-83.1642319568,944.017456055
35.7139868956,-83.1641737568,943.977539062
35.7139419956,-83.1641161568,943.682434082
35.7139078956,-83.1640517568,943.992126465
35.7138928956,-83.1639966568,944.345153809
35.7138829956,-83.1639404568,944.587036133
35.7138807956,-83.1638408567,944.457275391
35.7138774956,-83.1637413567,944.892883301
35.7138636956,-83.1636792567,944.960327148
35.7138436956,-83.1636188567,944.753540039
35.7138100956,-83.1635481566,944.768920898
35.7137649956,-83.1634841566,944.738342285
35.7136947956,-83.1634288566,944.724060059
35.7136133946,-83.1633916566,944.107666016
35.7135514956,-83.1633742566,943.385070801
35.7134876955,-83.1633661566,943.078308105
35.7133971955,-83.1633794566,943.67980957
35.7133068965,-83.1633943566,944.456481934
35.7132108955,-83.1633838565,945.810913086
35.7131182965,-83.1633561565,947.053771973
35.7130622955,-83.1633312565,947.757263184
35.7130110955,-83.1632979565,948.273193359
35.7129603954,-83.1632322565,948.90234375
35.7129143964,-83.1631627565,949.567077637
35.7128667964,-83.1631109564,950.056396484
35.7128156964,-83.1630624564,950.480407715
35.7127637954,-83.1630149564,950.836914062
35.7127087954,-83.1629641564,951.081176758
35.7126527954,-83.1629144564,951.484008789
35.7125951964,-83.1628666564,952.106384277
35.7125180954,-83.1628049563,952.445922852
35.7124349954,-83.1627518563,952.821472168
35.7123504953,-83.1627251563,952.48638916
35.7122645953,-83.1627030563,952.491699219
35.7122058963,-83.1626806563,952.59765625
35.7121482953,-83.1626556563,952.782104492
35.7120797953,-83.1626169563,953.171630859
35.7120133953,-83.1625746562,953.725891113
35.7119429943,-83.1625395562,954.264404297
35.7118581962,-83.1625185562,954.68927002
35.7117723952,-83.1625018562,955.665283203
35.7116877952,-83.1624751562,956.578369141
35.7116019942,-83.1624530562,957.540771484
35.7115027962,-83.1624513562,958.290405273
35.7114035952,-83.1624586562,958.99230957
35.7113402951,-83.1624616562,959.311035156
35.7112771961,-83.1624663562,960.477355957
35.7112048951,-83.1624754562,961.928039551
35.7111361951,-83.1624995562,961.993652344
35.7110687951,-83.1625270562,962.104248047
35.7109928951,-83.1625517562,962.374694824
35.710914796,-83.1625670562,963.393371582
35.710847794,-83.1625619562,964.317749023
35.710782295,-83.1625459562,965.470458984
35.710717195,-83.1625285561,966.173706055
35.710645895,-83.1625080561,966.565612793
35.710573695,-83.1624915561,967.056762695
35.710492495,-83.1624957561,967.75402832
35.7104112949,-83.1624981561,967.763122559
35.7103264939,-83.1624651561,969.017456055
35.7102493959,-83.1624157561,970.308349609
35.7101701959,-83.1623701561,970.24230957
35.7100975959,-83.1623275561,970.785522461
35.7100179949,-83.162310756,971.371887207
35.7099815959,-83.162331856,971.451782227
35.7099276939,-83.162319356,971.508605957
35.7098926948,-83.162263156,971.978271484
35.7098465948,-83.162233856,973.266357422
35.7097943938,-83.162216156,973.744628906
35.7097074938,-83.162201256,974.499267578
35.7096191958,-83.162206556,976.368103027
35.7095309958,-83.162214056,977.005187988
35.7094429948,-83.162206656,977.806213379
35.7093708957,-83.162183956,978.625732422
35.7092995957,-83.162158556,979.745361328
35.7092417957,-83.1621390559,980.483154297
35.7091830947,-83.1621222559,980.538269043
35.7091018937,-83.1621161559,980.930114746
35.7090210947,-83.1621068559,981.503967285
35.7089597947,-83.1620754559,982.475891113
35.7089032946,-83.1620353559,983.662658691
35.7088426936,-83.1620025559,984.59954834
35.7087525936,-83.1619900559,985.036621094
35.7086628946,-83.1619755559,985.642822266
35.7085882936,-83.1619347558,986.317932129
35.7085202946,-83.1618833558,987.001159668
35.7084668936,-83.1618336558,988.035827637
35.7084178956,-83.1617795558,988.334411621
35.7083698946,-83.1617245558,988.857177734
35.7083142945,-83.1616739558,989.712158203
35.7082593955,-83.1616224557,990.530578613
35.7082286955,-83.1615549557,991.797607422
35.7082296955,-83.1614996557,993.284851074
35.7081707945,-83.1614453557,993.062072754
35.7080961935,-83.1614076557,992.743225098
35.7080457945,-83.1613464556,993.807250977
35.7080028945,-83.1612795556,994.926879883
35.7079553945,-83.1612159556,996.279541016
35.7078929945,-83.1611593556,996.553771973
35.7078311935,-83.1611020556,996.887207031
35.7077988955,-83.1610636555,997.410522461
35.7077694955,-83.1610230555,997.644958496
35.7077308934,-83.1609521555,998.703063965
35.7076999944,-83.1608775555,999.570373535
35.7076821954,-83.1608109555,1000.74151611
35.7076691934,-83.1607432554,1001.28295898
35.7076495954,-83.1606772554,1001.84783936
35.7076025944,-83.1606058554,1001.88079834
35.7075619944,-83.1605311554,1001.97735596
35.7075752944,-83.1604374553,1002.61175537
35.7075833944,-83.1603438553,1001.92816162
35.7075395944,-83.1602763553,1000.82824707
35.7075134954,-83.1602203553,1001.90087891
35.7074237944,-83.1601958553,1002.70513916
35.7073840934,-83.1601107552,1004.35992432
35.7073779954,-83.1600146552,1005.19934082
35.7073746944,-83.1599182552,1006.18603516
35.7073713944,-83.1598463552,1006.65423584
35.7073682944,-83.1597743551,1007.2232666
35.7073611944,-83.1597077551,1007.97711182
35.7073526944,-83.1596413551,1008.51403809
35.7073448944,-83.1595600551,1008.97711182
35.7073381944,-83.1594787551,1010.06829834
35.7073268934,-83.159397855,1010.77832031
35.7073042944,-83.159319555,1011.21691895
35.7072709934,-83.159256855,1012.29394531
35.7072303934,-83.159198455,1012.65710449
35.7071903954,-83.1591396549,1012.41479492
35.7071492944,-83.1590777549,1012.97808838
35.7071086944,-83.1590155549,1013.33416748
35.7070765954,-83.1589486549,1014.35272217
35.7070613944,-83.1588759549,1014.78167725
35.7070431944,-83.1588040548,1015.25378418
35.7070031934,-83.1587534548,1015.47729492
35.7069638934,-83.1587024548,1016.090271
35.7069384944,-83.1586133548,1016.83905029
35.7068969954,-83.1585581548,1017.02362061
35.7068593934,-83.1585007547,1017.79187012
35.7068621954,-83.1584398547,1018.00128174
35.7068615934,-83.1583792547,1017.82617188
35.7067994944,-83.1583222547,1019.47412109
35.7067918954,-83.1582564547,1019.19537354
35.7067928934,-83.1581894546,1019.01599121
35.7067718944,-83.1581016546,1019.55065918
35.7067402944,-83.1580170546,1020.3135376
35.7067072944,-83.1579328546,1021.26635742
35.7066796954,-83.1578493545,1022.28283691
35.7066509934,-83.1577661545,1022.77111816
35.7066125953,-83.1576871545,1023.79223633
35.7065596943,-83.1576155545,1023.97637939
35.7064977943,-83.1575514544,1024.55297852
35.7064372943,-83.1575032544,1025.26135254
35.7063732933,-83.1574596544,1025.70910645
35.7063102953,-83.1574219544,1026.37219238
35.7062459953,-83.1573863544,1026.98266602
35.7061859933,-83.1573440544,1027.57995605
35.7061475953,-83.1573027543,1027.58422852
35.7061062943,-83.1572645543,1027.9107666
35.7060444942,-83.1572477543,1029.72729492
35.7059805942,-83.1572390543,1030.92810059
35.7059275942,-83.1572186543,1031.42895508
35.7058730952,-83.1572030543,1032.02502441
35.7057917942,-83.1572118543,1032.98901367
35.7057472942,-83.1571775543,1032.63378906
35.7056897942,-83.1571876543,1033.08166504
35.7056383942,-83.1572188543,1033.99353027
35.7056001932,-83.1572563543,1034.70556641
35.7055560931,-83.1572829543,1034.8425293
35.7055292931,-83.1572711543,1034.14416504
35.7055114941,-83.1572596543,1033.64477539
35.7055220941,-83.1571714543,1032.9810791
35.7055606942,-83.1571045542,1033.27319336
35.7056054942,-83.1570410542,1032.96887207
35.7056337932,-83.1569755542,1033.97583008
35.7055988952,-83.1569082542,1035.37854004
35.7055495942,-83.1568532542,1036.27685547
35.7054925941,-83.1568059542,1037.26916504
35.7054388941,-83.1567636541,1037.8302002
35.7053824951,-83.1567251541,1038.07299805
35.7053233951,-83.1566908541,1038.25500488
35.7052523941,-83.1566598541,1039.19567871
35.7051801951,-83.1566317541,1040.43139648
35.7051002951,-83.1565950541,1041.65625
35.7050191931,-83.1565611541,1042.85424805
35.704936695,-83.156538254,1043.58996582
35.704852494,-83.156522454,1045.2722168
35.704767693,-83.156510154,1045.90380859
35.704700593,-83.156499354,1045.71850586
35.704632795,-83.156495454,1046.00805664
35.704569294,-83.156509654,1046.96691895
35.704505993,-83.156525154,1047.80847168
35.7044274939,-83.156521754,1048.44714355
35.7043501939,-83.156506654,1048.88879395
35.7042721939,-83.156496754,1049.51672363
35.7041954939,-83.156502554,1050.56091309
35.7041186939,-83.156503654,1051.41638184
35.7040476929,-83.156476754,1051.70581055
35.7039752938,-83.156455654,1052.4453125
35.7038938948,-83.156475554,1053.75500488
35.7038094948,-83.156473654,1054.46948242
35.7037278938,-83.1564517539,1055.14123535
35.7036530938,-83.1564124539,1056.23828125
35.7035894938,-83.1563568539,1056.8927002
35.7035599928,-83.1563108539,1057.30200195
35.7035279948,-83.1562667539,1057.82580566
35.7034664937,-83.1562452539,1058.12133789
