lat,lng,ele
35.6099568659,-83.3686736107,1092.09082031
35.6100110659,-83.3686641107,1092.57983398
35.610056166,-83.3686654107,1092.92016602
35.610118566,-83.3686951107,1093.20495605
35.610181166,-83.3687243107,1093.6114502
35.610261565,-83.3687100107,1093.81738281
35.610335466,-83.3686737107,1094.33044434
35.610386566,-83.3686232107,1094.47485352
35.610445267,-83.3685886107,1094.3293457
35.610480866,-83.3686117107,1093.88720703
35.6105076651,-83.3686236107,1094.75708008
35.6105241671,-83.3687013108,1096.11376953
35.610508466,-83.3687515108,1095.93200684
35.610486167,-83.3687995108,1095.52685547
35.610465067,-83.3688814108,1096.01696777
35.610446867,-83.3689640108,1096.23999023
35.610427367,-83.3690407109,1096.33874512
35.610444466,-83.3690853109,1097.22692871
35.610489566,-83.3690745109,1098.65979004
35.610535266,-83.3690549109,1100.0526123
35.6105978661,-83.3690788109,1100.94567871
35.6106475671,-83.3690688109,1101.24084473
35.6106973671,-83.3690597109,1101.5447998
35.6107776651,-83.3691062109,1101.70263672
35.6108491671,-83.3691181109,1102.39440918
35.6109217671,-83.3691113109,1103.30236816
35.6109940651,-83.3691015109,1104.20800781
35.6110615661,-83.3690899109,1105.14331055
35.6111295652,-83.3690834109,1106.10998535
35.6111835652,-83.3690954109,1106.7097168
35.6112372652,-83.3691087109,1107.35852051
35.6113139652,-83.3691061109,1108.35424805
35.6113906652,-83.3691022109,1109.39038086
35.6114756652,-83.3691225109,1110.32958984
35.6115611663,-83.3691403109,1111.50610352
35.6116430673,-83.369129411,1112.5144043
35.6117239653,-83.3691120109,1113.45556641
35.6117959663,-83.369100111,1114.12878418
35.6118685663,-83.369094211,1114.96972656
35.6119235663,-83.369095011,1115.35314941
35.6119764663,-83.369108411,1115.77539062
35.6120224653,-83.369148111,1116.2064209
35.6120557664,-83.369199111,1116.50683594
35.6120810664,-83.369288111,1117.26281738
35.6120791663,-83.3693874111,1119.10424805
35.6121251664,-83.3694547111,1119.94824219
35.6121848664,-83.3695120111,1121.13793945
35.6122274664,-83.3695749111,1122.23681641
35.6122725664,-83.3696360111,1123.32531738
35.6123458654,-83.3696962112,1124.48754883
35.6124235664,-83.3697508112,1125.8828125
35.6124912654,-83.3698065112,1127.19555664
35.6125564654,-83.3698651112,1128.63061523
35.6126058664,-83.3699154112,1129.42956543
35.6126536664,-83.3699673113,1130.29870605
35.6126995675,-83.3700168113,1131.13183594
35.6127417675,-83.3700693113,1131.78234863
35.6127747655,-83.3701376113,1132.11633301
35.6128112665,-83.3702038113,1132.86437988
35.6128821665,-83.3702611114,1134.36901855
35.6129463655,-83.3702078113,1136.03100586
35.6129818655,-83.3701554113,1137.19628906
