lat,lng,ele
35.5948734609,-83.4165561239,1466.05505371
35.5947891609,-83.4165655239,1465.4440918
35.5947967609,-83.4166383239,1465.85656738
35.5948133609,-83.4167097239,1466.34851074
35.5948316609,-83.4167842239,1466.67016602
35.5948527609,-83.416858024,1467.25061035
35.5948719609,-83.416932224,1468.24890137
35.5948905619,-83.417015024,1469.67382812
35.5949046599,-83.417098724,1470.88513184
35.5949106619,-83.4171704241,1472.01098633
35.5949108609,-83.4172423241,1473.25769043
35.5949018609,-83.4173313241,1474.62927246
35.5948802609,-83.4174180241,1476.41674805
35.5948525599,-83.4174805241,1476.7734375
35.5948147609,-83.4175374242,1475.92272949
35.5947551608,-83.4175859242,1473.93969727
35.5946868608,-83.4176219242,1472.31262207
35.5946141598,-83.4176528242,1470.98608398
35.5945407608,-83.4177168242,1470.7980957
35.5944783598,-83.4177303242,1470.34289551
35.5944141608,-83.4177351242,1469.72399902
35.5943358608,-83.4177607242,1468.26757812
35.5942610597,-83.4177954242,1465.66003418
35.5941854607,-83.4178283242,1463.22180176
35.5941054607,-83.4178472242,1462.57043457
35.5940378617,-83.4178428242,1461.92028809
35.5939703607,-83.4178431242,1460.51147461
35.5939136597,-83.4178646242,1459.91821289
35.5938611616,-83.4178950242,1459.56591797
35.5938211606,-83.4179287242,1459.34887695
35.5937786606,-83.4179587242,1459.05151367
35.5936917616,-83.4179441242,1457.78479004
35.5936084596,-83.4179095242,1456.34875488
35.5935168606,-83.4179035242,1455.33520508
35.5934286606,-83.4178820242,1452.93591309
35.5933755605,-83.4178362242,1450.77587891
35.5933188615,-83.4177891241,1449.17724609
35.5932601605,-83.4177445241,1448.21557617
35.5931957615,-83.4176999241,1445.51062012
35.5931266605,-83.4176632241,1441.77526855
35.5930782595,-83.4176470241,1440.38964844
35.5930279605,-83.4176382241,1439.03820801
35.5929376595,-83.4176465241,1437.17272949
35.5928660595,-83.4176223241,1434.73962402
35.5928027594,-83.4176280241,1432.16369629
35.5927396604,-83.4176295241,1429.50939941
35.5926685594,-83.417583224,1427.81140137
35.5925898614,-83.417548424,1425.89038086
35.5925074594,-83.417523224,1423.69494629
35.5924448594,-83.417509124,1422.33520508
35.5923817604,-83.417497324,1420.65539551
35.5922906603,-83.417477724,1418.77600098
35.5921998603,-83.417457024,1416.98901367
35.5921086593,-83.417438124,1415.68530273
35.5920165613,-83.417423824,1413.81140137
35.5919236603,-83.4174173239,1411.6418457
35.5918425602,-83.4174218239,1410.98901367
35.5917613602,-83.4174235239,1410.98327637
35.5916761612,-83.4174043239,1410.75415039
35.5915908612,-83.4173853239,1410.96936035
35.5915141612,-83.4173913239,1410.32189941
35.5914374612,-83.4173917239,1410.10620117
35.5913658612,-83.4173516239,1408.84082031
35.5912948601,-83.4173101239,1406.96228027
35.5912139601,-83.4172967239,1406.32434082
35.5911281591,-83.4173059239,1406.26916504
35.5910423601,-83.4173136239,1405.24731445
35.5909551601,-83.4172900239,1403.43212891
35.5908723601,-83.4172533238,1402.03210449
35.590810461,-83.4172174238,1400.55773926
35.590747559,-83.4171832238,1398.75720215
35.590666961,-83.4171587238,1396.99804688
35.59060706,-83.4171687238,1396.04577637
35.59054916,-83.4171883238,1396.61120605
35.590486459,-83.4172119238,1397.15002441
35.590424361,-83.4172372238,1397.32214355
35.5903586599,-83.4172488238,1397.93762207
35.5902741609,-83.4172162238,1399.2154541
35.5901885609,-83.4171885238,1400.05419922
35.5900978589,-83.4172189238,1399.54370117
35.5900469609,-83.4172374238,1397.82873535
35.5899977609,-83.4172600238,1395.87585449
35.5899378599,-83.4173074238,1394.03857422
35.5898786598,-83.4173557238,1392.22265625
35.5898143588,-83.4173851238,1390.04956055
35.5897464598,-83.4174055238,1388.82409668
35.5896789598,-83.4174270238,1387.39038086
35.5896047588,-83.4174545238,1386.23266602
35.5895306598,-83.4174824238,1385.87207031
35.5894578597,-83.4175136238,1385.55383301
35.5893879607,-83.4175506238,1386.27209473
35.5893172597,-83.4176031238,1387.40917969
35.5892501597,-83.4176603239,1388.60241699
35.5891774587,-83.4177099239,1390.71520996
35.5891150607,-83.4177386239,1392.45983887
35.5890502587,-83.4177613239,1392.80810547
