lat,lng,ele
35.4652243348,-83.419183317,664.937072754
35.4652322338,-83.419203117,665.126953125
35.4652374348,-83.419224217,665.32989502
35.4652518328,-83.419312117,666.158996582
35.4652661348,-83.4194001171,666.879821777
35.4652711338,-83.4194673171,667.475463867
35.4652761328,-83.4195344171,667.82409668
35.4652811338,-83.4196016171,668.272521973
35.4652875338,-83.4196480171,668.523742676
35.4652998338,-83.4196928171,668.737976074
35.4653176348,-83.4197348172,669.518127441
35.4653405338,-83.4197728172,670.059814453
35.4653678328,-83.4198060172,670.249023438
35.4654020329,-83.4198312172,670.634399414
35.4654389339,-83.4198498172,671.093139648
35.4654776339,-83.4198613172,671.395141602
35.4655174329,-83.4198657172,671.887695312
35.4655572339,-83.4198626172,672.32623291
35.4656359349,-83.4198486172,673.351867676
35.4657146329,-83.4198346172,673.984985352
35.4657933339,-83.4198206172,674.739562988
35.4658673329,-83.4198135172,674.878051758
35.465941234,-83.4198063172,675.681213379
35.466015235,-83.4197992172,676.337158203
35.466089334,-83.4198040172,676.882751465
35.466163434,-83.4198087172,677.470092773
35.466237534,-83.4198135172,678.18359375
35.466329334,-83.4198333172,678.704345703
35.4664206341,-83.4198555173,680.534484863
35.4665112351,-83.4198803173,682.109313965
35.4666011331,-83.4199074173,683.531799316
35.4666903341,-83.4199370173,684.888244629
35.4667587341,-83.4199568173,685.680297852
35.4668211341,-83.4199913173,686.17364502
35.4668742341,-83.4200387173,686.537597656
35.4669184352,-83.4201202174,687.96472168
35.4669328332,-83.4201827174,688.677185059
35.4669421332,-83.4202461174,689.171569824
35.4669691342,-83.4203312174,689.542907715
35.4670154342,-83.4203917174,690.232421875
35.4670772352,-83.4204361175,692.053405762
35.4671411352,-83.4204938175,693.190917969
35.4672002342,-83.4205565175,694.170043945
35.4672540332,-83.4206238175,694.855102539
35.4673021342,-83.4206952176,695.801086426
35.4673554342,-83.4207372176,696.880126953
35.4674267342,-83.4207683176,698.509521484
35.4674874342,-83.4208169176,698.87286377
35.4675013352,-83.4208671176,698.92767334
35.4675028342,-83.4209192176,699.208435059
35.4674834352,-83.4209835176,699.533935547
35.4674368332,-83.4210319177,699.669067383
35.4673564342,-83.4210891177,700.250549316
35.4672870342,-83.4211594177,701.303283691
35.4672308342,-83.4212406177,702.891235352
35.4671855342,-83.4213143177,704.599609375
35.4671552352,-83.4213953178,705.556884766
35.4671410341,-83.4214806178,704.121582031
35.4671527331,-83.4215720178,705.022033691
35.4672035332,-83.4216490178,706.995849609
35.4672568352,-83.4216815178,707.674743652
35.4673532342,-83.4216739178,708.616149902
35.4674328342,-83.4216392178,709.865234375
35.4675179352,-83.4216226178,710.596435547
35.4676047342,-83.4216250178,711.815612793
35.4676935343,-83.4216636179,713.311828613
35.4677746333,-83.4217164179,714.530700684
35.4678394353,-83.4217818179,715.920288086
35.4679165333,-83.4218323179,717.313415527
35.4680024353,-83.4218655179,718.092285156
35.4680822343,-83.421923718,717.948913574
35.4681351333,-83.422007118,721.508361816
35.4681525343,-83.422087818,723.421142578
35.4681579343,-83.422170218,724.284851074
35.4681512343,-83.4222525181,724.358703613
35.4681358343,-83.4223281181,723.966918945
35.4681113343,-83.4224012181,724.187316895
35.4680782333,-83.4224709181,725.215820312
35.4680368343,-83.4225360181,725.906982422
35.4680111333,-83.4225805181,726.34753418
35.4679951333,-83.4226293182,727.140991211
35.4679849333,-83.4227044182,727.802246094
35.4679872343,-83.4227801182,727.95111084
35.4680017343,-83.4228544182,728.533874512
35.4680458343,-83.4229200183,729.319274902
35.4681025333,-83.4229751183,730.372619629
35.4681693333,-83.4230174183,731.210571289
35.4682141343,-83.4230287183,731.897338867
35.4683125343,-83.4230410183,733.426818848
35.4684078344,-83.4230681183,734.61920166
35.4684979344,-83.4231095183,735.698547363
35.4685546354,-83.4231477183,736.218078613
35.4686102354,-83.4231876184,737.087585449
35.4686645344,-83.4232292184,737.805053711
35.4687224354,-83.4232645184,738.522888184
35.4687875344,-83.4232835184,739.255065918
35.4688784354,-83.4232900184,740.044433594
35.4689693345,-83.4232829184,741.31262207
35.4690229335,-83.4232847184,742.013122559
35.4691170345,-83.4233127184,743.248168945
35.4692061345,-83.4233538184,744.156494141
35.4692885345,-83.4234072185,745.101867676
35.4693506345,-83.4234386185,745.552246094
35.4694192335,-83.4234273185,746.395629883
35.4694680356,-83.4233777185,745.941223145
35.4694813346,-83.4232972184,746.115600586
35.4694678346,-83.4232168184,746.928527832
35.4694616356,-83.4231322184,747.484436035
35.4694704346,-83.4230503184,747.235412598
35.4694663346,-83.4229679183,748.408508301
35.4694492336,-83.4228873183,750.377990723
35.4694244346,-83.4228107183,752.070373535
35.4694108356,-83.4227313183,752.199829102
35.4694086336,-83.4226508183,751.877685547
35.4694071346,-83.4225548182,752.683349609
35.4694028356,-83.4224777182,754.422851562
35.4694016336,-83.4224004182,756.292663574
35.4694033346,-83.4223232182,757.326477051
35.4694107346,-83.4222293181,757.615356445
35.4694031356,-83.4221354181,757.914306641
35.4693807346,-83.4220439181,757.472717285
35.4693439346,-83.421957118,757.01953125
35.4693101356,-83.421879518,757.083007812
35.4692628356,-83.421809318,758.405822754
35.4692036346,-83.421748918,759.862121582
35.4691344336,-83.421700118,760.582275391
35.4690469345,-83.4216633179,760.435241699
35.4689559345,-83.4216361179,759.17980957
35.4688625345,-83.4216188179,758.157409668
35.4688120335,-83.4216079179,757.896362305
35.4687640335,-83.4215888179,757.568115234
35.4686820345,-83.4215381179,756.666992188
35.4686096355,-83.4214745179,755.514343262
35.4685489354,-83.4213997178,754.602294922
35.4685034344,-83.4213250178,753.54864502
35.4684766344,-83.4212418178,752.556518555
35.4684700334,-83.4211546178,751.838500977
35.4684840354,-83.4210683177,750.782226562
35.4684929344,-83.4209827177,750.538696289
35.4684950345,-83.4208967177,749.757446289
35.4684903345,-83.4208108177,749.137817383
35.4684788345,-83.4207256176,748.85369873
35.4684606345,-83.4206415176,748.945007324
35.4684485355,-83.4205857176,748.84185791
35.4684289345,-83.4205034176,748.881835938
35.4683979345,-83.4204248175,748.900756836
35.4683560344,-83.4203513175,748.602355957
35.4683041354,-83.4202845175,748.123535156
35.4682516344,-83.4202212175,747.907409668
35.4681972344,-83.4201596174,748.102539062
35.4681408354,-83.4200998174,748.485778809
35.4680825344,-83.4200418174,749.098266602
35.4680394344,-83.4199754174,749.061035156
35.4680349344,-83.4198964174,748.902282715
35.4680701344,-83.4198256173,749.0078125
35.4681218344,-83.4197652173,749.669128418
35.4681710344,-83.4197028173,749.593933105
35.4682175354,-83.4196383173,749.778747559
35.4682612345,-83.4195719173,750.480285645
35.4682983355,-83.4194868173,750.849975586
35.4683191355,-83.4193964172,751.028442383
35.4683226355,-83.4193036172,751.177490234
35.4683090345,-83.4192118172,751.449829102
35.4682916355,-83.4191154171,751.358581543
35.4682865355,-83.4190176171,750.734985352
35.4682940345,-83.4189200171,750.483581543
35.4683078345,-83.4188606171,750.705444336
35.4683324345,-83.4188047171,750.86895752
35.4683620335,-83.418741817,750.009094238
35.4683830355,-83.418675617,750.591796875
35.4683952335,-83.418607217,751.295776367
35.4683972345,-83.418549117,750.977478027
35.4683900345,-83.418491417,750.712463379
35.4683682345,-83.4184020169,750.529785156
35.4683398345,-83.4183144169,750.505493164
35.4683049345,-83.4182292169,750.960388184
35.4682783335,-83.4181487169,751.630432129
35.4682562335,-83.4180668168,752.501159668
35.4682387345,-83.4179838168,753.095214844
35.4682259345,-83.4178999168,751.928344727
35.4682177345,-83.4178155168,751.170043945
35.4682186345,-83.4177301167,750.196044922
35.4682302345,-83.4176455167,749.442810059
35.4682523355,-83.4175630167,749.149719238
35.4682846355,-83.4174839167,749.803710938
35.4683367356,-83.4174019166,749.943603516
35.4684065346,-83.4173344166,749.144287109
35.4684602346,-83.4172957166,748.646118164
35.4685151336,-83.4172588166,749.258178711
35.4685628346,-83.4172062166,749.471435547
35.4685867346,-83.4171394166,749.648620605
35.4685833346,-83.4170685166,749.274902344
35.4685672336,-83.4169884165,748.763000488
35.4685463356,-83.4169094165,748.121398926
35.4685206346,-83.4168319165,748.036071777
35.4684903346,-83.4167560165,747.994812012
35.4684716336,-83.4166880164,747.914733887
35.4684721346,-83.4166175164,747.818908691
35.4684893346,-83.4165527164,747.960632324
35.4685217356,-83.4164940164,747.60369873
35.4685743346,-83.4164177164,748.234375
35.4686243357,-83.4163484164,747.946777344
35.4686825337,-83.4162858163,748.148132324
35.4687480357,-83.4162309163,748.589172363
35.4688194347,-83.4161715163,749.393127441
35.4688969357,-83.4161203163,749.703491211
35.4689796347,-83.4160780163,749.443603516
35.4690665348,-83.4160451163,749.463562012
35.4691447348,-83.4160405163,749.699951172
35.4692227348,-83.4160479163,750.475036621
35.4692986358,-83.4160673163,750.670410156
35.4693707348,-83.4160980163,750.310058594
35.4694342338,-83.4161392163,750.127868652
35.4694954348,-83.4161838164,749.635009766
35.4695541349,-83.4162317164,749.766540527
35.4696110349,-83.4162417164,749.969421387
35.4696617339,-83.4162141164,749.590515137
35.4696864349,-83.4161451164,749.140441895
35.4696762349,-83.4160740163,748.203613281
35.4696503349,-83.4160071163,747.437927246
35.4696099359,-83.4159477163,747.653564453
35.4695671339,-83.4158690163,747.75201416
35.4695282349,-83.4157883162,747.250244141
35.4694935349,-83.4157058162,746.253540039
35.4694630349,-83.4156215162,745.841064453
35.4694368349,-83.4155359162,745.337890625
35.4694149349,-83.4154490161,744.919433594
35.4693974359,-83.4153612161,745.473205566
35.4693793349,-83.4152681161,746.087219238
35.4693747359,-83.4151733161,745.542785645
