lat,lng,ele
35.6176440556,-83.6696157994,585.691223145
35.6176196556,-83.6696207994,585.756469727
35.6175950556,-83.6696253994,585.812988281
35.6175705556,-83.6696295994,585.94708252
35.6175460546,-83.6696334994,586.20703125
35.6175214546,-83.6696370994,586.313720703
35.6174967556,-83.6696403994,586.446594238
35.6174721556,-83.6696431994,586.575256348
35.6174459566,-83.6696459994,586.651489258
35.6174198545,-83.6696485994,586.753356934
35.6173937555,-83.6696509994,586.707336426
35.6173676565,-83.6696530994,586.484069824
35.6173415545,-83.6696549994,586.391235352
35.6173153545,-83.6696563994,586.619934082
35.6172891545,-83.6696576994,586.889892578
35.6172630555,-83.6696583994,587.179626465
35.6172367545,-83.6696586994,587.159484863
35.6172105545,-83.6696584994,587.235900879
35.6171844555,-83.6696576994,587.283996582
35.6171582555,-83.6696563994,587.334228516
35.6171321565,-83.6696543994,587.373596191
35.6171059565,-83.6696517994,587.567565918
35.6170799555,-83.6696483993,588.148376465
35.6170539545,-83.6696441993,588.932373047
35.6170281555,-83.6696392993,589.244262695
35.6170023555,-83.6696334993,589.348510742
35.6169767555,-83.6696267993,589.344238281
35.6169528565,-83.6696195993,589.178588867
35.6169291554,-83.6696113993,588.941040039
35.6169056544,-83.6696025993,588.609191895
35.6168822564,-83.6695933993,588.491821289
35.6168588554,-83.6695837993,588.621459961
35.6168355564,-83.6695738993,589.034118652
35.6168123544,-83.6695640993,589.449768066
35.6167890554,-83.6695542993,589.83807373
35.6167655554,-83.6695439993,590.399414062
35.6167423544,-83.6695328993,591.020568848
35.6167192564,-83.6695213993,591.40814209
35.6166961554,-83.6695097993,591.505737305
35.6166728554,-83.6694986993,591.589050293
35.6166494554,-83.6694881993,591.883239746
35.6166257554,-83.6694787993,592.14855957
35.6166016564,-83.6694707993,592.345825195
35.6165787554,-83.6694652993,592.469238281
35.6165555554,-83.6694613993,592.559082031
35.6165324554,-83.6694584993,592.643615723
35.6165092554,-83.6694558993,592.740478516
35.6164859564,-83.6694529993,592.896606445
35.6164628554,-83.6694490993,593.120666504
35.6164399564,-83.6694432993,593.385253906
35.6164152553,-83.6694345992,593.466552734
35.6163910563,-83.6694237992,593.566833496
35.6163673553,-83.6694112992,593.723815918
35.6163441543,-83.6693977992,593.977722168
35.6163211543,-83.6693833992,594.237976074
35.6162984543,-83.6693687992,594.469665527
35.6162755553,-83.6693539992,594.908081055
35.6162527543,-83.6693394992,595.463012695
35.6162295553,-83.6693257992,595.97088623
35.6162058553,-83.6693133992,596.278869629
35.6161817563,-83.6693022992,596.263305664
35.6161584543,-83.6692937992,596.133728027
35.6161346553,-83.6692869992,596.17755127
35.6161107563,-83.6692811992,596.306640625
35.6160867553,-83.6692754992,596.518920898
35.6160629553,-83.6692693992,596.672790527
35.6160393553,-83.6692619992,596.742248535
35.6160161563,-83.6692526992,596.801696777
35.6159938543,-83.6692407992,596.909729004
35.6159735553,-83.6692259992,597.119384766
35.6159545543,-83.6692090992,597.328918457
35.6159359563,-83.6691914991,597.689147949
35.6159168543,-83.6691746991,598.38269043
35.6158964553,-83.6691602991,599.119262695
35.6158720562,-83.6691478991,599.50793457
35.6158468542,-83.6691382991,599.504821777
35.6158210552,-83.6691310991,599.20526123
35.6157950562,-83.6691259991,598.823913574
35.6157686552,-83.6691223991,598.800292969
35.6157423542,-83.6691202991,599.028198242
35.6157159552,-83.6691192991,599.28326416
35.6156894552,-83.6691190991,599.331298828
35.6156630562,-83.6691194991,599.18170166
35.6156378542,-83.6691208991,598.927185059
35.6156127552,-83.6691242991,598.647094727
35.6155878552,-83.6691287991,598.204345703
35.6155630542,-83.6691341991,597.553222656
35.6155382552,-83.6691401991,596.786315918
35.6155135542,-83.6691461991,596.220031738
35.6154887552,-83.6691519991,596.110900879
35.6154638552,-83.6691569991,596.437866211
35.6154383562,-83.6691626991,596.981018066
35.6154128541,-83.6691693991,597.514831543
35.6153874551,-83.6691761991,598.094482422
35.6153618551,-83.6691818991,598.663391113
35.6153359551,-83.6691851991,599.307678223
