lat,lng,ele
35.5437307549,-83.2998954866,651.786560059
35.5437753559,-83.2999741866,652.344787598
35.5438124539,-83.3000575867,651.251220703
35.5438495539,-83.3001410867,651.282470703
35.5438943549,-83.3002195867,652.538513184
35.5439907559,-83.3002199867,653.270141602
35.5440869539,-83.3002152867,653.745178223
35.544182854,-83.3002054867,654.328674316
35.544264455,-83.3001925867,654.817871094
35.544345655,-83.3001769867,655.496948242
35.544413655,-83.3001629867,656.232666016
35.544481455,-83.3001477867,656.938354492
35.544576554,-83.3001229867,657.708007812
35.5446716551,-83.3000980867,658.553161621
