lat,lng,ele
35.6936169877,-83.257233283,1800.96032715
35.6936276867,-83.257184983,1800.20288086
35.6936453877,-83.2571565829,1800.0925293
35.6936735877,-83.2571029829,1799.67700195
35.6937019877,-83.2570379829,1799.11682129
35.6937199887,-83.2569586829,1797.72631836
35.6937392868,-83.2568802829,1796.63061523
35.6937538888,-83.2567911828,1795.6953125
35.6937687878,-83.2567196828,1795.40478516
35.6937670868,-83.2566959828,1795.17773438
35.6937807868,-83.2566910828,1795.57324219
35.6938296868,-83.2567117828,1797.36987305
35.6938473878,-83.2566457828,1796.98254395
