lat,lng,ele
35.6802662758,-83.4626693425,963.831481934
35.6803343758,-83.4622094423,969.376220703
35.6803359758,-83.4621321423,970.158508301
35.6803231758,-83.4618776422,973.079467773
35.6802828778,-83.4616444422,975.651062012
35.6801955778,-83.4615091421,977.591674805
35.6800088768,-83.4613819421,980.395080566
35.6799473758,-83.4613027421,981.144165039
35.6799046768,-83.461190942,982.54498291
35.6799435768,-83.461048442,984.276245117
35.6799280768,-83.4609264419,984.607116699
35.6798402758,-83.4608133419,986.384155273
35.6797244768,-83.4607434419,988.417297363
35.6796253767,-83.4607404419,989.522338867
35.6793616767,-83.4608538419,994.245483398
