lat,lng,ele
35.7850185093,-83.2168887766,510.309570312
35.7849260082,-83.2168783765,510.395904541
35.7848335092,-83.2168676765,510.287597656
35.7847410082,-83.2168566765,510.22442627
35.7846486082,-83.2168453765,510.186462402
35.7845562082,-83.2168338765,509.976898193
35.7844639082,-83.2168220765,509.91204834
35.7843716081,-83.2168099765,509.846313477
35.7842793091,-83.2167975765,509.818267822
35.7841871081,-83.2167848765,509.797454834
35.7840949091,-83.2167719765,509.75012207
35.7840027081,-83.2167587765,509.873718262
35.783910607,-83.2167452764,509.947540283
35.783816708,-83.2167285764,510.00793457
35.783722609,-83.2167129764,510.132049561
35.783628309,-83.2166984764,510.265716553
35.783533908,-83.2166850764,510.629394531
35.7834428079,-83.2166469764,511.053070068
35.7833696079,-83.2165805764,511.248443604
35.7833227079,-83.2164935763,511.402862549
35.7833075069,-83.2163959763,511.491668701
35.7832924079,-83.2162979763,511.790649414
35.7832564069,-83.2162056762,512.314025879
35.7832012079,-83.2161233762,512.770935059
35.7831584079,-83.2160414762,513.23614502
35.7831186089,-83.2159580762,513.71875
35.7830817079,-83.2158733761,514.074768066
35.7830479079,-83.2157873761,514.365112305
35.7830172079,-83.2157001761,514.664367676
35.7829896079,-83.2156119761,515.008911133
35.7829642089,-83.215529176,515.549865723
35.7829415079,-83.215445576,516.143188477
35.7829215069,-83.215361276,516.826171875
35.7829043079,-83.215276376,517.500366211
35.7828900079,-83.2151908759,518.016479492
35.7828784079,-83.2151050759,518.173706055
35.7828696089,-83.2150188759,518.420654297
35.7828593079,-83.2149351759,518.573547363
35.7828291069,-83.2148564758,518.671264648
35.7827807079,-83.2147873758,518.72442627
35.7827170079,-83.2147320758,518.608154297
35.7826418089,-83.2146938758,518.329589844
35.7825596078,-83.2146750758,518.158630371
35.7824929068,-83.2146755758,518.263549805
35.7824263078,-83.2146777758,518.399841309
35.7823597078,-83.2146815757,518.575500488
35.7823085068,-83.2146830757,518.723266602
35.7822573088,-83.2146804757,518.867492676
35.7821677078,-83.2146771757,519.209716797
35.7820781067,-83.2146831757,519.661804199
35.7819898087,-83.2146986757,520.318908691
35.7819035077,-83.2147232757,520.963317871
35.7818306077,-83.2147510757,521.33001709
35.7817550067,-83.2147701757,521.62701416
35.7816776087,-83.2147804757,521.845703125
35.7815996086,-83.2147817757,522.090270996
35.7815210086,-83.2147445757,522.42175293
35.7814552086,-83.2146877757,522.753112793
35.7814068076,-83.2146154757,522.990722656
35.7813571066,-83.2145292756,523.228088379
35.7813099076,-83.2144438756,523.599914551
35.7812726076,-83.2143536756,524.135009766
35.7812417086,-83.2142787756,524.535583496
35.7812024086,-83.2142078755,524.834533691
35.7811553076,-83.2141419755,525.15234375
35.7811048076,-83.2140826755,525.41607666
35.7810515086,-83.2140257755,525.717468262
35.7809956085,-83.2139714755,525.983093262
35.7809373075,-83.2139198754,526.299072266
35.7808884075,-83.2138744754,526.539367676
35.7808442065,-83.2138244754,526.764160156
35.7807852075,-83.2137522754,527.116638184
35.7807250065,-83.2136809754,527.475891113
35.7806636065,-83.2136106753,527.791503906
35.7806012075,-83.2135414753,528.060791016
35.7805375075,-83.2134732753,528.401428223
35.7804728085,-83.2134060753,528.614135742
35.7804070065,-83.2133399752,528.823486328
35.7803401074,-83.2132749752,529.023986816
35.7802724084,-83.2132013752,529.128234863
35.7802048074,-83.2131278752,529.302185059
35.7801371074,-83.2130542751,529.398986816
35.7800694074,-83.2129806751,529.388305664
35.7800018064,-83.2129071751,529.412658691
35.7799341074,-83.2128335751,529.549072266
35.7798948074,-83.212793775,529.660522461
35.7798527074,-83.212756975,529.771789551
35.7797821073,-83.212699275,529.826965332
35.7797123073,-83.212640775,530.114013672
35.7796431083,-83.212581475,530.303466797
35.7795748063,-83.2125211749,530.560302734
35.7795071063,-83.2124601749,530.950805664
35.7794465073,-83.2123913749,531.573364258
35.7793879073,-83.2123207749,532.233642578
35.7793313063,-83.2122485749,532.701721191
35.7792769083,-83.2121747748,533.401855469
35.7792246073,-83.2120993748,534.400634766
35.7791744062,-83.2120347748,535.507568359
35.7791280082,-83.2119780748,536.585998535
35.7790868062,-83.2119173747,537.812561035
35.7790501062,-83.2118349747,539.010131836
35.7790349072,-83.2117460747,540.067626953
35.7790261062,-83.2116697747,541.226196289
35.7790075082,-83.2115952746,542.242431641
35.7789792072,-83.2115238746,543.042297363
35.7789436082,-83.2114534746,543.960266113
35.7788974072,-83.2113896746,544.297058105
35.7788415072,-83.2113338746,544.818054199
35.7787776072,-83.2112877745,545.057800293
35.7786962082,-83.2112329745,545.044006348
35.7786171072,-83.2111746745,545.46862793
35.7785406082,-83.2111130745,545.790649414
35.7784669071,-83.2110482744,546.501037598
35.7783959061,-83.2109803744,547.04095459
35.7783279071,-83.2109095744,547.458862305
