lat,lng,ele
35.4586230288,-83.5374869513,633.916687012
35.4586016288,-83.5375601513,634.624450684
35.4585706288,-83.5376297513,634.522583008
35.4585285278,-83.5376932513,633.768615723
35.4584668268,-83.5377427513,633.890319824
35.4583954277,-83.5377778513,634.08770752
35.4583276277,-83.5378191513,634.146240234
35.4582583287,-83.5378792514,634.588867188
35.4581936277,-83.5379441514,634.211914062
35.4581375287,-83.5380166514,635.417541504
35.4580963287,-83.5380983514,636.293823242
35.4580774277,-83.5381959514,637.803894043
35.4580726277,-83.5382955515,639.819152832
35.4580631287,-83.5383947515,640.977661133
35.4580491266,-83.5384837515,641.494140625
35.4580233276,-83.5385697515,641.78704834
35.4579962276,-83.5386170516,641.853881836
35.4579584276,-83.5386558516,642.386352539
35.4578681286,-83.5386640516,643.480163574
35.4578012276,-83.5386341515,644.974487305
35.4577342286,-83.5386047515,645.657958984
35.4576695276,-83.5386131515,646.030700684
35.4576073276,-83.5386337515,646.021240234
35.4575467265,-83.5386559515,646.717041016
35.4574891285,-83.5386851515,647.92791748
35.4574219275,-83.5387513516,650.355834961
35.4573512275,-83.5388130516,651.084106445
35.4572606285,-83.5388322516,653.932434082
35.4571983285,-83.5387972516,655.806091309
35.4571454275,-83.5387564515,656.141662598
35.4570918274,-83.5387167515,656.193664551
35.4570217274,-83.5386878515,656.210021973
35.4569472264,-83.5386733515,656.943969727
35.4568714264,-83.5386671515,658.013366699
35.4567955274,-83.5386633515,658.927185059
35.4567262274,-83.5386597515,659.772583008
35.4566569284,-83.5386598515,660.77734375
35.4565880273,-83.5386678515,661.829284668
35.4565177273,-83.5386939515,663.711303711
35.4564506273,-83.5387278515,665.540405273
35.4563789283,-83.5387494515,665.891540527
35.4563086283,-83.5387466515,666.657043457
35.4562397273,-83.5387313515,668.601928711
35.4561725263,-83.5387098515,670.09185791
35.4561022262,-83.5386786515,671.168579102
35.4560350282,-83.5386409514,672.111206055
35.4559674272,-83.5386042514,672.695556641
35.4558902282,-83.5385684514,673.981201172
35.4558124272,-83.5385338514,675.41973877
35.4557352272,-83.5384978514,676.591125488
35.4556657272,-83.5384521514,677.420593262
35.4556005271,-83.5384003513,677.577697754
35.4555307281,-83.5383552513,679.675415039
35.4554500271,-83.5383456513,680.836914062
35.4553941271,-83.5383806513,680.47668457
35.4553403261,-83.5384193513,680.591369629
35.4552613281,-83.5384396513,680.72253418
35.4551798281,-83.5384476513,680.312866211
35.455104728,-83.5384780513,680.672607422
35.455049128,-83.5385445514,680.77355957
35.455002627,-83.5386180514,680.496459961
35.454951827,-83.5386838514,679.977233887
35.454918527,-83.5387585514,680.139282227
35.454931627,-83.5388224514,680.621154785
35.454961026,-83.5388811515,680.604064941
35.455011728,-83.5389293515,680.789245605
35.455067227,-83.5389725515,680.768981934
35.455129028,-83.5390395515,679.440124512
35.455182827,-83.5391130515,679.516601562
35.455215726,-83.5391975516,678.061645508
35.455222927,-83.5392859516,678.487548828
35.455178326,-83.5393326516,680.345947266
35.455114726,-83.5393553516,679.349914551
35.455058426,-83.5393909516,678.13079834
35.455025327,-83.5394749516,678.287780762
35.455010727,-83.5395647517,678.526611328
35.454989827,-83.5396531517,678.531494141
35.454957027,-83.5397369517,678.720581055
35.4549143259,-83.5398160517,679.133666992
35.4548631279,-83.5398735517,680.564697266
35.4548039269,-83.5399227517,682.535095215
35.4547216259,-83.5399752518,682.390930176
