lat,lng,ele
35.6089444517,-83.7461571213,534.531677246
35.6090120508,-83.7462087213,534.066772461
35.6090820508,-83.7462571213,533.187133789
35.6091542508,-83.7463021213,532.331115723
35.6092286498,-83.7463434213,531.363891602
35.6093126518,-83.7463850213,530.67956543
35.6093987508,-83.7464217214,530.125732422
35.6094875508,-83.7464516214,529.364318848
35.6095625519,-83.7464649214,528.542724609
35.6096383499,-83.7464733214,528.176391602
35.6097119509,-83.7464924214,527.687316895
35.6097655499,-83.7465214214,527.317871094
35.6098187509,-83.7465512214,526.911010742
35.6098893509,-83.7465685214,526.173583984
35.6099615509,-83.7465791214,525.100769043
35.6100246519,-83.7466135215,524.421569824
35.610051651,-83.7466723215,524.414123535
35.61008515,-83.7467259215,524.397827148
35.610148451,-83.7467170215,524.059204102
35.610227451,-83.7467570215,524.487609863
35.610290351,-83.7468212215,524.743286133
35.610340651,-83.7469033216,525.01953125
35.610377051,-83.7469929216,525.129638672
35.610419652,-83.7470795216,525.608825684
35.61047405,-83.7471499216,525.297424316
35.610536851,-83.7472129217,525.747192383
35.610603051,-83.7472723217,527.666442871
35.6106682511,-83.7473330217,528.18536377
35.6107277521,-83.7473991217,528.048522949
35.6107837501,-83.7474719217,529.026489258
35.6108368511,-83.7475469218,529.464172363
35.6108848511,-83.7476252218,531.797424316
35.6109167511,-83.7476944218,533.835021973
35.6109428501,-83.7477661218,534.469360352
35.6109699521,-83.7478374219,534.808166504
35.6110046511,-83.7479052219,534.91394043
35.6110673511,-83.7479817219,532.72064209
35.6111391511,-83.7480499219,532.866699219
35.6112070511,-83.748121922,534.497741699
35.6112521521,-83.748185922,534.366516113
35.6112931501,-83.748252522,534.305786133
35.6113346522,-83.748318922,533.69329834
35.6113813502,-83.7483817221,533.123657227
35.6114260522,-83.7484370221,533.155944824
35.6114730502,-83.7484902221,533.074829102
35.6115311522,-83.7485303221,533.637695312
35.6116169512,-83.7485403221,536.665527344
35.6117025502,-83.7485251221,539.655395508
35.6117651502,-83.7485070221,540.274291992
35.6118208512,-83.7484740221,540.429321289
35.6118469503,-83.7484291221,541.442016602
35.6118769523,-83.7483876221,542.04296875
35.6119399503,-83.7483898221,540.993591309
35.6119567513,-83.7484455221,541.024963379
35.6119637513,-83.7485341221,540.910400391
35.6120010503,-83.7486031222,541.707275391
35.6120597523,-83.7486561222,543.120361328
35.6121220523,-83.7487051222,544.221862793
35.6121805523,-83.7487528222,544.963623047
35.6122425523,-83.7487961222,545.731872559
35.6123084503,-83.7488329222,546.334228516
35.6123813503,-83.7488619223,547.586181641
35.6124573504,-83.7488817223,548.499633789
35.6125349524,-83.7488935223,548.991149902
35.6126133504,-83.7488985223,549.078979492
35.6127111504,-83.7488928223,551.045654297
35.6128075524,-83.7488758223,553.393432617
35.6129029515,-83.7488532223,554.932189941
35.6129765515,-83.7488309223,555.691894531
35.6130485525,-83.7488039223,557.290039062
35.6131204525,-83.7487765223,558.564453125
35.6131936525,-83.7487528223,559.018432617
35.6132749515,-83.7487326223,560.062561035
35.6133567516,-83.7487142223,561.518066406
35.6134295506,-83.7486997223,562.714660645
35.6135024506,-83.7486857223,563.89855957
35.6135741516,-83.7486665223,564.804016113
35.6136529506,-83.7486352223,565.96685791
35.6137288516,-83.7485972223,566.366882324
35.6138025517,-83.7485551222,567.99395752
35.6138751517,-83.7485112222,570.328857422
35.6139560517,-83.7484651222,572.558898926
35.6140352517,-83.7484159222,573.06829834
35.6141040517,-83.7483535222,573.42779541
35.6141443527,-83.7482995222,573.838806152
35.6141786507,-83.7482415222,574.552185059
35.6142071518,-83.7481804222,575.641113281
35.6142220528,-83.7481136221,576.790710449
35.6142306528,-83.7480456221,577.695129395
35.6142567518,-83.7479834221,578.034484863
