lat,lng,ele
35.4848599214,-83.8370292404,720.506835938
35.4849321214,-83.8370265404,720.668579102
35.4850042204,-83.8370232404,720.146911621
35.4850794215,-83.8370144404,718.37878418
35.4851545215,-83.8370049404,716.422973633
35.4852299215,-83.8370091404,715.080566406
35.4853060215,-83.8370383405,714.146972656
35.4853759205,-83.8370807405,712.746520996
35.4854434215,-83.8371268405,710.855102539
35.4855125215,-83.8371873405,709.467041016
35.4855778225,-83.8372520405,708.036560059
35.4856557216,-83.8372996406,706.427368164
35.4857331226,-83.8372971406,705.523071289
35.4858088216,-83.8373050406,704.430908203
35.4858433216,-83.8373561406,703.163635254
35.4858785226,-83.8374066406,702.055908203
35.4859410216,-83.8374309406,701.315429688
35.4860141206,-83.8373892406,699.905822754
35.4860506216,-83.8373685406,701.13079834
35.4860724216,-83.8374254406,701.383850098
35.4860748206,-83.8374906406,701.253967285
35.4860605216,-83.8375728407,701.692810059
35.4860234206,-83.8376481407,701.985656738
35.4859799206,-83.8377199407,701.177490234
35.4859415226,-83.8377945407,699.513916016
35.4859097216,-83.8378696407,698.934692383
35.4858790216,-83.8379451408,698.897033691
35.4858550216,-83.8380229408,697.448608398
35.4858363216,-83.8381171408,696.141113281
35.4858265206,-83.8382126408,695.097900391
35.4858302216,-83.8383085409,694.828918457
35.4858481216,-83.8383804409,695.017578125
35.4858743216,-83.8384498409,695.196166992
35.4858974226,-83.8385203409,695.048828125
35.4859189206,-83.838616641,694.850036621
35.4859357226,-83.838713741,693.97088623
35.4859477216,-83.838811741,693.721313477
35.4859542216,-83.838910141,693.169921875
35.4859549226,-83.8390087411,693.018310547
35.4859488225,-83.8391071411,692.763977051
35.4859353215,-83.8392048411,692.455932617
35.4859135215,-83.8392864412,691.815307617
35.4858954215,-83.8393687412,691.123657227
35.4859018215,-83.8394627412,690.455932617
35.4859090215,-83.8395566412,689.966247559
35.4858944215,-83.8396469413,689.073852539
35.4858672215,-83.8397343413,688.04309082
35.4858307215,-83.8398183413,686.72088623
35.4857840205,-83.8398884413,686.023071289
35.4857293225,-83.8399528413,685.65057373
35.4856817205,-83.8400224414,685.08392334
35.4856483214,-83.8401080414,684.56817627
35.4856233214,-83.8401965414,683.85760498
35.4855944224,-83.8402838414,682.816345215
35.4855536204,-83.8403670414,681.776672363
35.4855089214,-83.8404482415,680.492248535
35.4854713214,-83.8405329415,679.490905762
35.4854500224,-83.8406081415,678.890686035
35.4854347204,-83.8406848415,678.468505859
35.4854224214,-83.8407621416,678.331115723
35.4854100224,-83.8408393416,677.840332031
35.4854002204,-83.8409052416,677.726928711
35.4853889224,-83.8409708416,677.633239746
35.4853625204,-83.8410643416,677.219543457
35.4853305203,-83.8411561417,676.78302002
35.4853040203,-83.8412210417,676.579589844
35.4852759203,-83.8412852417,675.856750488
35.4852537213,-83.8413517417,674.901306152
35.4852400223,-83.8414242417,673.82232666
35.4852326213,-83.8414976418,672.881103516
35.4852305203,-83.8415713418,671.762145996
35.4852331213,-83.8416546418,671.323425293
35.4852447213,-83.8417371418,670.647399902
35.4852621203,-83.8418059418,670.157653809
35.4852868213,-83.8418724419,669.762390137
35.4853303213,-83.8419275419,668.555358887
35.4854108213,-83.8419523419,666.881164551
35.4854638203,-83.8419983419,665.437011719
35.4854695203,-83.8420478419,664.567993164
35.4854615223,-83.8420974419,663.856567383
35.4854234213,-83.842184242,663.097229004
35.4854314223,-83.842228642,663.481201172
35.4854483213,-83.842273242,665.260620117
35.4854220213,-83.842351342,666.227050781
35.4853817213,-83.842425242,666.991821289
35.4853714203,-83.8425094421,667.74810791
35.4853745213,-83.8425943421,668.293884277
35.4853847213,-83.8426787421,669.186340332
35.4854046223,-83.8427577421,670.183227539
35.4854361213,-83.8428329422,671.245727539
35.4854718203,-83.8429062422,672.533203125
35.4855051213,-83.8429806422,673.781494141
35.4855290203,-83.8430585422,674.698303223
35.4855380213,-83.8431365423,674.147827148
35.4855523203,-83.8432136423,673.399169922
35.4855968213,-83.8432836423,675.332824707
35.4856483213,-83.8433492423,676.125549316
35.4856927213,-83.8434272423,676.506225586
35.4857347223,-83.8435065424,676.65826416
35.4857733213,-83.8435797424,676.703491211
35.4858124223,-83.8436525424,676.894348145
35.4858611213,-83.8437228424,677.727416992
35.4858991214,-83.8437988425,678.346374512
35.4859050214,-83.8438947425,678.469482422
35.4858766223,-83.8439854425,677.917907715
35.4858126213,-83.8440272425,679.248840332
35.4857537213,-83.8440188425,679.46697998
35.4856960213,-83.8440011425,678.893005371
35.4856143203,-83.8440041425,678.546569824
35.4855334223,-83.8440174425,678.157836914
35.4854698223,-83.8440311425,678.701538086
35.4854065222,-83.8440459425,679.592773438
35.4853367212,-83.8440562425,680.092102051
35.4852666202,-83.8440652425,680.330871582
35.4851983212,-83.8440827425,681.420654297
35.4851259222,-83.8441117425,682.595214844
35.4850614202,-83.8441551425,683.11151123
35.4850171212,-83.8442250425,683.375732422
35.4849894211,-83.8443033426,684.306762695
35.4849659201,-83.8443831426,685.384521484
35.4849473221,-83.8444654426,686.11126709
35.4849259201,-83.8445470426,686.751464844
35.4848977221,-83.8446011426,687.252380371
35.4848693221,-83.8446552427,687.58392334
35.4848465211,-83.8447308427,688.003845215
35.4848297201,-83.8448081427,688.83380127
35.4848172221,-83.8448999427,689.731933594
35.4848085211,-83.8449922428,690.426635742
35.4847871211,-83.8450821428,691.363708496
35.4847594201,-83.8451365428,691.908325195
35.4847305211,-83.8451903428,692.979980469
35.484702721,-83.8452733428,694.399841309
35.484681321,-83.8453583429,695.047180176
35.484652521,-83.8454410429,695.498168945
35.48460542,-83.8455275429,697.36340332
35.48455872,-83.8455692429,698.201293945
35.484504521,-83.8456011429,699.15057373
35.484431621,-83.8456255429,699.561950684
35.484359121,-83.8456510429,700.066711426
35.4843078219,-83.8456818429,701.017333984
