lat,lng,ele
35.4670734171,-83.8772988511,400.938323975
35.4670886161,-83.8772251511,401.626312256
35.4671090161,-83.8771526511,402.187469482
35.4671363171,-83.8770825511,402.672149658
35.4671664171,-83.8770224511,403.008056641
35.4672007162,-83.876964651,403.438934326
35.4672396152,-83.876909951,404.054290771
35.4672928162,-83.876848851,404.741821289
35.4673524152,-83.876793951,405.386230469
35.4673999162,-83.876759051,405.918121338
35.4674512152,-83.876730051,406.387969971
35.4675422172,-83.876711751,406.555755615
35.4676354163,-83.876719851,408.925170898
35.4677283163,-83.876730351,410.172973633
35.4678210163,-83.876721251,410.801116943
35.4678972163,-83.876689451,411.0652771
35.4679681163,-83.876646951,410.952941895
35.4680353173,-83.876598651,411.525756836
35.4681007164,-83.876548051,411.663482666
35.4681664154,-83.876497751,411.533294678
35.4682447154,-83.876440251,411.954559326
35.4683225164,-83.8763822509,412.69128418
35.4683986164,-83.8763219509,412.073028564
35.4684717164,-83.8762581509,412.454956055
35.4685403155,-83.8761893509,413.191436768
35.4686027165,-83.8761150509,414.36831665
35.4686495165,-83.8760520509,414.937042236
35.4686913165,-83.8759857509,414.738555908
35.4687197165,-83.8759250508,414.668182373
35.4687432175,-83.8758622508,414.402526855
35.4687649175,-83.8757988508,414.849731445
35.4687943175,-83.8757062508,414.776550293
35.4688192165,-83.8756124507,414.770324707
35.4688406166,-83.8755176507,415.610595703
35.4688593156,-83.8754223507,416.381195068
35.4688760166,-83.8753266507,416.934906006
35.4688915176,-83.8752307506,417.264282227
35.4689031166,-83.8751348506,417.68182373
35.4689094176,-83.8750383506,418.864929199
35.4689123156,-83.8749417506,418.775054932
35.4689141166,-83.8748451505,419.171447754
35.4689166166,-83.8747485505,419.248596191
35.4689219156,-83.8746520505,419.507263184
35.4689323166,-83.8745559504,419.84552002
35.4689500156,-83.8744609504,420.496612549
35.4689771176,-83.8743751504,420.571044922
35.4690134166,-83.8742927504,421.395080566
35.4690542156,-83.8742124504,421.751525879
35.4690953167,-83.8741322503,421.818847656
35.4691323167,-83.8740501503,422.030487061
35.4691603157,-83.8739646503,422.450042725
35.4691735167,-83.8738756503,423.081634521
35.4691680157,-83.8737825502,423.710723877
35.4691546167,-83.8736900502,423.983001709
35.4691490167,-83.8735969502,423.817565918
35.4691572167,-83.8735222502,424.408752441
35.4691723167,-83.8734486501,424.913635254
35.4691891157,-83.8733753501,424.994476318
35.4692028157,-83.8733014501,424.842224121
35.4692118167,-83.8732139501,424.910919189
35.4692162157,-83.87312605,425.417388916
35.4692185157,-83.87303805,426.117004395
35.4692214167,-83.87295005,427.182617188
35.4692273167,-83.87286225,427.667449951
35.4692390167,-83.8727750499,426.742706299
35.4692572168,-83.8726970499,426.004882812
35.4692807178,-83.8726204499,426.783447266
35.4693055168,-83.8725442499,427.472137451
35.4693275168,-83.8724672499,427.997802734
35.4693427178,-83.8723886498,428.67300415
35.4693470168,-83.8723096498,428.959472656
35.4693447158,-83.8722304498,428.583709717
35.4693436168,-83.8721513498,428.465515137
35.4693515168,-83.8720726497,429.62902832
35.4693731178,-83.8719902497,430.4949646
35.4694030168,-83.8719104497,430.659881592
35.4694392178,-83.8718332497,430.982696533
35.4694802158,-83.8717585497,431.383453369
35.4695255178,-83.8716867496,431.819519043
35.4695759169,-83.8716184496,432.257324219
35.4696317159,-83.8715544496,432.284881592
35.4696937159,-83.8714964496,431.836364746
35.4697545169,-83.8714503496,432.093933105
35.4698193159,-83.8714100496,432.28729248
35.4698880159,-83.8713769496,432.032775879
35.469960518,-83.8713533496,432.94732666
35.470041018,-83.8713419496,433.604431152
35.470122417,-83.8713387496,434.059326172
35.470214817,-83.8713436496,434.525909424
35.470305817,-83.8713608496,435.252258301
35.470395317,-83.8713850496,435.698608398
35.4704841171,-83.8714115496,436.185455322
35.4705735161,-83.8714358496,436.420257568
35.4706645181,-83.8714533496,436.825256348
35.4707569181,-83.8714582497,437.337554932
35.4708512161,-83.8714499497,437.870330811
35.4709443172,-83.8714329497,438.642822266
35.4710359162,-83.8714089497,439.498046875
35.4711259172,-83.8713794496,441.041931152
35.4712144172,-83.8713457496,441.749481201
35.4713016172,-83.8713088496,442.23059082
35.4713878163,-83.8712697496,442.763092041
35.4714734183,-83.8712293496,443.137329102
35.4715588163,-83.8711883496,443.686920166
35.4716483173,-83.8711462496,444.348419189
35.4717345183,-83.8710979496,445.271209717
35.4717922173,-83.8710585496,445.498199463
35.4718467164,-83.8710149496,445.740753174
35.4718940164,-83.8709636496,445.448150635
35.4719369174,-83.8708952496,444.164276123
35.4719694164,-83.8708212495,442.779846191
35.4719924184,-83.8707438495,444.612762451
