lat,lng,ele
35.7009377802,-83.5111935579,469.356262207
35.7008541791,-83.5111806579,469.761474609
35.7007725781,-83.5111584579,470.522979736
35.7006940791,-83.5111270579,471.042175293
35.7006106791,-83.5110824579,470.695281982
35.7005329791,-83.5110287579,470.797210693
35.7004631801,-83.5109650578,471.905059814
35.7004201791,-83.5109100578,472.931976318
35.7003819801,-83.5108516578,474.582427979
35.70034048,-83.5107954578,475.336486816
35.700272478,-83.5107242578,476.391021729
35.70019918,-83.5106584577,477.298736572
35.700132979,-83.5106133577,477.882049561
35.700064179,-83.5105721577,478.66506958
35.700003779,-83.5105197577,479.256103516
35.699963779,-83.5104590577,479.550384521
35.699931478,-83.5103939576,479.758178711
35.699899579,-83.5103285576,480.114349365
35.699858278,-83.5102503576,480.493164062
35.699817779,-83.5101718576,480.971405029
35.69977828,-83.5100927575,481.377532959
35.69974248,-83.5100204575,481.781066895
35.6997091789,-83.5099469575,482.163269043
35.6996861789,-83.5098763575,482.385223389
35.6996666789,-83.5098046575,482.587249756
35.6996415779,-83.5097348574,482.776855469
35.6995930789,-83.5096479574,483.327392578
35.6995368789,-83.5095657574,483.696380615
35.6994903799,-83.5095021574,484.167724609
35.6994403789,-83.5094412573,484.753387451
35.6993888789,-83.5093900573,485.13671875
35.6993341779,-83.5093421573,485.526275635
35.6992811789,-83.5092925573,485.887298584
35.6992236789,-83.5092296573,486.131561279
35.6991686789,-83.5091647572,486.585418701
35.6991139779,-83.5090994572,487.019958496
35.6990508788,-83.5090269572,487.161712646
35.6989908798,-83.5089519572,487.457336426
35.6989396788,-83.5088667571,488.188781738
35.6988861788,-83.5087829571,489.140960693
35.6988343788,-83.5087287571,489.654693604
35.6987769788,-83.5086805571,490.110961914
35.6987180788,-83.5086340571,490.559692383
35.6986460778,-83.508577457,491.057250977
35.6985721798,-83.508523357,491.592254639
35.6984960788,-83.508472357,492.333740234
35.6984184797,-83.508420957,492.849090576
35.6983357777,-83.508378957,492.889038086
35.6982675787,-83.5083666569,493.011352539
35.6981981787,-83.5083653569,493.522216797
35.6981288787,-83.5083613569,494.254730225
35.6980560797,-83.5083527569,494.874267578
35.6979851777,-83.5083347569,495.331176758
35.6979306786,-83.5083017569,495.701690674
35.6978784776,-83.5082651569,496.085754395
35.6978119776,-83.5082316569,496.414154053
35.6977442776,-83.5082006569,496.724456787
35.6976823786,-83.5081595569,496.904724121
35.6976288776,-83.5080978568,497.482421875
35.6975767776,-83.5080347568,498.031219482
35.6975020786,-83.5079739568,498.78024292
35.6974185776,-83.5079259568,499.322723389
35.6973300775,-83.5078875568,499.908325195
35.6972394785,-83.5078546567,500.85534668
35.6971485775,-83.5078223567,500.673736572
35.6970674785,-83.5077989567,500.775756836
35.6969855775,-83.5077786567,502.03302002
35.6969067785,-83.5077485567,503.085998535
35.6968460784,-83.5077082567,503.745269775
35.6967892794,-83.5076625567,504.132843018
35.6967291794,-83.5076213566,504.570281982
35.6966617794,-83.5075925566,504.844146729
35.6965951784,-83.5075619566,504.922271729
35.6965296784,-83.5075144566,504.844390869
35.6964711784,-83.5074586566,505.831512451
