lat,lng,ele
35.6816310749,-83.5179753588,585.725952148
35.6815640759,-83.5179583588,585.860961914
35.6815008739,-83.5179305587,586.49017334
35.6814434748,-83.5178921587,586.527282715
35.6813796758,-83.5178254587,586.428222656
35.6813286748,-83.5177483587,586.721435547
35.6812859748,-83.5176662587,587.057861328
35.6812551748,-83.5175862586,587.607055664
35.6812316758,-83.5175037586,588.340393066
35.6812099758,-83.5174207586,588.500915527
35.6811886748,-83.5173396586,588.781616211
35.6811691748,-83.5172580585,589.437927246
35.6811519748,-83.5171759585,589.730773926
35.6811394748,-83.5171096585,589.929626465
35.6811283748,-83.5170430585,590.266052246
35.6811201758,-83.5169760584,590.773376465
35.6811179738,-83.5168949584,591.762756348
35.6811197748,-83.5168138584,592.328857422
35.6811161748,-83.5167328584,592.403503418
35.6810964758,-83.5166500584,592.007568359
35.6810836748,-83.5165661583,591.526367188
35.6810942758,-83.5165048583,591.260192871
35.6811131738,-83.5164455583,591.116638184
35.6811553738,-83.5163705583,590.552185059
35.6812089759,-83.5163029583,590.767700195
35.6812529749,-83.5162289582,590.969421387
35.6812720749,-83.5161743582,591.047424316
35.6812457759,-83.5161403582,591.265136719
35.6811846759,-83.5161035582,592.10369873
35.6811146749,-83.5160861582,593.107055664
35.6810492738,-83.5160568582,594.032958984
35.6810018758,-83.5160144582,594.752319336
35.6809609758,-83.5159657581,595.192932129
35.6809165758,-83.5158787581,595.651000977
35.6808836758,-83.5157865581,596.30090332
35.6808598748,-83.5157127581,596.746948242
35.6808400748,-83.515637758,597.154052734
35.6808233748,-83.515562058,597.700012207
35.6808087748,-83.515485858,598.077758789
35.6807960758,-83.515404858,598.162414551
35.6807861758,-83.5153234579,598.153442383
35.6807778758,-83.5152418579,598.003723145
35.6807690748,-83.5151424579,597.796630859
35.6807622738,-83.5150429579,598.384765625
35.6807585748,-83.5149432578,599.039123535
35.6807590738,-83.5148435578,599.154052734
35.6807639748,-83.5147551578,599.205688477
35.6807722748,-83.5146669577,599.358520508
35.6807826758,-83.5145790577,599.233886719
35.6807935758,-83.5144911577,599.322021484
35.6808025739,-83.5144166577,598.985046387
35.6808121739,-83.5143422577,598.961547852
35.6808229759,-83.5142680576,598.817016602
35.6808357739,-83.5141941576,598.704162598
35.6808526759,-83.5141140576,598.71295166
35.6808718739,-83.5140343576,597.796142578
35.6808927749,-83.5139552575,597.120544434
35.6809145749,-83.5138762575,597.363769531
35.6809385749,-83.5137906575,598.351135254
35.6809636749,-83.5137054575,598.34197998
35.6809906749,-83.5136207575,598.481140137
35.6810207759,-83.5135371574,598.912780762
35.6810584759,-83.5134448574,599.730163574
35.681099474,-83.5133540574,600.278869629
35.681143776,-83.5132647574,600.962158203
35.681172576,-83.5132026573,601.430969238
35.681209275,-83.5131453573,601.82598877
35.681255475,-83.5131199573,602.585510254
35.681300575,-83.5130929573,602.906188965
35.681337975,-83.5130278573,602.787353516
35.681339376,-83.5129615573,602.916870117
35.681331975,-83.5128950573,603.507751465
35.681324076,-83.5128285572,603.702148438
35.681328075,-83.5127475572,604.280761719
35.681339275,-83.5126670572,604.824645996
35.681347175,-83.5125862572,605.105529785
35.681347975,-83.5124865571,605.279724121
35.681343775,-83.5123869571,605.065979004
35.681335375,-83.5122875571,604.680175781
35.6813215741,-83.5122045571,604.660522461
35.6813118761,-83.512121157,605.407836914
35.6813110751,-83.512059657,606.160766602
35.6813233761,-83.511999957,606.748901367
35.6813603751,-83.511956957,607.587585449
35.6813946761,-83.511899857,608.301696777
35.6814168751,-83.511837157,609.428344727
35.6814223751,-83.5117765569,610.407348633
35.6814194751,-83.5117157569,611.415710449
35.6814049741,-83.5116375569,611.400390625
35.6813866761,-83.5115600569,610.563842773
35.6813754761,-83.5114629568,610.202514648
35.6813717751,-83.5113651568,609.16204834
35.6813701741,-83.5112673568,609.395874023
35.6813653741,-83.5111696568,610.226989746
35.6813517751,-83.5110728567,610.579040527
35.6813351751,-83.5110060567,610.431884766
35.6813184751,-83.5109392567,610.528808594
35.6813012751,-83.5108732567,610.810424805
35.6812941751,-83.5108058566,611.444274902
35.6813190751,-83.5107446566,612.798217773
35.6813507751,-83.5106861566,614.162353516
35.6813796761,-83.5105986566,615.402648926
35.6813930761,-83.5105443566,615.892272949
35.6813999751,-83.5104888566,616.530761719
35.6813903751,-83.5104217565,617.563293457
35.6813757751,-83.5103554565,618.392578125
35.6813665761,-83.5102856565,619.073242188
35.6813604761,-83.5102154565,619.951477051
35.6813620761,-83.5101451565,620.852478027
35.6813793741,-83.5100500564,622.574523926
35.6814110742,-83.5099587564,624.039306641
