lat,lng,ele
35.6963861735,-83.6303509926,616.886230469
35.6963825735,-83.6303215926,616.760437012
35.6963768735,-83.6302927926,616.680114746
35.6963682735,-83.6302649926,616.698791504
35.6963557735,-83.6302395926,616.695373535
35.6963385735,-83.6302187925,616.559265137
35.6963172725,-83.6302050925,616.226867676
35.6962964744,-83.6301998925,616.023864746
35.6962751734,-83.6301992925,615.805419922
35.6962541734,-83.6302029925,615.556762695
35.6962332724,-83.6302174925,615.174560547
35.6962177734,-83.6302403925,614.995849609
35.6962056744,-83.6302661926,614.843444824
35.6961946734,-83.6302927926,614.732666016
35.6961833724,-83.6303190926,614.516296387
35.6961699724,-83.6303438926,614.320251465
35.6961551744,-83.6303661926,614.111694336
35.6961400734,-83.6303881926,613.987060547
35.6961247734,-83.6304098926,613.845153809
35.6961091744,-83.6304313926,613.796325684
35.6960931744,-83.6304525926,613.743469238
35.6960769724,-83.6304733926,613.672546387
35.6960598734,-83.6304969926,613.573242188
35.6960432734,-83.6305208926,613.589782715
35.6960259734,-83.6305442926,613.52734375
35.6960067734,-83.6305652926,613.468261719
35.6959845744,-83.6305808926,613.535949707
35.6959635734,-83.6305886926,613.528320312
35.6959417724,-83.6305930926,613.523376465
35.6959198734,-83.6305942926,613.546875
35.6958979744,-83.6305927926,613.564575195
35.6958761743,-83.6305883926,613.576171875
35.6958523733,-83.6305780926,613.630004883
35.6958301743,-83.6305632926,613.669250488
35.6958086733,-83.6305466926,613.792480469
35.6957873743,-83.6305301926,613.897460938
35.6957676733,-83.6305151926,613.971191406
35.6957483743,-83.6304992926,614.076293945
35.6957294733,-83.6304827926,614.13067627
35.6957106743,-83.6304659926,614.190063477
35.6956920733,-83.6304490926,614.267578125
35.6956733723,-83.6304320926,614.317199707
35.6956546733,-83.6304153926,614.393554688
35.6956334733,-83.6303969926,614.454528809
35.6956122723,-83.6303786925,614.516723633
35.6955910733,-83.6303603925,614.652526855
35.6955698733,-83.6303421925,614.782165527
35.6955486743,-83.6303236925,614.894226074
35.6955278743,-83.6303048925,614.982177734
35.6955070743,-83.6302857925,615.033325195
35.6954866743,-83.6302661925,615.15625
35.6954685733,-83.6302485925,615.260192871
35.6954504733,-83.6302309925,615.317749023
35.6954325733,-83.6302129925,615.384643555
35.6954152733,-83.6301944925,615.455444336
35.6953985733,-83.6301748925,615.671081543
35.6953809733,-83.6301502925,615.848022461
35.6953651743,-83.6301239925,615.979248047
35.6953508723,-83.6300964925,616.154724121
35.6953371723,-83.6300684924,616.341430664
35.6953235733,-83.6300403924,616.514770508
35.6953093723,-83.6300127924,616.717407227
35.6952941733,-83.6299860924,616.923156738
35.6952769742,-83.6299609924,617.021972656
35.6952588722,-83.6299385924,617.120727539
35.6952396722,-83.6299175924,617.195739746
35.6952197742,-83.6298977924,617.36907959
35.6951993722,-83.6298784924,617.586730957
35.6951788742,-83.6298595924,617.741210938
35.6951582732,-83.6298406924,617.872314453
35.6951380722,-83.6298212924,618.024291992
35.6951182732,-83.6298010924,618.320007324
35.6951003722,-83.6297815923,618.448181152
35.6950826742,-83.6297617923,618.640380859
35.6950652732,-83.6297417923,618.817382812
35.6950477732,-83.6297215923,618.974304199
35.6950303722,-83.6297013923,619.16583252
35.6950128732,-83.6296813923,619.272155762
35.6949953732,-83.6296614923,619.365478516
35.6949775742,-83.6296417923,619.44128418
35.6949589742,-83.6296196923,619.598388672
35.6949412732,-83.6295967923,619.790161133
35.6949230732,-83.6295743923,620.013000488
35.6949031722,-83.6295542923,620.228271484
35.6948806742,-83.6295390923,620.41607666
35.6948566732,-83.6295294923,620.535217285
35.6948319732,-83.6295233923,620.608703613
35.6948068742,-83.6295211922,620.70111084
35.6947817732,-83.6295247922,620.75579834
35.6947595742,-83.6295378923,620.895446777
35.6947410742,-83.6295581923,620.99432373
35.6947251721,-83.6295815923,621.041809082
35.6947104721,-83.6296061923,621.08392334
35.6946957721,-83.6296306923,621.15826416
35.6946797721,-83.6296540923,621.235900879
35.6946633741,-83.6296754923,621.334594727
35.6946472731,-83.6296971923,621.430480957
35.6946311721,-83.6297189923,621.575561523
35.6946151741,-83.6297407923,621.742919922
35.6945991741,-83.6297625923,621.872253418
35.6945829731,-83.6297842923,621.97845459
35.6945665741,-83.6298055923,622.028869629
35.6945497731,-83.6298265923,622.067871094
35.6945336741,-83.6298474923,622.125366211
35.6945180721,-83.6298690923,622.17199707
35.6945023721,-83.6298903923,622.18572998
35.6944857721,-83.6299107923,622.206298828
