lat,lng,ele
35.56553695,-83.5634712652,1653.97192383
35.56554525,-83.5635513652,1654.77600098
35.565552948,-83.5636315652,1654.92285156
35.565559849,-83.5637117653,1655.0604248
35.565566149,-83.5637920653,1654.89355469
35.565573448,-83.5638803653,1655.22192383
35.565580748,-83.5639686653,1655.99475098
35.565585548,-83.5640571654,1656.33776855
35.565585749,-83.5641457654,1656.40380859
35.565581849,-83.5642284654,1656.80712891
35.565573148,-83.5643107654,1657.33190918
35.565564349,-83.5643603655,1657.81152344
35.565553049,-83.5644094655,1658.37365723
35.56552865,-83.5644876655,1659.46813965
35.565497249,-83.5645633655,1660.4888916
35.5654585489,-83.5646355655,1660.99084473
35.5654116499,-83.5647027655,1660.60852051
35.5653716489,-83.5647470656,1660.49279785
35.5653286479,-83.5647883656,1660.55407715
35.5652551479,-83.5648522656,1660.97045898
35.5652086489,-83.5649019656,1661.36132812
35.5651645489,-83.5649538656,1661.59423828
35.5651167479,-83.5650022656,1661.60656738
35.5650585498,-83.5650463656,1661.70996094
35.5649977488,-83.5650867656,1661.79528809
35.5649208478,-83.5651351656,1661.07116699
35.5648424498,-83.5651810656,1660.82128906
35.5647643488,-83.5652242657,1660.94702148
35.5646851488,-83.5652655657,1661.30566406
35.5646054477,-83.5653058657,1661.15661621
35.5645274477,-83.5653457657,1661.11169434
35.5644489487,-83.5653847657,1661.43823242
35.5643686487,-83.5654196657,1662.02514648
35.5642790497,-83.5654495657,1661.35449219
35.5641877476,-83.5654743657,1661.09082031
35.5640965496,-83.5654992657,1660.89245605
35.5640303486,-83.5655202657,1661.14587402
35.5639642496,-83.5655414657,1661.2208252
35.5638970486,-83.5655590657,1660.89160156
35.5638283486,-83.5655725657,1660.69177246
35.5637590486,-83.5655822657,1661.27905273
35.5636891475,-83.5655855657,1661.18969727
35.5636173485,-83.5655732657,1660.32385254
35.5635452485,-83.5655698657,1659.79443359
35.5634695495,-83.5656133657,1659.05712891
35.5634077485,-83.5656758657,1657.9465332
35.5633684485,-83.5657380657,1657.16174316
35.5633377485,-83.5658052657,1656.37011719
35.5633044484,-83.5658710658,1655.53356934
35.5632456484,-83.5659501658,1653.77722168
35.5631928474,-83.5660330658,1652.3918457
35.5631639484,-83.5661203658,1651.97558594
35.5631182484,-83.5661519658,1650.82592773
35.5630419494,-83.5661529658,1649.83276367
35.5629651484,-83.5661470658,1648.84338379
35.5628974483,-83.5661872658,1648.32629395
35.5628406493,-83.5662427658,1647.80822754
35.5627816483,-83.5662956659,1646.70800781
35.5627224473,-83.5663368659,1645.77087402
35.5626617473,-83.5663757659,1644.73925781
35.5625989483,-83.5664111659,1643.86608887
35.5625218483,-83.5664459659,1642.74206543
35.5624424492,-83.5664750659,1641.7088623
35.5623626482,-83.5665029659,1640.80456543
35.5622935472,-83.5665281659,1640.02954102
35.5622241492,-83.5665524659,1639.63269043
35.5621537482,-83.5665734659,1639.47167969
35.5620865482,-83.5665834659,1639.39221191
35.5620189491,-83.5665903659,1639.45007324
35.5619546481,-83.5666112659,1639.54199219
35.5618924491,-83.5666615659,1639.97741699
35.5618351481,-83.5667177659,1640.64831543
35.5617662471,-83.5667797659,1641.61047363
35.5616967481,-83.5668412659,1642.10559082
35.5616239491,-83.566898566,1642.43530273
35.561557948,-83.566947466,1642.76220703
35.561489749,-83.566993066,1643.34521484
35.561414047,-83.567024266,1644.02722168
35.561323849,-83.567028566,1644.77038574
35.561233847,-83.567018466,1645.36950684
35.561156847,-83.567008666,1645.74389648
35.5610811479,-83.566991566,1646.09729004
35.5610166479,-83.5669646659,1646.26782227
35.5609551469,-83.5669311659,1646.28222656
35.5608939479,-83.5668972659,1646.16442871
35.5608197479,-83.5668578659,1645.99523926
35.5607459479,-83.5668178659,1645.96032715
35.5606710469,-83.5667798659,1645.90734863
35.5606005478,-83.5667477659,1645.67150879
35.5605291468,-83.5667176658,1645.5246582
35.5604572468,-83.5666888658,1645.3112793
35.5603851478,-83.5666604658,1645.03942871
35.5603107478,-83.5666319658,1645.00158691
35.5602361478,-83.5666042658,1644.77148438
35.5601616468,-83.5665761658,1644.17468262
35.5600865468,-83.5665437658,1643.11779785
35.5600096477,-83.5665161658,1641.87939453
35.5599199487,-83.5665056657,1640.64660645
35.5598297477,-83.5664993657,1639.49963379
35.5597546477,-83.5664853657,1638.75598145
35.5596803467,-83.5664674657,1637.90380859
35.5596068467,-83.5664465657,1636.93859863
35.5595339466,-83.5664237657,1635.9317627
35.5594695476,-83.5663950657,1634.87097168
35.5594059476,-83.5663644657,1633.73486328
35.5593371466,-83.5663512657,1632.53723145
35.5592556466,-83.5663707657,1631.73620605
35.5592101486,-83.5663494657,1631.2557373
35.5591665476,-83.5663237656,1630.53405762
35.5590717485,-83.5663240656,1629.13781738
35.5589801465,-83.5663530656,1628.55883789
35.5588860475,-83.5663699656,1628.47058105
35.5588011465,-83.5663517656,1628.40686035
35.5587154485,-83.5663424656,1627.90246582
35.5586647465,-83.5663612656,1628.18859863
35.5586153475,-83.5663833656,1628.35388184
35.5585397464,-83.5664016656,1628.96264648
35.5584624464,-83.5664106656,1629.74316406
35.5583849474,-83.5664172656,1630.71362305
35.5583079484,-83.5664287656,1631.7454834
35.5582216474,-83.5664540656,1632.40124512
35.5581374473,-83.5664856656,1633.47595215
35.5580520463,-83.5665138656,1634.55529785
35.5579633473,-83.5665280656,1635.97912598
35.5578735473,-83.5665144656,1637.46008301
35.5577834473,-83.5665112656,1638.52429199
35.5577214473,-83.5665435656,1639.58911133
35.5576646482,-83.5665846656,1640.38928223
35.5576119482,-83.5666261656,1640.77832031
35.5575612472,-83.5666702657,1640.98144531
35.5575087462,-83.5667120657,1641.04553223
35.5574322472,-83.5667617657,1641.37194824
35.5573526472,-83.5668063657,1642.08740234
35.5572714472,-83.5668479657,1642.68786621
35.5571930461,-83.5668832657,1643.14758301
35.5571133471,-83.5669156657,1643.5402832
35.5570348461,-83.5669506657,1643.12353516
35.5569730471,-83.5669773657,1642.65087891
35.5569163471,-83.5670130657,1642.69433594
35.5568765481,-83.5670708657,1642.97705078
35.5568416471,-83.5671320657,1643.41601562
35.556787547,-83.5672030658,1643.62207031
35.556730548,-83.5672718658,1643.63208008
35.556667946,-83.5673488658,1643.63220215
35.556601146,-83.5674221658,1643.91882324
35.556552347,-83.5674666658,1644.2520752
35.556500146,-83.5675071658,1644.28283691
35.5564229469,-83.5675515658,1643.5904541
35.5563402469,-83.5675847658,1642.32202148
35.5562546479,-83.5676096659,1641.06298828
35.5561832469,-83.5676249659,1640.46191406
35.5561107469,-83.5676342658,1640.68884277
35.5560377459,-83.5676358658,1639.91577148
35.5559793469,-83.5676274658,1638.94885254
35.5559208468,-83.5676210658,1637.74951172
35.5558534468,-83.5676395658,1636.61340332
35.5557850468,-83.5676498658,1635.24658203
35.5557403468,-83.5676212658,1634.39672852
35.5556961458,-83.5675918658,1633.37011719
35.5556141468,-83.5675989658,1632.49755859
35.5555333478,-83.5676197658,1631.82775879
35.5554477477,-83.5676138658,1630.53173828
35.5553621457,-83.5676142658,1629.53393555
35.5553029477,-83.5676396658,1628.98657227
35.5552439467,-83.5676656658,1628.16638184
35.5551628467,-83.5676694658,1627.16894531
35.5550815457,-83.5676714658,1625.95751953
35.5550225467,-83.5676917658,1625.11791992
35.5549635476,-83.5677118658,1624.26269531
35.5548943466,-83.5677131658,1623.62866211
35.5548255456,-83.5677040658,1623.33764648
35.5547563466,-83.5677052658,1622.97875977
35.5546695476,-83.5677401658,1622.29919434
35.5545835476,-83.5677769658,1621.32507324
35.5545145475,-83.5677846658,1620.21679688
35.5544449455,-83.5677845658,1619.04077148
35.5543759455,-83.5677923658,1617.90515137
35.5542851455,-83.5678225658,1616.19775391
35.5542523465,-83.5678625658,1615.11779785
35.5542292455,-83.5679090658,1614.18383789
35.5542141475,-83.5679738658,1613.07592773
35.5542121465,-83.5680405659,1611.89477539
35.5542159465,-83.5681071659,1611.08630371
35.5542369465,-83.5681878659,1609.99719238
35.5542713475,-83.5682640659,1608.75622559
35.5543071475,-83.5683396659,1607.21557617
35.5543174455,-83.568419266,1605.03173828
35.5542466465,-83.568430866,1603.60900879
35.5541738474,-83.568417566,1602.48303223
35.5541015464,-83.568401266,1601.14477539
35.5540519464,-83.5683896659,1600.18469238
35.5540029454,-83.5683760659,1599.2442627
35.5539239474,-83.5683520659,1597.51611328
35.5538460454,-83.5683244659,1596.2199707
35.5537703454,-83.5682914659,1594.99523926
35.5536889464,-83.5682469659,1593.68054199
35.5536101473,-83.5681980659,1591.98754883
35.5535565453,-83.5681536659,1590.85217285
35.5535046473,-83.5681070658,1589.55493164
35.5534413463,-83.5680824658,1587.91918945
35.5533662463,-83.5681220658,1586.5402832
35.5533128463,-83.5681886658,1585.09912109
35.5533086463,-83.5682621659,1584.16503906
35.5533212473,-83.5683356659,1583.14538574
35.5533170473,-83.5684093659,1581.43200684
35.5532796473,-83.5684743659,1579.26318359
35.5532172462,-83.5684392659,1578.69445801
35.5531452452,-83.5684384659,1577.26403809
35.5530729472,-83.5684456659,1575.73803711
35.5529992462,-83.5684284659,1574.89477539
35.5529286462,-83.5684007659,1574.0703125
35.5528581472,-83.5683726659,1573.13598633
35.5527894472,-83.5683525659,1571.97119141
35.5527240462,-83.5683242659,1570.92883301
35.5526674451,-83.5682610658,1569.89624023
35.5526094461,-83.5681992658,1568.02636719
35.5525559461,-83.5681754658,1566.65246582
35.5524884451,-83.5681537658,1565.06774902
35.5524192461,-83.5681384658,1563.78747559
35.5523496461,-83.5681247658,1562.5333252
35.5522664461,-83.5681066658,1561.10424805
35.552182847,-83.5680908658,1559.58630371
35.552098146,-83.5680836657,1558.23815918
35.552039246,-83.5680841657,1557.25549316
35.551980846,-83.5680909657,1556.26306152
35.551890046,-83.5681211657,1554.4909668
35.551849046,-83.5681544657,1553.23181152
35.551816347,-83.5681959658,1552.28723145
35.551791546,-83.5682654658,1551.28271484
35.551777246,-83.5683381658,1550.31958008
35.5517651469,-83.5684147658,1549.1796875
35.5517569449,-83.5684920658,1548.13256836
35.5517453469,-83.5685687659,1547.07373047
35.5517213459,-83.5686575659,1545.70800781
35.5516905459,-83.5687442659,1544.31616211
35.5516582459,-83.5688304659,1542.93493652
35.5516297449,-83.568917966,1541.45336914
35.5516076469,-83.569013166,1540.02111816
35.5515878469,-83.569108866,1538.75476074
35.5515605459,-83.569202566,1537.18859863
35.5515197469,-83.5692924661,1535.55419922
35.5514709448,-83.5693782661,1534.35424805
35.5514197468,-83.5694627661,1533.10449219
35.5513683448,-83.5695437661,1531.71069336
35.5513171468,-83.5696249661,1530.42993164
35.5512698468,-83.5697114662,1528.96044922
35.5512233458,-83.5697984662,1527.81359863
35.5511834458,-83.5698700662,1526.7722168
35.5511430448,-83.5699414662,1525.73657227
35.5511007467,-83.5700117662,1524.82189941
35.5510550467,-83.5700798663,1523.76672363
35.5510049447,-83.5701450663,1522.75109863
35.5509531467,-83.5702089663,1521.8470459
35.5508982447,-83.5702774663,1520.82763672
35.5508427457,-83.5703456663,1520.08911133
35.5507865457,-83.5704131663,1519.08569336
35.5507457467,-83.5704621664,1518.39123535
35.5507033456,-83.5705097664,1517.59191895
35.5506435446,-83.5705629664,1516.75915527
35.5505838456,-83.5706162664,1516.16186523
35.5505442456,-83.5706664664,1515.77770996
35.5505006446,-83.5707128664,1515.48571777
35.5504214446,-83.5707369664,1515.07080078
35.5503378456,-83.5707407664,1514.68798828
35.5502430465,-83.5707433664,1514.19934082
35.5501486455,-83.5707346664,1513.86889648
35.5500638455,-83.5707086664,1513.51708984
35.5499784445,-83.5706851664,1512.70385742
35.5498993455,-83.5706920664,1512.42700195
35.5498221465,-83.5707117664,1512.48962402
35.5497433454,-83.5707217664,1512.15905762
35.5496772454,-83.5707090664,1511.62512207
35.5496126454,-83.5706895664,1511.22241211
35.5495458454,-83.5706823664,1510.88659668
35.5494513454,-83.5707085664,1511.30102539
35.5493640454,-83.5707537664,1511.65869141
35.5492898453,-83.5708109664,1511.13708496
35.5492173453,-83.5708703664,1510.421875
35.5491287453,-83.5709149664,1510.34985352
35.5490364453,-83.5709518664,1509.91589355
35.5489531463,-83.5710053664,1510.02185059
35.5489078443,-83.5710612664,1510.48522949
35.5488685442,-83.5711217664,1510.85473633
35.5488232452,-83.5711776665,1511.05041504
35.5487580452,-83.5712299665,1510.91125488
35.5486860442,-83.5712725665,1510.97729492
35.5486151442,-83.5713028665,1511.17663574
35.5485407452,-83.5713230665,1511.33337402
35.5484642461,-83.5713304665,1511.5958252
35.5483873451,-83.5713291665,1512.1953125
35.5483061451,-83.5713181665,1512.23608398
35.5482259451,-83.5713003665,1512.04077148
35.5481448451,-83.5712883664,1511.65466309
35.5480604451,-83.5712878664,1511.67480469
35.547976145,-83.5712937664,1511.75170898
35.547892146,-83.5713023664,1511.81408691
35.547795545,-83.5713068664,1511.73754883
35.547702346,-83.5713293664,1511.01501465
35.547632145,-83.5713874664,1511.63879395
35.547573345,-83.5714575665,1511.12438965
35.5475245449,-83.5715283665,1510.46313477
35.5474834459,-83.5716039665,1509.2286377
35.5474473459,-83.5716820665,1508.45910645
35.5474136449,-83.5717612665,1507.72631836
35.5473821459,-83.5718414666,1506.77160645
35.5473541449,-83.5719229666,1506.25952148
35.5473292449,-83.5720054666,1505.9239502
35.5473074449,-83.5720887666,1505.2199707
35.5472896449,-83.5721836667,1504.52819824
35.5472756449,-83.5722792667,1503.99377441
35.5472562439,-83.5723738667,1503.12585449
35.5472355448,-83.5724398667,1502.69360352
35.5472118438,-83.5725049667,1502.01318359
35.5471889448,-83.5725702668,1501.54821777
35.5471681448,-83.5726444668,1501.18188477
35.5471499448,-83.5727192668,1500.76196289
35.5471293458,-83.5727934668,1500.27246094
35.5471015458,-83.5728652668,1499.67675781
35.5470629438,-83.5729376669,1498.88684082
35.5470174458,-83.5730059669,1498.0123291
35.5469506458,-83.5730775669,1497.0994873
35.5468792447,-83.5731448669,1496.29931641
35.5468295457,-83.5731994669,1495.66333008
35.5467778437,-83.5732519669,1495.31188965
35.5467027437,-83.573308467,1494.94226074
35.5466223447,-83.573357267,1494.73156738
35.5465494447,-83.573397967,1494.65100098
35.5464740447,-83.573433867,1494.74560547
35.5463948446,-83.573460267,1494.84545898
35.5462960446,-83.573473567,1495.03845215
35.5461961456,-83.573475967,1495.3269043
35.5461240446,-83.573469667,1495.75708008
35.5460520456,-83.573471367,1495.7454834
35.5459747435,-83.573506567,1495.58312988
35.5459107455,-83.573562667,1495.22595215
35.5458593435,-83.573630667,1495.6328125
