lat,lng,ele
35.4470396215,-83.6366038796,529.004394531
35.4470647205,-83.6366927796,529.413513184
35.4470616215,-83.6368358797,529.73236084
35.4470691225,-83.6369022797,529.752380371
35.4470575215,-83.6370230797,529.48425293
35.4471288215,-83.6370583797,530.202697754
35.4472625225,-83.6371288798,534.057556152
35.4474317215,-83.6372224798,537.715637207
35.4475829216,-83.6373155798,539.434082031
35.4476985206,-83.6373854799,541.43371582
35.4478495216,-83.6374894799,546.587280273
35.4479184216,-83.6376349799,545.894897461
35.4480694227,-83.63773898,548.489318848
35.4481765227,-83.63778658,551.3984375
35.4482756207,-83.63778978,554.220703125
35.4483554217,-83.63784748,554.359313965
35.4484889217,-83.6379289801,557.076660156
35.4485945228,-83.6380425801,559.868041992
35.4486649208,-83.6381219801,561.618774414
35.4487440218,-83.6382126802,561.859313965
35.4488064228,-83.6382477802,562.406311035
35.4488607228,-83.6382384802,564.450622559
35.4489619218,-83.6381426802,569.061584473
35.4489994228,-83.6380777801,569.69543457
35.4489563228,-83.6379882801,570.831542969
35.4488769218,-83.6379085801,572.010925293
35.4487975208,-83.6378288801,572.486328125
35.4487556228,-83.63768428,573.635070801
35.4487227208,-83.63754008,574.347045898
35.4486983218,-83.6374180799,574.122497559
35.4486642228,-83.6373288799,573.183410645
35.4485943218,-83.6372273799,571.500244141
35.4484882218,-83.6371358798,570.17401123
35.4484351208,-83.6370900798,569.678527832
35.4484285218,-83.6369796798,569.582397461
