lat,lng,ele
35.6409089596,-83.6911356071,415.004547119
35.6409020605,-83.6912269071,415.07723999
35.6408988605,-83.6913184071,415.06262207
35.6408955595,-83.6914099071,415.301757812
35.6408886585,-83.6915012072,416.008148193
35.6408161585,-83.6915208072,417.846801758
35.6407533595,-83.6915077072,418.844268799
35.6406947595,-83.6914687071,419.522094727
35.6406517605,-83.6914127071,419.772888184
35.6406216595,-83.6913487071,420.017150879
35.6406272585,-83.6912826071,420.178436279
35.6406246605,-83.6912163071,420.816833496
35.6406123595,-83.691135807,420.910949707
35.6405830605,-83.691060307,420.636322021
35.6405260595,-83.691019007,421.053894043
35.6404677585,-83.690979107,421.607452393
35.6404337595,-83.690897107,422.225006104
35.6404083585,-83.6908115069,422.664428711
35.6403781595,-83.6907365069,424.40447998
35.6403395605,-83.6906657069,425.91986084
35.6402867594,-83.6906087069,427.430725098
35.6402321604,-83.6906289069,429.141448975
35.6401902594,-83.6906897069,430.721405029
35.6401757594,-83.6907635069,431.377227783
35.6401717604,-83.6908387069,431.808410645
35.6401717604,-83.690914007,431.666137695
35.6401816604,-83.691002907,431.975860596
35.6401948584,-83.691091407,432.358734131
35.6401986604,-83.691161307,433.125152588
35.6401997594,-83.691231407,434.126281738
35.6401991594,-83.6913014071,435.146972656
35.6401999584,-83.6913863071,436.049621582
35.6401985594,-83.6914712071,436.749572754
35.6401844594,-83.6915548071,437.372039795
35.6401609584,-83.6916094072,438.183349609
35.6401369604,-83.6916637072,439.062927246
35.6401136584,-83.6917391072,439.497741699
35.6401064594,-83.6918172072,440.395904541
35.6401308604,-83.6918816072,440.391967773
35.6401668594,-83.6919407073,440.584594727
35.6402049594,-83.6919979073,441.158905029
35.6402453584,-83.6920537073,441.355651855
35.6402840584,-83.6921022073,440.82421875
35.6403152604,-83.6921555073,440.656646729
35.6403199594,-83.6922326073,442.184936523
35.6403117604,-83.6923099074,443.929931641
35.6403058594,-83.6923931074,444.439666748
35.6402900604,-83.6924748074,444.911102295
35.6402645584,-83.6925304074,445.36529541
35.6402335584,-83.6925833074,446.133300781
35.6401838593,-83.6926600075,447.672332764
35.6401309583,-83.6927345075,449.089050293
35.6400844593,-83.6927991075,450.590515137
35.6400379583,-83.6928638075,451.855133057
35.6399860593,-83.6929390075,453.970123291
35.6399353583,-83.6930150076,455.486480713
35.6398841603,-83.6930962076,457.161773682
35.6398326593,-83.6931772076,458.607849121
35.6397774582,-83.6932490076,459.873016357
35.6397180582,-83.6933174076,461.383514404
35.6396621582,-83.6933887076,462.039337158
35.6396187592,-83.6934681077,462.035095215
35.6395884592,-83.6935607077,462.986450195
35.6395687602,-83.6936562077,464.093109131
35.6395583592,-83.6937531077,464.792633057
35.6395565602,-83.6938304078,465.672454834
35.6395669592,-83.6939014078,466.46887207
35.6395986592,-83.6939643078,466.982727051
35.6396704582,-83.6939777078,467.369293213
35.6397160602,-83.6939293078,466.804534912
35.6397715592,-83.6938928078,467.531921387
35.6398427592,-83.6938772078,468.529174805
35.6399161582,-83.6938756078,469.303588867
35.6399974593,-83.6938846078,469.029388428
35.6400779593,-83.6939002078,470.082336426
35.6401590583,-83.6938948078,472.805511475
35.6402141593,-83.6938641078,473.383300781
35.6402686583,-83.6938322078,474.212738037
35.6403272593,-83.6938164078,475.671447754
35.6403864593,-83.6938030078,476.870361328
35.6404392604,-83.6937748078,476.887115479
35.6404954594,-83.6937625078,477.662231445
35.6405395594,-83.6938082078,479.167816162
35.6405595594,-83.6938850078,479.49395752
35.6405721594,-83.6939639079,480.369232178
35.6406110594,-83.6940450079,480.653137207
35.6406587594,-83.6941213079,481.817077637
35.6407041594,-83.6941824079,482.72744751
35.6407460604,-83.694245708,483.682983398
35.6407801594,-83.694335208,485.792297363
35.6408023584,-83.694401808,487.497070312
35.6408221604,-83.694469108,488.923522949
35.6408391584,-83.6945591081,489.493133545
35.6408632594,-83.6946472081,489.200073242
35.6408890594,-83.6946958081,489.850189209
35.6409243594,-83.6947376081,490.827178955
35.6409854604,-83.6947571081,490.758880615
35.6410501594,-83.6947528081,490.726470947
35.6411137595,-83.6947329081,489.462432861
35.6411629595,-83.6947540081,490.203765869
35.6412025595,-83.6947911082,491.439758301
35.6412460595,-83.6948588082,492.17086792
35.6412171605,-83.6949461082,494.779144287
35.6411678595,-83.6950053082,495.951263428
35.6411065604,-83.6950528082,496.58416748
35.6410348594,-83.6950987082,497.497131348
35.6409577594,-83.6951348082,498.169616699
35.6408786594,-83.6951666082,498.737884521
35.6408067604,-83.6951939082,499.079284668
35.6407333584,-83.6952170082,499.64276123
35.6406622593,-83.6952388083,499.749237061
35.6405900593,-83.6952562083,499.355133057
35.6405161593,-83.6952538082,500.462982178
35.6404536603,-83.6952296082,503.368286133
35.6403939583,-83.6952396082,504.161132812
35.6403358593,-83.6952588082,504.528106689
35.6402668593,-83.6952665082,505.149017334
35.6401974582,-83.6952693082,505.596954346
35.6401281592,-83.6952739082,506.692047119
35.6400647602,-83.6952819082,507.578918457
35.6400015592,-83.6952917082,508.41619873
35.6399098592,-83.6953100082,508.976165771
35.6398190582,-83.6953326082,509.497192383
35.6397296591,-83.6953599082,511.031982422
35.6396715591,-83.6953728082,512.390686035
35.6396205581,-83.6954004082,513.05847168
35.6396112601,-83.6954724083,512.869567871
35.6396263581,-83.6955441083,512.339355469
35.6396729581,-83.6956015083,512.266174316
35.6397322591,-83.6956471083,512.860961914
35.6397862591,-83.6956865083,513.953979492
35.6398385582,-83.6957279083,514.758972168
35.6398844602,-83.6957829084,515.226745605
35.6399261592,-83.6958413084,516.062927246
35.6399659602,-83.6958974084,516.749206543
35.6400047592,-83.6959543084,517.700744629
35.6400499592,-83.6960296084,517.452514648
35.6401006592,-83.6961011085,518.547729492
35.6401536582,-83.6961418085,520.133972168
35.6402069602,-83.6961820085,520.819702148
35.6402533582,-83.6962420085,521.804626465
35.6402914592,-83.6963077085,522.697692871
35.6403288592,-83.6963738086,523.268737793
35.6403772602,-83.6964443086,523.814331055
35.6404157592,-83.6965202086,524.407714844
35.6404305592,-83.6965751086,524.891601562
35.6404312602,-83.6966313086,525.685302734
35.6403757582,-83.6966957087,526.172119141
35.6403269592,-83.6967101087,526.229309082
35.6402764592,-83.6967034087,526.444580078
35.6402350602,-83.6966655086,527.196533203
35.6401970602,-83.6966234086,527.974060059
35.6401176592,-83.6965907086,528.348449707
35.6400362602,-83.6965627086,528.730957031
35.6399893581,-83.6965247086,529.906616211
35.6399386591,-83.6964931086,531.348266602
35.6398881591,-83.6964973086,531.740600586
35.6398390591,-83.6965119086,531.955871582
35.6397793601,-83.6965303086,532.974609375
35.6397208601,-83.6965521086,533.957641602
35.6396604601,-83.6965750086,535.127197266
35.6396025591,-83.6966033086,535.877258301
35.6395622591,-83.6966364086,535.626281738
35.639520059,-83.6966669086,535.124450684
35.63944376,-83.6966706086,536.539916992
35.639366959,-83.6966617086,538.281311035
35.63927666,-83.6966697086,539.059143066
35.63919096,-83.6966853086,540.196105957
35.639104758,-83.6966971086,541.485168457
35.6390326589,-83.6966947086,544.407043457
35.6390039589,-83.6967710086,544.45892334
