lat,lng,ele
35.600397246,-83.8455516498,558.381591797
35.600302545,-83.8455538498,556.43170166
35.600207845,-83.8455559498,554.738342285
35.600149145,-83.8455593498,553.73248291
35.6000905439,-83.8455628498,552.737609863
35.6000312449,-83.8455938498,551.471435547
35.5999718459,-83.8456248498,550.363647461
35.5998725439,-83.8456323498,549.017272949
35.5998009439,-83.8456114498,548.451660156
35.5997293459,-83.8455905498,547.769470215
35.5996577459,-83.8455696498,547.287963867
35.5995809448,-83.8455779498,546.362487793
35.5995041448,-83.8455862498,545.544006348
35.5994548438,-83.8455734498,545.261779785
35.5994055458,-83.8455606498,544.892944336
35.5993618438,-83.8455039497,545.179748535
35.5992899438,-83.8454958497,544.459777832
35.5992180438,-83.8454878497,543.875793457
35.5991641448,-83.8454803497,543.402587891
35.5991102447,-83.8454729497,542.699890137
35.5990513447,-83.8454873497,541.666259766
35.5989923457,-83.8455018497,540.838134766
35.5989059447,-83.8454730497,540.311706543
35.5988194457,-83.8454442497,539.500854492
35.5987330447,-83.8454154497,538.74029541
35.5986665447,-83.8453689497,538.233154297
35.5986000446,-83.8453224496,537.60534668
35.5985284446,-83.8453033496,536.884399414
35.5984567456,-83.8452842496,536.208862305
35.5984069436,-83.8452935496,535.827758789
35.5983571446,-83.8453028496,535.464355469
35.5982733436,-83.8452888496,535.047851562
35.5981895456,-83.8452748496,534.573181152
35.5981057445,-83.8452608496,534.201477051
35.5980524455,-83.8452313496,533.92590332
35.5979990445,-83.8452018496,533.684326172
35.5979268455,-83.8452048496,533.238220215
35.5978546455,-83.8452077496,532.773986816
35.5977954445,-83.8451725495,532.407287598
35.5977361435,-83.8451373495,532.149536133
35.5976769455,-83.8451021495,532.055908203
35.5975921444,-83.8450660495,531.538085938
35.5975073434,-83.8450299495,530.590026855
35.5975186444,-83.8451241495,530.218811035
35.5975299454,-83.8452183495,530.599975586
35.5975308444,-83.8453066496,530.785583496
35.5975318454,-83.8453949496,531.032958984
35.5975327444,-83.8454832496,531.29119873
35.5975085454,-83.8455541496,531.479309082
35.5974842454,-83.8456250497,531.768859863
35.5974555434,-83.8456939497,532.450317383
35.5974269444,-83.8457627497,532.959289551
35.5973982444,-83.8458316497,533.122497559
35.5973601444,-83.8459185497,532.968994141
35.5973219434,-83.8460055498,532.62487793
35.5972838453,-83.8460924498,532.090759277
35.5972672453,-83.8461617498,531.740661621
35.5972505443,-83.8462310498,531.617614746
35.5972339443,-83.8463003498,531.45526123
35.5972003443,-83.8463874499,531.198669434
35.5971667443,-83.8464745499,531.240966797
35.5971258443,-83.8465503499,531.192810059
35.5970850443,-83.8466261499,531.084594727
35.5970441443,-83.8467019499,531.091308594
35.5970285453,-83.84678965,531.224060059
35.5970129433,-83.84687735,531.486694336
35.5970249443,-83.84694395,531.820983887
35.5970368453,-83.84701065,532.451965332
35.5970758453,-83.8470782501,532.889221191
35.5971147443,-83.8471458501,533.357910156
35.5971175443,-83.8472176501,534.208374023
35.5971203433,-83.8472894501,535.259094238
35.5970918433,-83.8473546501,535.626708984
35.5970632442,-83.8474198502,535.016296387
35.5970084432,-83.8474509502,534.042663574
35.5969536442,-83.8474821502,533.179748535
35.5968890442,-83.8475460502,532.121887207
35.5968244442,-83.8476100502,531.601501465
35.5967598432,-83.8476739502,531.457763672
35.5966906442,-83.8477432502,531.310058594
35.5966213451,-83.8478126502,531.032226562
35.5965884451,-83.8478721503,530.81060791
35.5965554441,-83.8479316503,530.67010498
35.5965353441,-83.8480192503,530.508972168
35.5965152451,-83.8481067503,530.45715332
35.5964951451,-83.8481943503,530.442077637
35.5964322431,-83.8481885503,529.96862793
35.5963690441,-83.8481898503,529.707641602
35.5962881431,-83.8482133503,529.146850586
35.596205945,-83.8482282503,528.875976562
35.596130243,-83.8481818503,528.582702637
35.596054944,-83.8481346503,528.298706055
35.595973444,-83.8481509503,528.005187988
35.595892044,-83.8481619503,528.107116699
35.595834245,-83.8480946503,527.436462402
35.595778043,-83.8480254503,526.952148438
35.5957168439,-83.8480054502,526.673400879
35.5956525439,-83.8479989502,526.432678223
35.5955891449,-83.8479973502,526.129150391
35.5955262429,-83.8480055502,525.896972656
35.5954598439,-83.8480296502,525.686828613
35.5953989449,-83.8480654502,525.237915039
35.5953434429,-83.8481093503,524.692504883
35.5952911438,-83.8481579503,523.819213867
35.5952508438,-83.8482164503,523.104431152
35.5952348438,-83.8482981503,522.687866211
35.5952378438,-83.8483815503,522.49230957
35.5952613428,-83.8484555504,522.621154785
35.5952989448,-83.8485239504,522.634094238
35.5953319428,-83.8485945504,522.718383789
35.5953486438,-83.8486737504,522.935119629
35.5953732438,-83.8487504504,523.114379883
35.5954233428,-83.8487894505,523.479309082
35.5954705449,-83.8488311505,523.97088623
35.5954771439,-83.8488970505,523.938964844
35.5954764439,-83.8489637505,524.034301758
35.5955014439,-83.8490520505,524.31036377
35.5955172449,-83.8491417506,524.462097168
35.5954900448,-83.8492074506,524.016479492
35.5954600448,-83.8492721506,524.041137695
35.5954614438,-83.8493715506,524.442443848
35.5954644438,-83.8494709507,524.734985352
35.5954399428,-83.8495442507,524.665222168
35.5954026438,-83.8496120507,524.601745605
35.5953603448,-83.8496769507,524.194824219
35.5953102428,-83.8497421507,523.727722168
35.5952581428,-83.8498057507,523.40814209
35.5952170438,-83.8498656508,523.200134277
35.5951742438,-83.8499241508,523.157958984
35.5951196447,-83.8499780508,522.85534668
35.5950636437,-83.8500305508,522.438171387
35.5950092437,-83.8500933508,522.118774414
35.5949579447,-83.8501587508,521.827514648
35.5949058447,-83.8502235508,521.668273926
35.5948651437,-83.8502726509,521.659423828
35.5948224447,-83.8503199509,521.42755127
35.5947743437,-83.8503652509,521.233520508
35.5947212426,-83.8504046509,520.989501953
35.5946516436,-83.8504390509,520.935424805
35.5945758426,-83.8504546509,520.705505371
35.5945210436,-83.8504465509,520.582763672
35.5944683446,-83.8504287509,520.373657227
35.5944163426,-83.8503960509,520.170043945
35.5943615436,-83.8503697509,520.032531738
35.5942988436,-83.8503861509,519.900878906
35.5942432435,-83.8504207509,519.657409668
35.5941890445,-83.8504708509,519.822875977
35.5941415435,-83.8505275509,520.000488281
35.5940912445,-83.8505894509,519.949890137
35.5940483435,-83.8506566509,519.861816406
35.5940268435,-83.8507216509,519.536376953
35.5940127435,-83.850788751,519.59161377
35.5939896445,-83.850853151,519.915527344
35.5939441435,-83.850916851,519.964660645
35.5938876444,-83.850970951,519.925415039
35.5938138444,-83.851014551,519.605651855
35.5937326444,-83.851042651,519.831726074
35.5936475434,-83.851057951,519.650878906
35.5935610444,-83.851058651,519.70501709
35.5934794434,-83.851043651,519.756164551
35.5933997423,-83.851019851,519.711791992
35.5933182423,-83.850992351,519.575927734
35.5932389443,-83.850958951,519.549804688
35.5931866433,-83.850927151,519.565307617
35.5931321433,-83.8508999509,519.584106445
35.5930782423,-83.8508965509,519.609375
35.5930241443,-83.8508961509,519.565612793
35.5929752443,-83.8508811509,519.601867676
35.5929255432,-83.8508705509,519.55078125
35.5928347422,-83.8509004509,519.41027832
35.5927859432,-83.8508800509,519.375305176
35.5927364432,-83.8508638509,519.291809082
35.5926988442,-83.8509059509,518.655029297
35.5926623432,-83.8509494509,518.440063477
35.5925993432,-83.8509364509,518.309936523
35.5925367432,-83.8509229509,518.941467285
35.5924987442,-83.8510004509,519.475830078
35.5924788431,-83.851086451,519.42755127
35.5924588441,-83.851162351,519.504638672
35.5924424431,-83.851239151,519.403320312
35.5924283431,-83.851316351,519.368408203
35.5924146431,-83.851414951,519.296020508
35.5924046431,-83.8515140511,519.234008789
35.5923942441,-83.8516130511,519.232971191
35.5923873421,-83.8517016511,519.17401123
35.5923803431,-83.8517902512,519.02557373
35.5923609431,-83.8518767512,518.936157227
35.5923154431,-83.8519586512,518.952148438
35.5922670441,-83.8520389512,518.923461914
35.5922428421,-83.8521042512,518.6875
35.5922188441,-83.8521696513,518.395202637
35.592185244,-83.8522423513,518.36907959
35.592146443,-83.8523123513,518.439086914
35.592096842,-83.8523749513,518.669433594
35.592034243,-83.8524189513,519.138244629
35.591968642,-83.8524586513,520.32232666
35.591902144,-83.8525200513,522.040039062
35.591830743,-83.8525751514,522.106506348
35.5917673419,-83.8525895514,522.030700684
35.5917038429,-83.8526037514,521.522033691
35.5916302419,-83.8526673514,520.866821289
35.5915566439,-83.8527309514,520.325439453
35.5914973429,-83.8527442514,520.116333008
35.5914387439,-83.8527598514,520.036132812
35.5913837439,-83.8528020514,519.824523926
35.5913371418,-83.8528665514,519.724975586
