lat,lng,ele
35.4700925284,-83.5577804579,613.158874512
35.4701630294,-83.5578598579,614.215576172
35.4702874304,-83.5579408579,615.624206543
35.4703951305,-83.5579663579,617.42791748
35.4705212295,-83.557970358,618.693359375
35.4708023285,-83.557891158,620.327453613
35.4710019296,-83.5578313579,621.196105957
35.4711647286,-83.5578034579,622.009765625
35.4712647306,-83.5577625579,623.604736328
35.4713835297,-83.5576891579,625.845458984
35.4715016287,-83.5576488579,626.898132324
35.4716028307,-83.5575528579,628.24407959
35.4717319308,-83.5574137579,632.417785645
35.4718694288,-83.5573078578,634.088989258
35.4719627288,-83.5571565578,636.232055664
35.4720773298,-83.5568516577,639.373046875
35.4721598309,-83.5567881577,639.117004395
35.4723499299,-83.5567501577,641.173522949
35.4724943299,-83.5567436577,641.379333496
35.4725210289,-83.5567555577,641.284179688
35.4725656299,-83.5567789577,642.37487793
35.472644331,-83.5568916578,645.18145752
35.47276303,-83.5572480579,650.03125
35.47281453,-83.5573708579,652.61151123
35.47288583,-83.5574061579,653.626525879
35.47294013,-83.5573968579,652.716125488
35.47302233,-83.5573444579,652.097900391
35.4731501301,-83.5572713579,650.03125
35.4732954291,-83.5572208579,648.40234375
35.4733942301,-83.5572349579,647.94744873
35.4734469301,-83.5573027579,647.08013916
35.4735339301,-83.557448758,646.774719238
35.4736228301,-83.557506658,647.536560059
35.4737480302,-83.557554758,646.891601562
35.4739990312,-83.5576177581,645.727661133
35.4741982293,-83.5575800581,646.106994629
35.4743893293,-83.557497958,645.066162109
35.4745170303,-83.557424858,645.179016113
35.4746263304,-83.557373158,645.719299316
35.4747180304,-83.557298958,646.105529785
35.4747751304,-83.557157558,648.175109863
35.4748888294,-83.5568966579,650.920166016
35.4750006315,-83.5567238579,652.202331543
35.4750821315,-83.5567044579,652.308349609
35.4751623315,-83.5567510579,650.487915039
35.4751957305,-83.5568733579,652.561035156
35.4751922305,-83.557038558,654.61529541
35.4751536305,-83.557158458,655.327819824
35.4751739295,-83.5574786581,659.99041748
35.4752059305,-83.5576671581,662.20098877
35.4752925305,-83.5578351582,664.745788574
35.4753629305,-83.5579145582,665.720214844
35.4755064305,-83.5579521582,667.403015137
35.4757318316,-83.5579482583,667.959472656
35.4759401306,-83.5578997583,668.963562012
35.4761388306,-83.5578840583,667.695251465
35.4762469307,-83.5578874583,668.525756836
35.4764092307,-83.5578815583,669.721801758
35.4765280307,-83.5578082583,670.78704834
35.4767816318,-83.5577501583,668.416687012
35.4768807318,-83.5577532583,668.068664551
35.4769155318,-83.5578094583,667.268249512
35.4769141308,-83.5578755583,666.230773926
35.4768744298,-83.5580506584,669.540710449
35.4768073298,-83.5582358584,670.153381348
35.4767491298,-83.5584323585,672.90246582
35.4767731298,-83.5585763585,674.049499512
35.4768343308,-83.5586664585,675.370056152
35.4769061308,-83.5586797585,676.981567383
35.4769705318,-83.5586156585,677.975158691
35.4770459318,-83.5584637585,679.521118164
35.4771286308,-83.5583892585,680.397583008
35.4773002309,-83.5583726585,681.76965332
35.4775439299,-83.5583583585,683.531921387
35.477723331,-83.5583970585,685.330871582
35.47796353,-83.5585479586,689.105041504
35.47810513,-83.5586736586,689.539611816
35.4783014311,-83.5587680587,689.526367188
35.4783614301,-83.5589131587,687.41973877
35.4785207311,-83.5590504587,683.127563477
35.4787529301,-83.5591570588,688.95892334
