lat,lng,ele
35.4860320194,-83.8682238496,561.669372559
35.4860509204,-83.8683029496,561.932739258
35.4860650204,-83.8683830497,562.440734863
35.4860743204,-83.8684638497,563.304626465
35.4860785204,-83.8685450497,564.346008301
35.4860746204,-83.8686405497,564.919555664
35.4860639214,-83.8687356498,565.375732422
35.4860535204,-83.8688307498,565.993835449
35.4860472204,-83.8689159498,566.374938965
35.4860416194,-83.8690011498,566.838256836
35.4860354204,-83.8690864499,567.024291992
35.4860274204,-83.8691714499,567.142822266
35.4860152204,-83.8692481499,567.173339844
35.4859998204,-83.8693242499,567.175476074
35.4859872214,-83.86940095,567.161193848
35.4859840213,-83.86947845,567.645080566
35.4859973203,-83.86957285,568.926208496
35.4860216204,-83.86966505,569.590576172
35.4860495214,-83.8697562501,569.592407227
35.4860715204,-83.8698310501,569.656005859
35.4860947204,-83.8699054501,569.334655762
35.4861227214,-83.8699781501,570.020324707
35.4861598194,-83.8700466502,569.958557129
35.4862106214,-83.8701116502,570.564758301
35.4862698194,-83.8701690502,570.850646973
35.4863360204,-83.8702182502,572.235046387
35.4863996204,-83.8702456502,574.427978516
35.4864607204,-83.8702777502,575.76751709
35.4865055204,-83.8703444503,574.93359375
35.4865476204,-83.8704131503,573.538085938
35.4865953204,-83.8704545503,574.055358887
35.4866449214,-83.8704937503,575.012145996
35.4867121195,-83.8705606503,575.332702637
35.4867739205,-83.8706325504,575.485595703
35.4868290195,-83.8707096504,576.010009766
35.4868750215,-83.8707888504,576.204772949
35.4869148205,-83.8708714504,576.50793457
35.4869493205,-83.8709563505,576.944152832
35.4869717205,-83.8710366505,577.468933105
35.4869869195,-83.8711187505,577.618041992
35.4870037205,-83.8712004505,578.267944336
35.4870318205,-83.8712788506,579.748718262
35.4870705205,-83.8713424506,580.111572266
35.4871160195,-83.8714016506,580.105651855
35.4871626215,-83.8714598506,579.553222656
35.4872126205,-83.8715200506,579.47454834
35.4872639215,-83.8715792507,579.232971191
35.4873115215,-83.8716414507,580.968261719
35.4873558205,-83.8717195507,580.536621094
35.4873953196,-83.8718002507,581.79119873
35.4874411206,-83.8718774508,581.86932373
35.4874991216,-83.8719407508,581.534790039
35.4875667206,-83.8719937508,582.233764648
35.4876376196,-83.8720423508,584.21661377
35.4877066196,-83.8720936508,585.026062012
35.4877680196,-83.8721536509,585.191040039
35.4878073196,-83.8721958509,585.591674805
35.4878380206,-83.8722442509,587.848327637
35.4878401216,-83.8723101509,589.645812988
35.4878348206,-83.8723763509,590.374511719
35.4878389196,-83.872447451,591.3515625
35.4878478216,-83.872518051,591.455200195
35.4878659206,-83.872586851,591.765136719
35.4879032206,-83.872663551,591.940612793
35.4879525206,-83.872733251,591.203430176
35.4880070196,-83.8727754511,592.631958008
35.4880673206,-83.8728092511,594.942138672
35.4881117207,-83.8728601511,597.355102539
35.4881051197,-83.8729329511,599.106811523
35.4880778206,-83.8730015511,599.892333984
35.4880437216,-83.8730670511,600.072998047
35.4879839216,-83.8731340512,600.430114746
35.4879322196,-83.8732063512,600.602478027
35.4879349206,-83.8732956512,602.123962402
35.4879550206,-83.8733834512,603.426879883
35.4879756216,-83.8734584513,604.510559082
35.4880028216,-83.8735313513,605.300170898
35.4880337206,-83.8736028513,605.99230957
35.4880653206,-83.8736739513,606.519042969
35.4881071206,-83.8737554514,606.950683594
35.4881514216,-83.8738357514,607.452941895
35.4881856216,-83.8739206514,608.463500977
35.4881983206,-83.8740014514,609.242858887
35.4881983206,-83.8740833515,609.353820801
35.4881934206,-83.8741651515,609.736022949
35.4881897206,-83.8742469515,610.975769043
35.4881939216,-83.8743287515,611.396240234
35.4882047206,-83.8744111516,612.004272461
35.4882191206,-83.8744930516,612.846984863
35.4882421206,-83.8745728516,612.881225586
35.4882862206,-83.8746443516,614.055114746
35.4883391206,-83.8747101516,615.334411621
35.4883722216,-83.8747868517,617.083312988
35.4883686206,-83.8748584517,617.741516113
35.4883598196,-83.8749297517,618.533203125
35.4883585216,-83.8750218517,618.981872559
35.4883624196,-83.8751139518,619.305541992
35.4883712206,-83.8752056518,619.41229248
35.4883824206,-83.8752762518,619.426391602
35.4883967206,-83.8753463518,619.066955566
35.4884112216,-83.8754164519,618.068481445
35.4884253216,-83.8754770519,619.992431641
35.4884353206,-83.8755384519,621.344604492
35.4884325206,-83.8756051519,621.99029541
35.4884202196,-83.8756709519,622.935119629
35.4884036196,-83.8757357519,624.35369873
35.4883797206,-83.875801652,624.765075684
35.4883508216,-83.875865552,624.154663086
35.4883268206,-83.875931352,623.747924805
35.4883095206,-83.876025552,624.190368652
35.4883011206,-83.8761211521,624.813232422
35.4882930216,-83.8762166521,625.69732666
35.4882831196,-83.8762988521,626.086730957
35.4882730205,-83.8763810521,626.381530762
35.4882642215,-83.8764634522,626.965698242
35.4882581215,-83.8765460522,627.267822266
35.4882531195,-83.8766322522,627.236206055
35.4882487205,-83.8767184522,627.371337891
35.4882475205,-83.8768047523,628.837219238
35.4882522205,-83.8768908523,629.520263672
35.4882658215,-83.8769760523,630.16229248
35.4882946215,-83.8770654523,630.399353027
35.4883247195,-83.8771544524,631.284423828
35.4883452205,-83.8772313524,632.66998291
35.4883570205,-83.8773099524,633.610778809
35.4883511215,-83.8773703524,633.040222168
35.4883451195,-83.8774307524,632.320373535
35.4883570205,-83.8775150525,632.197937012
35.4883841195,-83.8775957525,631.733276367
35.4884250195,-83.8776703525,631.776733398
35.4884821205,-83.8777332525,632.484619141
35.4885261205,-83.8777577525,633.818664551
35.4885711196,-83.8777805526,635.1015625
35.4886345206,-83.8778364526,636.376464844
35.4886897206,-83.8779007526,636.613769531
35.4887470206,-83.8779631526,635.71105957
35.4888177216,-83.8780177526,635.65814209
35.4888902206,-83.8780698527,637.160766602
35.4889502206,-83.8781355527,638.438171387
35.4889899206,-83.8782171527,639.745117188
35.4890183206,-83.8783034527,640.678527832
35.4890303196,-83.8783859528,641.280944824
35.4890307206,-83.8784694528,641.993408203
35.4890317206,-83.8785530528,642.456970215
35.4890464206,-83.8786350528,642.919311523
35.4890719206,-83.8786980529,643.182006836
35.4891038196,-83.8787580529,643.608825684
35.4891413206,-83.8788147529,643.865661621
35.4892076216,-83.8788842529,643.80267334
35.4892845207,-83.8789420529,644.545532227
35.4893622207,-83.878998953,645.027954102
35.4894224217,-83.879043653,644.479309082
35.4894830207,-83.879087753,644.864807129
35.4895391197,-83.879137453,645.838806152
35.4895927217,-83.879204953,646.305603027
35.4896370207,-83.8792788531,647.089172363
35.4896764217,-83.8793556531,648.39630127
35.4897147207,-83.8794329531,648.38482666
35.4897556207,-83.8795088531,649.119445801
35.4898018197,-83.8795876532,649.655761719
35.4898481197,-83.8796663532,650.625305176
35.4898942208,-83.8797452532,652.040283203
35.4899357198,-83.8798213532,654.09967041
35.4899770208,-83.8798975533,655.278808594
35.4900240208,-83.8799702533,655.955688477
35.4900862198,-83.8800373533,657.048034668
35.4901546198,-83.8800982533,658.834289551
35.4902176208,-83.8801645534,660.570617676
35.4902618208,-83.8802415534,661.646850586
35.4903006218,-83.8803216534,662.524963379
35.4903565218,-83.8803899534,663.937255859
35.4903742208,-83.8804015534,664.34564209
35.4903935208,-83.8803471534,665.119873047
35.4903884208,-83.8802785534,665.96685791
35.4903642218,-83.8802134534,666.099121094
35.4903442208,-83.8801470534,666.613220215
35.4903354218,-83.8800737533,667.58984375
35.4903311208,-83.8799999533,668.160522461
35.4903315208,-83.8799261533,668.901550293
35.4903390198,-83.8798489533,669.95526123
35.4903517218,-83.8797724532,671.538146973
35.4903640209,-83.8796958532,672.820983887
35.4903806209,-83.8796085532,673.744384766
35.4903862219,-83.8795202532,674.989196777
35.4903528209,-83.8794538532,675.21673584
35.4903043209,-83.8793964531,675.775756836
35.4902736208,-83.8793289531,676.696533203
35.4902755209,-83.8792736531,678.07220459
35.4902853199,-83.8792191531,679.106811523
35.4903121219,-83.8791470531,680.150024414
35.4903508199,-83.879080353,681.437683105
35.4903893209,-83.879013453,682.145629883
35.4904234199,-83.878946153,682.448486328
35.4904576199,-83.878878953,683.53918457
35.4904908199,-83.878811353,684.718200684
35.4905220209,-83.878742653,686.009460449
35.4905520209,-83.8786732529,687.191833496
35.4905810209,-83.8786035529,688.595947266
35.4906070209,-83.8785325529,689.970153809
35.49062792,-83.8784599529,691.051208496
35.490643222,-83.8783912529,692.194519043
35.490654821,-83.8783218528,693.314331055
35.49065992,-83.8782516528,693.949707031
35.490656521,-83.8781739528,694.305541992
35.490645621,-83.8780968528,694.749816895
35.49063302,-83.8780344528,695.411071777
35.490612421,-83.8779744527,696.529785156
35.490561821,-83.8779178527,697.601196289
35.490495021,-83.8778803527,697.694946289
35.4904262219,-83.8778466527,699.344604492
35.4903457199,-83.8778189527,700.330871582
35.4902747219,-83.8777750527,701.961975098
35.4902500209,-83.8777104526,703.963623047
35.4902418219,-83.8776416526,704.84954834
35.4902573209,-83.8775573526,705.816345215
35.4902908209,-83.8774781526,706.825439453
35.4903507209,-83.8774036526,708.254394531
35.490426321,-83.8773439525,710.082458496
35.490493922,-83.8772759525,711.750305176
35.490538321,-83.8771946525,712.652038574
35.490574822,-83.8771093525,713.507446289
35.490617121,-83.8770268525,714.434020996
35.490667822,-83.8769586524,715.877197266
35.490724921,-83.8768957524,717.473510742
35.4907837211,-83.8768344524,718.864868164
35.4908395201,-83.8767703524,720.06451416
35.4908942211,-83.8767001524,720.132324219
35.4909474221,-83.8766287524,721.535339355
35.4909979221,-83.8765555523,723.599365234
35.4910379201,-83.8764867523,724.479431152
35.4910759221,-83.8764167523,725.198547363
35.4911199211,-83.8763505523,726.43548584
35.4911769222,-83.8762856523,727.698547363
35.4912406212,-83.8762274523,729.170043945
35.4913133222,-83.8761811523,731.023071289
35.4913796212,-83.8761553522,732.184814453
35.4914494212,-83.8761418522,733.37310791
35.4915167202,-83.8761511523,734.659240723
35.4915842212,-83.8761577523,735.883422852
35.4916508223,-83.8761329523,737.007141113
35.4917119203,-83.8760961523,738.682250977
35.4917771203,-83.8760438522,740.163879395
35.4918359203,-83.8759843522,740.970153809
35.4918962213,-83.8759263522,741.700927734
35.4919730203,-83.8758668522,742.979492188
35.4920515214,-83.8758097522,744.792724609
35.4921258204,-83.8757472522,746.450622559
35.4921893224,-83.8756837522,746.998352051
35.4922489214,-83.8756166521,748.599365234
35.4923018224,-83.8755441521,749.985351562
35.4923482204,-83.8754650521,751.143066406
35.4923868224,-83.8753818521,750.806884766
35.4924099205,-83.8753025521,753.120605469
35.4924261225,-83.875221552,754.190551758
35.4924467215,-83.875141552,755.239501953
35.4924825215,-83.875060952,756.496520996
35.4925137225,-83.874978652,757.220458984
35.4925251215,-83.874907652,758.339538574
35.4925261215,-83.8748357519,759.362731934
35.4925086225,-83.8747611519,760.294616699
35.4924772215,-83.8746911519,761.166442871
35.4924411215,-83.8746233519,761.990844727
35.4923906215,-83.8745571518,762.676452637
35.4923345205,-83.8744953518,762.307006836
35.4923017215,-83.8744200518,763.245544434
35.4923171215,-83.8743356518,765.534912109
35.4923507225,-83.8742563518,766.912963867
35.4924078215,-83.8741794517,767.872314453
35.4924810215,-83.8741170517,769.63848877
35.4925538215,-83.8740541517,771.292785645
35.4926249225,-83.8739884517,773.362670898
35.4926977216,-83.8739246517,775.707458496
35.4927657216,-83.8738559517,777.195800781
35.4928218206,-83.8737772516,777.265258789
35.4928596216,-83.8737014516,778.338745117
35.4928535206,-83.8736394516,778.661804199
35.4928355226,-83.8735793516,778.14465332
35.4928121216,-83.8735131516,777.954284668
35.4927936216,-83.8734455515,778.579589844
35.4927957216,-83.8733574515,780.129821777
35.4928350216,-83.8732905515,781.378051758
35.4928964216,-83.8732411515,783.33203125
35.4929530216,-83.8731867515,784.981506348
35.4929999217,-83.8731193515,785.846801758
35.4930375227,-83.8730465514,786.804443359
35.4930607217,-83.8729547514,786.641723633
35.4930689207,-83.8728602514,787.008789062
35.4930655217,-83.8727825514,787.494018555
35.4930546217,-83.8727054513,787.95892334
35.4930308227,-83.8726282513,788.487487793
35.4930132227,-83.8725497513,789.592773438
