lat,lng,ele
35.4688406291,-83.558578158,600.32989502
35.4689753281,-83.5586044581,600.541503906
35.4691186292,-83.5586531581,601.430480957
35.4693495282,-83.5588146581,602.452941895
35.4695259282,-83.5589965582,605.245727539
35.4696843293,-83.5591778583,609.162963867
35.4697540303,-83.5592902583,609.521240234
35.4697688283,-83.5594450583,613.076782227
35.4697930303,-83.5595779584,614.754089355
35.4698442283,-83.5597118584,618.047119141
35.4698402293,-83.5598990585,622.510620117
35.4698279282,-83.5600528585,625.380859375
35.4697798292,-83.5601946586,627.797912598
35.4696941292,-83.5604122586,631.382873535
35.4696375292,-83.5605316587,633.693847656
35.4695453302,-83.5606279587,634.919921875
35.4694358281,-83.5606905587,635.791748047
35.4693988291,-83.5607334587,636.238098145
35.4693977301,-83.5607885587,637.553100586
35.4694330291,-83.5608226587,639.769287109
35.4695501302,-83.5608263587,641.814208984
35.4697229292,-83.5607547587,643.94342041
35.4698592282,-83.5607039587,646.734558105
35.4698947282,-83.5607271587,647.918395996
35.4699026302,-83.5607824587,648.943237305
35.4698924302,-83.5608372588,650.279541016
